Date,PLMStock_Open_average,PLMStock_Open_max,PLMStock_Open_min,PLMStock_Open_volatility,PLMStock_Open_change,PLMStock_High_average,PLMStock_High_max,PLMStock_High_min,PLMStock_High_volatility,PLMStock_High_change,PLMStock_Low_average,PLMStock_Low_max,PLMStock_Low_min,PLMStock_Low_volatility,PLMStock_Low_change,PLMStock_Close_average,PLMStock_Close_max,PLMStock_Close_min,PLMStock_Close_volatility,PLMStock_Close_change,PLMStock_Volume_average,PLMStock_Volume_max,PLMStock_Volume_min,PLMStock_Volume_volatility,PLMStock_Volume_change
2018-01-14,1.01725,1.06,0.9390000000000001,0.121,-0.010000000000000009,1.0275,1.06,0.98,0.08000000000000007,-0.010000000000000009,0.9545,1.0,0.89,0.10999999999999999,-0.02200000000000002,0.987,1.02,0.95,0.07000000000000006,-0.020000000000000018,68678,90521,53660,36861,10109
2018-01-21,1.038,1.05,1.02,0.030000000000000027,0.010000000000000009,1.042,1.05,1.02,0.030000000000000027,0.030000000000000027,0.998,1.02,0.99,0.030000000000000027,0.030000000000000027,1.02,1.05,1.0,0.050000000000000044,0.050000000000000044,47064,76795,16720,60075,-29362
2018-01-28,1.142,1.22,1.06,0.15999999999999992,0.1299999999999999,1.224,1.36,1.09,0.27,0.1299999999999999,1.102,1.13,1.05,0.07999999999999985,0.07999999999999985,1.18,1.32,1.09,0.22999999999999998,0.08999999999999986,182407,446253,56406,389847,22240
2018-02-04,1.21,1.24,1.18,0.06000000000000005,0.030000000000000027,1.226,1.25,1.19,0.06000000000000005,-0.030000000000000027,1.138,1.17,1.07,0.09999999999999987,-0.07999999999999985,1.18,1.22,1.15,0.07000000000000006,-0.07000000000000006,72140,104557,39701,64856,7274
2018-02-11,1.194,1.22,1.18,0.040000000000000036,0.040000000000000036,1.206,1.22,1.2,0.020000000000000018,0.020000000000000018,1.172,1.19,1.15,0.040000000000000036,0.020000000000000018,1.19,1.2,1.18,0.020000000000000018,0.010000000000000009,38328,55697,17668,38029,-38029
2018-02-18,1.1949999999999998,1.2,1.18,0.020000000000000018,0.0,1.2075,1.22,1.2,0.020000000000000018,0.010000000000000009,1.1824999999999999,1.19,1.18,0.010000000000000009,0.010000000000000009,1.2015,1.21,1.196,0.014000000000000012,0.010000000000000009,49613,88893,19789,69104,51368
2018-02-25,1.236,1.26,1.21,0.050000000000000044,0.010000000000000009,1.25,1.26,1.22,0.040000000000000036,-0.040000000000000036,1.21,1.24,1.19,0.050000000000000044,-0.020000000000000018,1.23,1.25,1.19,0.06000000000000005,-0.06000000000000005,53237,96648,15537,81111,-48593
2018-03-04,1.174,1.21,1.14,0.07000000000000006,-0.07000000000000006,1.176,1.21,1.14,0.07000000000000006,-0.07000000000000006,1.132,1.16,1.08,0.07999999999999985,-0.039999999999999813,1.154,1.18,1.13,0.050000000000000044,-0.030000000000000027,57309,129469,13077,116392,-116392
2018-03-11,1.108,1.15,1.06,0.08999999999999986,0.0,1.122,1.15,1.09,0.05999999999999983,0.0,1.048,1.07,1.01,0.06000000000000005,0.010000000000000009,1.096,1.12,1.06,0.06000000000000005,0.030000000000000027,51931,70862,24387,46475,-10177
2018-03-18,1.08,1.11,1.05,0.06000000000000005,-0.050000000000000044,1.098,1.12,1.06,0.06000000000000005,-0.050000000000000044,1.052,1.06,1.05,0.010000000000000009,0.0,1.07,1.1,1.05,0.050000000000000044,-0.010000000000000009,33171,49553,17698,31855,28187
2018-03-25,0.9725,1.04,0.89,0.15000000000000002,-0.15000000000000002,0.988,1.04,0.89,0.15000000000000002,-0.15000000000000002,0.8925000000000001,0.99,0.78,0.20999999999999996,-0.20999999999999996,0.93625,1.01,0.865,0.14500000000000002,-0.14500000000000002,90156,101781,73561,28220,5988
2018-04-01,0.899,0.93,0.865,0.06500000000000006,0.0,0.904,0.93,0.89,0.040000000000000036,0.0,0.8522,0.88,0.82,0.06000000000000005,0.050000000000000044,0.8858,0.9,0.86,0.040000000000000036,0.03400000000000003,59766,104901,23310,81591,-31435
2018-04-08,0.8954,0.92,0.88,0.040000000000000036,-0.040000000000000036,0.9012,0.92,0.88,0.040000000000000036,-0.040000000000000036,0.8548,0.87,0.836,0.03400000000000003,-0.009000000000000008,0.8802,0.899,0.865,0.03400000000000003,0.01200000000000001,33760,59834,8194,51640,-12296
2018-04-15,0.8652,0.882,0.85,0.03200000000000003,-0.03200000000000003,0.875,0.89,0.85,0.040000000000000036,-0.03500000000000003,0.8464,0.86,0.838,0.02200000000000002,-0.010000000000000009,0.857,0.87,0.84,0.030000000000000027,-0.020000000000000018,30864,56495,11239,45256,-6536
2018-04-22,0.8234,0.85,0.8,0.04999999999999993,-0.030000000000000027,0.8293999999999999,0.85,0.8059999999999999,0.04400000000000004,-0.02200000000000002,0.79,0.8,0.78,0.020000000000000018,-0.010000000000000009,0.8096,0.823,0.79,0.03299999999999992,-0.0020000000000000018,41974,66496,24828,41668,32821
2018-04-29,0.8384,0.855,0.8240000000000001,0.030999999999999917,0.01100000000000001,0.8472,0.855,0.84,0.015000000000000013,0.007000000000000006,0.8204,0.8240000000000001,0.815,0.009000000000000119,0.002000000000000113,0.8321999999999999,0.845,0.82,0.025000000000000022,0.010000000000000009,16912,36646,3522,33124,-11195
2018-05-06,0.818,0.84,0.805,0.03499999999999992,-0.029999999999999916,0.819,0.84,0.805,0.03499999999999992,-0.025000000000000022,0.804,0.82,0.795,0.02499999999999991,-0.009999999999999898,0.8088000000000001,0.8220000000000001,0.797,0.025000000000000022,-0.01200000000000001,13148,22746,6561,16185,-7548
2018-05-13,0.7916000000000001,0.81,0.778,0.03200000000000003,-0.020000000000000018,0.805,0.82,0.79,0.029999999999999916,-0.014999999999999902,0.7824,0.79,0.77,0.020000000000000018,-0.010000000000000009,0.7916000000000001,0.8,0.778,0.02200000000000002,0.010000000000000009,18981,42530,3693,38837,-16466
2018-05-20,0.7966000000000001,0.8190000000000001,0.78,0.039000000000000035,0.03400000000000003,0.8132,0.835,0.792,0.04299999999999993,0.02200000000000002,0.7846,0.802,0.78,0.02200000000000002,0.0009999999999998899,0.8016,0.83,0.78,0.04999999999999993,0.008000000000000007,20750,31467,11398,20069,-1942
2018-05-27,0.7947500000000001,0.8,0.785,0.015000000000000013,-0.015000000000000013,0.796,0.8,0.79,0.010000000000000009,-0.010000000000000009,0.77625,0.78,0.77,0.010000000000000009,-0.0050000000000000044,0.7825,0.79,0.78,0.010000000000000009,-0.010000000000000009,16237,21378,11030,10348,-4319
2018-06-03,0.778,0.795,0.77,0.025000000000000022,0.0,0.791,0.795,0.78,0.015000000000000013,0.010000000000000009,0.767,0.775,0.75,0.025000000000000022,-0.020000000000000018,0.7742,0.78,0.77,0.010000000000000009,-0.0009999999999998899,30981,86647,12123,74524,63785
2018-06-10,0.9420000000000001,1.05,0.8,0.25,0.25,1.0342,1.15,0.95,0.19999999999999996,0.10000000000000009,0.8926000000000001,0.983,0.78,0.20299999999999996,0.20299999999999996,0.953,1.01,0.91,0.09999999999999998,0.06500000000000006,163084,346427,28532,317895,34339
2018-06-17,1.074,1.1,1.04,0.06000000000000005,-0.010000000000000009,1.08,1.1,1.05,0.050000000000000044,0.010000000000000009,1.02,1.05,0.95,0.10000000000000009,-0.06000000000000005,1.034,1.07,0.98,0.09000000000000008,-0.030000000000000027,93814,129625,56330,73295,-33436
2018-06-24,1.0,1.04,0.97,0.07000000000000006,0.040000000000000036,1.009,1.04,0.995,0.04500000000000004,0.030000000000000027,0.966,0.97,0.95,0.020000000000000018,0.0,0.988,0.9990000000000001,0.97,0.029000000000000137,-0.010000000000000009,27166,56230,11863,44367,25943
