Date,ProShares UltraShort Oil and GasEtf_Open_average,ProShares UltraShort Oil and GasEtf_Open_max,ProShares UltraShort Oil and GasEtf_Open_min,ProShares UltraShort Oil and GasEtf_Open_volatility,ProShares UltraShort Oil and GasEtf_Open_change,ProShares UltraShort Oil and GasEtf_High_average,ProShares UltraShort Oil and GasEtf_High_max,ProShares UltraShort Oil and GasEtf_High_min,ProShares UltraShort Oil and GasEtf_High_volatility,ProShares UltraShort Oil and GasEtf_High_change,ProShares UltraShort Oil and GasEtf_Low_average,ProShares UltraShort Oil and GasEtf_Low_max,ProShares UltraShort Oil and GasEtf_Low_min,ProShares UltraShort Oil and GasEtf_Low_volatility,ProShares UltraShort Oil and GasEtf_Low_change,ProShares UltraShort Oil and GasEtf_Close_average,ProShares UltraShort Oil and GasEtf_Close_max,ProShares UltraShort Oil and GasEtf_Close_min,ProShares UltraShort Oil and GasEtf_Close_volatility,ProShares UltraShort Oil and GasEtf_Close_change
2018-01-14,33.32,33.32,33.32,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-01-21,32.47,32.47,32.47,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-01-28,34.96,34.96,34.96,0.0,0.0,36.98,36.98,36.98,0.0,0.0,34.76,34.76,34.76,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-02-04,41.97,41.97,41.97,0.0,0.0,45.82,45.82,45.82,0.0,0.0,41.84,41.84,41.84,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-02-11,40.98,40.98,40.98,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-02-18,41.41,41.41,41.41,0.0,0.0,41.48,41.48,41.48,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-02-25,43.19,43.19,43.19,0.0,0.0,43.83,43.83,43.83,0.0,0.0,41.74,41.74,41.74,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-03-04,41.14,41.14,41.14,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2018-03-11,41.72,41.72,41.72,0.0,0.0,41.75,41.75,41.75,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-03-18,40.46,40.46,40.46,0.0,0.0,41.52,41.52,41.52,0.0,0.0,39.53,39.53,39.53,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-03-25,42.01,42.01,42.01,0.0,0.0,42.01,42.01,42.01,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-04-01,39.5,39.5,39.5,0.0,0.0,41.36,41.36,41.36,0.0,0.0,39.12,39.12,39.12,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-04-08,36.34,36.34,36.34,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-04-15,33.8,33.8,33.8,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-04-22,33.3,33.3,33.3,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-04-29,33.88,33.88,33.88,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-05-06,30.77,30.77,30.77,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-05-13,29.29,29.29,29.29,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2018-05-20,31.85,31.85,31.85,0.0,0.0,33.04,33.04,33.04,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-05-27,30.97,30.97,30.97,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-06-03,30.3,30.3,30.3,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-06-10,31.39,31.39,31.39,0.0,0.0,32.48,32.48,32.48,0.0,0.0,31.32,31.32,31.32,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-06-17,31.19,31.19,31.19,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.48,30.48,30.48,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-06-24,30.63,30.63,30.63,0.0,0.0,30.63,30.63,30.63,0.0,0.0,29.76,29.76,29.76,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-07-01,31.28,31.28,31.28,0.0,0.0,31.48,31.48,31.48,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-07-08,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.71,29.71,29.71,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-07-15,30.98,30.98,30.98,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-07-22,30.05,30.05,30.05,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.68,29.68,29.68,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-07-29,30.9,30.9,30.9,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-08-05,31.39,31.39,31.39,0.0,0.0,31.54,31.54,31.54,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-08-12,33.02,33.02,33.02,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-08-19,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-08-26,31.25,31.25,31.25,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-09-02,33.36,33.36,33.36,0.0,0.0,33.92,33.92,33.92,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-09-09,32.02,32.02,32.02,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-09-16,30.53,30.53,30.53,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-09-23,29.88,29.88,29.88,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-09-30,28.79,28.79,28.79,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2018-10-07,31.29,31.29,31.29,0.0,0.0,32.81,32.81,32.81,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-10-14,32.81,32.81,32.81,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.15,32.15,32.15,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-10-21,38.52,38.52,38.52,0.0,0.0,39.5,39.5,39.5,0.0,0.0,37.37,37.37,37.37,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-10-28,36.25,36.25,36.25,0.0,0.0,37.67,37.67,37.67,0.0,0.0,35.7,35.7,35.7,0.0,0.0,37.07,37.07,37.07,0.0,0.0
