Date,DeltaShares S&P 500 Managed RiskEtf_Open_average,DeltaShares S&P 500 Managed RiskEtf_Open_max,DeltaShares S&P 500 Managed RiskEtf_Open_min,DeltaShares S&P 500 Managed RiskEtf_Open_volatility,DeltaShares S&P 500 Managed RiskEtf_Open_change,DeltaShares S&P 500 Managed RiskEtf_High_average,DeltaShares S&P 500 Managed RiskEtf_High_max,DeltaShares S&P 500 Managed RiskEtf_High_min,DeltaShares S&P 500 Managed RiskEtf_High_volatility,DeltaShares S&P 500 Managed RiskEtf_High_change,DeltaShares S&P 500 Managed RiskEtf_Low_average,DeltaShares S&P 500 Managed RiskEtf_Low_max,DeltaShares S&P 500 Managed RiskEtf_Low_min,DeltaShares S&P 500 Managed RiskEtf_Low_volatility,DeltaShares S&P 500 Managed RiskEtf_Low_change,DeltaShares S&P 500 Managed RiskEtf_Close_average,DeltaShares S&P 500 Managed RiskEtf_Close_max,DeltaShares S&P 500 Managed RiskEtf_Close_min,DeltaShares S&P 500 Managed RiskEtf_Close_volatility,DeltaShares S&P 500 Managed RiskEtf_Close_change
2018-01-14,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-01-21,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,57.74,57.74,57.74,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2018-01-28,57.57,57.57,57.57,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.45,57.45,57.45,0.0,0.0
2018-02-04,52.64,52.64,52.64,0.0,0.0,52.65,52.65,52.65,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-02-11,54.22,54.22,54.22,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-02-18,54.45,54.45,54.45,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-02-25,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-03-04,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-03-11,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-03-18,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-03-25,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.83,52.83,52.83,0.0,0.0
