Date,Global X Gold ExplorersEtf_Open_average,Global X Gold ExplorersEtf_Open_max,Global X Gold ExplorersEtf_Open_min,Global X Gold ExplorersEtf_Open_volatility,Global X Gold ExplorersEtf_Open_change,Global X Gold ExplorersEtf_High_average,Global X Gold ExplorersEtf_High_max,Global X Gold ExplorersEtf_High_min,Global X Gold ExplorersEtf_High_volatility,Global X Gold ExplorersEtf_High_change,Global X Gold ExplorersEtf_Low_average,Global X Gold ExplorersEtf_Low_max,Global X Gold ExplorersEtf_Low_min,Global X Gold ExplorersEtf_Low_volatility,Global X Gold ExplorersEtf_Low_change,Global X Gold ExplorersEtf_Close_average,Global X Gold ExplorersEtf_Close_max,Global X Gold ExplorersEtf_Close_min,Global X Gold ExplorersEtf_Close_volatility,Global X Gold ExplorersEtf_Close_change
2018-01-14,23.34,23.34,23.34,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2018-01-21,23.49,23.49,23.49,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2018-01-28,22.34,22.34,22.34,0.0,0.0,22.72,22.72,22.72,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2018-02-04,20.99,20.99,20.99,0.0,0.0,21.01,21.01,21.01,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2018-02-11,22.34,22.34,22.34,0.0,0.0,22.41,22.41,22.41,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-02-18,21.55,21.55,21.55,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-02-25,21.66,21.66,21.66,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2018-03-04,21.5,21.5,21.5,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-03-11,21.58,21.58,21.58,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2018-03-18,22.06,22.06,22.06,0.0,0.0,22.29,22.29,22.29,0.0,0.0,21.64,21.64,21.64,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2018-03-25,21.06,21.06,21.06,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.54,21.54,21.54,0.0,0.0
2018-04-01,21.78,21.78,21.78,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2018-04-08,22.78,22.78,22.78,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.78,22.78,22.78,0.0,0.0,22.87,22.87,22.87,0.0,0.0
