Date,Principal MillennialsEtf_Open_average,Principal MillennialsEtf_Open_max,Principal MillennialsEtf_Open_min,Principal MillennialsEtf_Open_volatility,Principal MillennialsEtf_Open_change,Principal MillennialsEtf_High_average,Principal MillennialsEtf_High_max,Principal MillennialsEtf_High_min,Principal MillennialsEtf_High_volatility,Principal MillennialsEtf_High_change,Principal MillennialsEtf_Low_average,Principal MillennialsEtf_Low_max,Principal MillennialsEtf_Low_min,Principal MillennialsEtf_Low_volatility,Principal MillennialsEtf_Low_change,Principal MillennialsEtf_Close_average,Principal MillennialsEtf_Close_max,Principal MillennialsEtf_Close_min,Principal MillennialsEtf_Close_volatility,Principal MillennialsEtf_Close_change
2018-01-14,36.67,36.67,36.67,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-01-21,37.85,37.85,37.85,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2018-01-28,36.83,36.83,36.83,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2018-02-04,33.39,33.39,33.39,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.39,33.39,33.39,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-02-11,36.83,36.83,36.83,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-02-18,37.02,37.02,37.02,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-02-25,35.41,35.41,35.41,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-03-04,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.04,36.04,36.04,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-03-11,37.22,37.22,37.22,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-03-18,35.84,35.84,35.84,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2018-03-25,34.99,34.99,34.99,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-04-01,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.07,35.07,35.07,0.0,0.0
