Date,ProShares UltraShort MSCI JapanEtf_Open_average,ProShares UltraShort MSCI JapanEtf_Open_max,ProShares UltraShort MSCI JapanEtf_Open_min,ProShares UltraShort MSCI JapanEtf_Open_volatility,ProShares UltraShort MSCI JapanEtf_Open_change,ProShares UltraShort MSCI JapanEtf_High_average,ProShares UltraShort MSCI JapanEtf_High_max,ProShares UltraShort MSCI JapanEtf_High_min,ProShares UltraShort MSCI JapanEtf_High_volatility,ProShares UltraShort MSCI JapanEtf_High_change,ProShares UltraShort MSCI JapanEtf_Low_average,ProShares UltraShort MSCI JapanEtf_Low_max,ProShares UltraShort MSCI JapanEtf_Low_min,ProShares UltraShort MSCI JapanEtf_Low_volatility,ProShares UltraShort MSCI JapanEtf_Low_change,ProShares UltraShort MSCI JapanEtf_Close_average,ProShares UltraShort MSCI JapanEtf_Close_max,ProShares UltraShort MSCI JapanEtf_Close_min,ProShares UltraShort MSCI JapanEtf_Close_volatility,ProShares UltraShort MSCI JapanEtf_Close_change
2018-01-14,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2018-01-21,22.88,22.88,22.88,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.82,22.82,22.82,0.0,0.0
2018-01-28,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2018-02-04,26.21,26.21,26.21,0.0,0.0,28.12,28.12,28.12,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-02-11,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2018-02-18,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-02-25,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2018-03-04,25.71,25.71,25.71,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-03-11,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-03-18,26.46,26.46,26.46,0.0,0.0,27.28,27.28,27.28,0.0,0.0,26.46,26.46,26.46,0.0,0.0,27.28,27.28,27.28,0.0,0.0
