Date,Vident Core U.S. Bond StrategyEtf_Open_average,Vident Core U.S. Bond StrategyEtf_Open_max,Vident Core U.S. Bond StrategyEtf_Open_min,Vident Core U.S. Bond StrategyEtf_Open_volatility,Vident Core U.S. Bond StrategyEtf_Open_change,Vident Core U.S. Bond StrategyEtf_High_average,Vident Core U.S. Bond StrategyEtf_High_max,Vident Core U.S. Bond StrategyEtf_High_min,Vident Core U.S. Bond StrategyEtf_High_volatility,Vident Core U.S. Bond StrategyEtf_High_change,Vident Core U.S. Bond StrategyEtf_Low_average,Vident Core U.S. Bond StrategyEtf_Low_max,Vident Core U.S. Bond StrategyEtf_Low_min,Vident Core U.S. Bond StrategyEtf_Low_volatility,Vident Core U.S. Bond StrategyEtf_Low_change,Vident Core U.S. Bond StrategyEtf_Close_average,Vident Core U.S. Bond StrategyEtf_Close_max,Vident Core U.S. Bond StrategyEtf_Close_min,Vident Core U.S. Bond StrategyEtf_Close_volatility,Vident Core U.S. Bond StrategyEtf_Close_change
2018-01-14,48.71,48.71,48.71,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-01-21,48.72,48.72,48.72,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-01-28,48.17,48.17,48.17,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2018-02-04,48.02,48.02,48.02,0.0,0.0,48.21,48.21,48.21,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-02-11,47.91,47.91,47.91,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2018-02-18,47.94,47.94,47.94,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2018-02-25,48.09,48.09,48.09,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-03-04,47.92,47.92,47.92,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2018-03-11,47.99,47.99,47.99,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2018-03-18,47.8,47.8,47.8,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2018-03-25,47.91,47.91,47.91,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-04-01,47.96,47.96,47.96,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-04-08,47.98,47.98,47.98,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-04-15,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2018-04-22,47.58,47.58,47.58,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2018-04-29,47.64,47.64,47.64,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-05-06,47.61,47.61,47.61,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-05-13,47.33,47.33,47.33,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2018-05-20,47.65,47.65,47.65,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-05-27,47.77,47.77,47.77,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2018-06-03,47.66,47.66,47.66,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-06-10,47.76,47.76,47.76,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.71,47.71,47.71,0.0,0.0
2018-06-17,47.45,47.45,47.45,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2018-06-24,47.67,47.67,47.67,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2018-07-01,47.63,47.63,47.63,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-07-08,47.66,47.66,47.66,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-07-15,47.55,47.55,47.55,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2018-07-22,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-07-29,47.46,47.46,47.46,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.48,47.48,47.48,0.0,0.0
