Date,iShares Edge US Fxd Incm Bal RskEtf_Open_average,iShares Edge US Fxd Incm Bal RskEtf_Open_max,iShares Edge US Fxd Incm Bal RskEtf_Open_min,iShares Edge US Fxd Incm Bal RskEtf_Open_volatility,iShares Edge US Fxd Incm Bal RskEtf_Open_change,iShares Edge US Fxd Incm Bal RskEtf_High_average,iShares Edge US Fxd Incm Bal RskEtf_High_max,iShares Edge US Fxd Incm Bal RskEtf_High_min,iShares Edge US Fxd Incm Bal RskEtf_High_volatility,iShares Edge US Fxd Incm Bal RskEtf_High_change,iShares Edge US Fxd Incm Bal RskEtf_Low_average,iShares Edge US Fxd Incm Bal RskEtf_Low_max,iShares Edge US Fxd Incm Bal RskEtf_Low_min,iShares Edge US Fxd Incm Bal RskEtf_Low_volatility,iShares Edge US Fxd Incm Bal RskEtf_Low_change,iShares Edge US Fxd Incm Bal RskEtf_Close_average,iShares Edge US Fxd Incm Bal RskEtf_Close_max,iShares Edge US Fxd Incm Bal RskEtf_Close_min,iShares Edge US Fxd Incm Bal RskEtf_Close_volatility,iShares Edge US Fxd Incm Bal RskEtf_Close_change
2018-01-14,99.4,99.4,99.4,0.0,0.0,99.57,99.57,99.57,0.0,0.0,99.4,99.4,99.4,0.0,0.0,99.54,99.54,99.54,0.0,0.0
2018-01-21,99.45,99.45,99.45,0.0,0.0,99.6,99.6,99.6,0.0,0.0,99.32,99.32,99.32,0.0,0.0,99.5,99.5,99.5,0.0,0.0
2018-01-28,98.66,98.66,98.66,0.0,0.0,98.7,98.7,98.7,0.0,0.0,98.54,98.54,98.54,0.0,0.0,98.68,98.68,98.68,0.0,0.0
2018-02-04,98.09,98.09,98.09,0.0,0.0,98.31,98.31,98.31,0.0,0.0,98.07,98.07,98.07,0.0,0.0,98.24,98.24,98.24,0.0,0.0
2018-02-11,98.18,98.18,98.18,0.0,0.0,98.22,98.22,98.22,0.0,0.0,98.03,98.03,98.03,0.0,0.0,98.22,98.22,98.22,0.0,0.0
2018-02-18,98.23,98.23,98.23,0.0,0.0,98.34,98.34,98.34,0.0,0.0,98.15,98.15,98.15,0.0,0.0,98.25,98.25,98.25,0.0,0.0
2018-02-25,97.82,97.82,97.82,0.0,0.0,97.84,97.84,97.84,0.0,0.0,97.77,97.77,97.77,0.0,0.0,97.84,97.84,97.84,0.0,0.0
2018-03-04,97.75,97.75,97.75,0.0,0.0,97.89,97.89,97.89,0.0,0.0,97.7,97.7,97.7,0.0,0.0,97.88,97.88,97.88,0.0,0.0
2018-03-11,97.75,97.75,97.75,0.0,0.0,97.8,97.8,97.8,0.0,0.0,97.68,97.68,97.68,0.0,0.0,97.8,97.8,97.8,0.0,0.0
2018-03-18,97.69,97.69,97.69,0.0,0.0,97.71,97.71,97.71,0.0,0.0,97.46,97.46,97.46,0.0,0.0,97.53,97.53,97.53,0.0,0.0
2018-03-25,97.83,97.83,97.83,0.0,0.0,98.1,98.1,98.1,0.0,0.0,97.83,97.83,97.83,0.0,0.0,97.87,97.87,97.87,0.0,0.0
2018-04-01,97.8,97.8,97.8,0.0,0.0,97.84,97.84,97.84,0.0,0.0,97.68,97.68,97.68,0.0,0.0,97.68,97.68,97.68,0.0,0.0
