Date,QuantShares US Market Neutral Anti-BetaEtf_Open_average,QuantShares US Market Neutral Anti-BetaEtf_Open_max,QuantShares US Market Neutral Anti-BetaEtf_Open_min,QuantShares US Market Neutral Anti-BetaEtf_Open_volatility,QuantShares US Market Neutral Anti-BetaEtf_Open_change,QuantShares US Market Neutral Anti-BetaEtf_High_average,QuantShares US Market Neutral Anti-BetaEtf_High_max,QuantShares US Market Neutral Anti-BetaEtf_High_min,QuantShares US Market Neutral Anti-BetaEtf_High_volatility,QuantShares US Market Neutral Anti-BetaEtf_High_change,QuantShares US Market Neutral Anti-BetaEtf_Low_average,QuantShares US Market Neutral Anti-BetaEtf_Low_max,QuantShares US Market Neutral Anti-BetaEtf_Low_min,QuantShares US Market Neutral Anti-BetaEtf_Low_volatility,QuantShares US Market Neutral Anti-BetaEtf_Low_change,QuantShares US Market Neutral Anti-BetaEtf_Close_average,QuantShares US Market Neutral Anti-BetaEtf_Close_max,QuantShares US Market Neutral Anti-BetaEtf_Close_min,QuantShares US Market Neutral Anti-BetaEtf_Close_volatility,QuantShares US Market Neutral Anti-BetaEtf_Close_change
2018-01-14,18.52,18.52,18.52,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-01-21,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-01-28,18.59,18.59,18.59,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2018-02-04,18.76,18.76,18.76,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2018-02-11,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-02-18,18.58,18.58,18.58,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2018-02-25,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-03-04,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2018-03-11,18.77,18.77,18.77,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.79,18.79,18.79,0.0,0.0
2018-03-18,19.09,19.09,19.09,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-03-25,19.36,19.36,19.36,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2018-04-01,19.51,19.51,19.51,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2018-04-08,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-04-15,19.11,19.11,19.11,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2018-04-22,19.24,19.24,19.24,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.28,19.28,19.28,0.0,0.0
