Date,NuShares ESG Large-Cap ValueEtf_Open_average,NuShares ESG Large-Cap ValueEtf_Open_max,NuShares ESG Large-Cap ValueEtf_Open_min,NuShares ESG Large-Cap ValueEtf_Open_volatility,NuShares ESG Large-Cap ValueEtf_Open_change,NuShares ESG Large-Cap ValueEtf_High_average,NuShares ESG Large-Cap ValueEtf_High_max,NuShares ESG Large-Cap ValueEtf_High_min,NuShares ESG Large-Cap ValueEtf_High_volatility,NuShares ESG Large-Cap ValueEtf_High_change,NuShares ESG Large-Cap ValueEtf_Low_average,NuShares ESG Large-Cap ValueEtf_Low_max,NuShares ESG Large-Cap ValueEtf_Low_min,NuShares ESG Large-Cap ValueEtf_Low_volatility,NuShares ESG Large-Cap ValueEtf_Low_change,NuShares ESG Large-Cap ValueEtf_Close_average,NuShares ESG Large-Cap ValueEtf_Close_max,NuShares ESG Large-Cap ValueEtf_Close_min,NuShares ESG Large-Cap ValueEtf_Close_volatility,NuShares ESG Large-Cap ValueEtf_Close_change
2018-01-14,29.88,29.88,29.88,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-01-21,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-01-28,29.92,29.92,29.92,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-02-04,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2018-02-11,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-02-18,28.82,28.82,28.82,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-02-25,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-03-04,28.98,28.98,28.98,0.0,0.0,29.37,29.37,29.37,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-03-11,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2018-03-18,28.07,28.07,28.07,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-03-25,28.06,28.06,28.06,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-04-01,27.99,27.99,27.99,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-04-08,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-04-15,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-04-22,28.49,28.49,28.49,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-04-29,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-05-06,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-05-13,28.72,28.72,28.72,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-05-20,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-05-27,28.62,28.62,28.62,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-06-03,29.1,29.1,29.1,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-06-10,29.07,29.07,29.07,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-06-17,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-06-24,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-07-01,28.76,28.76,28.76,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.76,28.76,28.76,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2018-07-08,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-07-15,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-07-22,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-07-29,29.92,29.92,29.92,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-08-05,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-08-12,30.17,30.17,30.17,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-08-19,30.15,30.15,30.15,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2018-08-26,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-09-02,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-09-09,30.42,30.42,30.42,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-09-16,30.88,30.88,30.88,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2018-09-23,30.19,30.19,30.19,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-09-30,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-10-07,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-10-14,29.24,29.24,29.24,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-10-21,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-10-28,29.17,29.17,29.17,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-11-04,29.66,29.66,29.66,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-11-11,29.42,29.42,29.42,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-11-18,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-11-25,29.63,29.63,29.63,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-12-02,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.55,28.55,28.55,0.0,0.0
