Date,Guggenheim Invest S&P 500 Pure ValueEtf_Open_average,Guggenheim Invest S&P 500 Pure ValueEtf_Open_max,Guggenheim Invest S&P 500 Pure ValueEtf_Open_min,Guggenheim Invest S&P 500 Pure ValueEtf_Open_volatility,Guggenheim Invest S&P 500 Pure ValueEtf_Open_change,Guggenheim Invest S&P 500 Pure ValueEtf_High_average,Guggenheim Invest S&P 500 Pure ValueEtf_High_max,Guggenheim Invest S&P 500 Pure ValueEtf_High_min,Guggenheim Invest S&P 500 Pure ValueEtf_High_volatility,Guggenheim Invest S&P 500 Pure ValueEtf_High_change,Guggenheim Invest S&P 500 Pure ValueEtf_Low_average,Guggenheim Invest S&P 500 Pure ValueEtf_Low_max,Guggenheim Invest S&P 500 Pure ValueEtf_Low_min,Guggenheim Invest S&P 500 Pure ValueEtf_Low_volatility,Guggenheim Invest S&P 500 Pure ValueEtf_Low_change,Guggenheim Invest S&P 500 Pure ValueEtf_Close_average,Guggenheim Invest S&P 500 Pure ValueEtf_Close_max,Guggenheim Invest S&P 500 Pure ValueEtf_Close_min,Guggenheim Invest S&P 500 Pure ValueEtf_Close_volatility,Guggenheim Invest S&P 500 Pure ValueEtf_Close_change
2018-01-14,69.8,69.8,69.8,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.59,69.59,69.59,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-01-21,70.51,70.51,70.51,0.0,0.0,71.1,71.1,71.1,0.0,0.0,70.46,70.46,70.46,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-01-28,68.89,68.89,68.89,0.0,0.0,68.97,68.97,68.97,0.0,0.0,67.63,67.63,67.63,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2018-02-04,64.56,64.56,64.56,0.0,0.0,64.85,64.85,64.85,0.0,0.0,62.32,62.32,62.32,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2018-02-11,66.92,66.92,66.92,0.0,0.0,67.67,67.67,67.67,0.0,0.0,66.82,66.82,66.82,0.0,0.0,67.11,67.11,67.11,0.0,0.0
2018-02-18,66.65,66.65,66.65,0.0,0.0,67.29,67.29,67.29,0.0,0.0,66.52,66.52,66.52,0.0,0.0,67.29,67.29,67.29,0.0,0.0
2018-02-25,65.07,65.07,65.07,0.0,0.0,66.17,66.17,66.17,0.0,0.0,64.88,64.88,64.88,0.0,0.0,66.12,66.12,66.12,0.0,0.0
2018-03-04,67.69,67.69,67.69,0.0,0.0,68.27,68.27,68.27,0.0,0.0,67.53,67.53,67.53,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2018-03-11,66.49,66.49,66.49,0.0,0.0,67.04,67.04,67.04,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-03-18,64.44,64.44,64.44,0.0,0.0,64.64,64.64,64.64,0.0,0.0,62.89,62.89,62.89,0.0,0.0,62.96,62.96,62.96,0.0,0.0
