Date,USAA MSCI International Value Momentum BlendEtf_Open_average,USAA MSCI International Value Momentum BlendEtf_Open_max,USAA MSCI International Value Momentum BlendEtf_Open_min,USAA MSCI International Value Momentum BlendEtf_Open_volatility,USAA MSCI International Value Momentum BlendEtf_Open_change,USAA MSCI International Value Momentum BlendEtf_High_average,USAA MSCI International Value Momentum BlendEtf_High_max,USAA MSCI International Value Momentum BlendEtf_High_min,USAA MSCI International Value Momentum BlendEtf_High_volatility,USAA MSCI International Value Momentum BlendEtf_High_change,USAA MSCI International Value Momentum BlendEtf_Low_average,USAA MSCI International Value Momentum BlendEtf_Low_max,USAA MSCI International Value Momentum BlendEtf_Low_min,USAA MSCI International Value Momentum BlendEtf_Low_volatility,USAA MSCI International Value Momentum BlendEtf_Low_change,USAA MSCI International Value Momentum BlendEtf_Close_average,USAA MSCI International Value Momentum BlendEtf_Close_max,USAA MSCI International Value Momentum BlendEtf_Close_min,USAA MSCI International Value Momentum BlendEtf_Close_volatility,USAA MSCI International Value Momentum BlendEtf_Close_change
2018-01-14,54.73,54.73,54.73,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-01-21,55.34,55.34,55.34,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-01-28,54.16,54.16,54.16,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-02-04,50.37,50.37,50.37,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.37,49.37,49.37,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-02-11,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-02-18,52.21,52.21,52.21,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2018-02-25,50.59,50.59,50.59,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.51,50.51,50.51,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-03-04,51.67,51.67,51.67,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-03-11,51.88,51.88,51.88,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-03-18,50.58,50.58,50.58,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-03-25,51.17,51.17,51.17,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2018-04-01,51.25,51.25,51.25,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2018-04-08,52.03,52.03,52.03,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-04-15,52.53,52.53,52.53,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-04-22,52.37,52.37,52.37,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2018-04-29,51.78,51.78,51.78,0.0,0.0,52.4,52.4,52.4,0.0,0.0,51.78,51.78,51.78,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-05-06,52.92,52.92,52.92,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-05-13,52.35,52.35,52.35,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-05-20,51.45,51.45,51.45,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2018-05-27,50.49,50.49,50.49,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-06-03,50.7,50.7,50.7,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2018-06-10,50.18,50.18,50.18,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-06-17,49.2,49.2,49.2,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2018-06-24,48.53,48.53,48.53,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-07-01,48.62,48.62,48.62,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-07-08,48.3,48.3,48.3,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2018-07-15,48.47,48.47,48.47,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-07-22,49.67,49.67,49.67,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-07-29,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-08-05,47.91,47.91,47.91,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.91,47.91,47.91,0.0,0.0
