Date,ProShares Long Online Short StoresEtf_Open_average,ProShares Long Online Short StoresEtf_Open_max,ProShares Long Online Short StoresEtf_Open_min,ProShares Long Online Short StoresEtf_Open_volatility,ProShares Long Online Short StoresEtf_Open_change,ProShares Long Online Short StoresEtf_High_average,ProShares Long Online Short StoresEtf_High_max,ProShares Long Online Short StoresEtf_High_min,ProShares Long Online Short StoresEtf_High_volatility,ProShares Long Online Short StoresEtf_High_change,ProShares Long Online Short StoresEtf_Low_average,ProShares Long Online Short StoresEtf_Low_max,ProShares Long Online Short StoresEtf_Low_min,ProShares Long Online Short StoresEtf_Low_volatility,ProShares Long Online Short StoresEtf_Low_change,ProShares Long Online Short StoresEtf_Close_average,ProShares Long Online Short StoresEtf_Close_max,ProShares Long Online Short StoresEtf_Close_min,ProShares Long Online Short StoresEtf_Close_volatility,ProShares Long Online Short StoresEtf_Close_change
2018-01-14,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2018-01-21,43.33,43.33,43.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-01-28,44.94,44.94,44.94,0.0,0.0,45.93,45.93,45.93,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-02-04,43.63,43.63,43.63,0.0,0.0,43.81,43.81,43.81,0.0,0.0,42.27,42.27,42.27,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-02-11,45.94,45.94,45.94,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2018-02-18,46.39,46.39,46.39,0.0,0.0,46.78,46.78,46.78,0.0,0.0,45.82,45.82,45.82,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-02-25,45.84,45.84,45.84,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.48,45.48,45.48,0.0,0.0,46.1,46.1,46.1,0.0,0.0
2018-03-04,49.23,49.23,49.23,0.0,0.0,49.55,49.55,49.55,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-03-11,49.46,49.46,49.46,0.0,0.0,49.46,49.46,49.46,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-03-18,47.29,47.29,47.29,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-03-25,44.93,44.93,44.93,0.0,0.0,45.52,45.52,45.52,0.0,0.0,44.1,44.1,44.1,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-04-01,44.77,44.77,44.77,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-04-08,45.7,45.7,45.7,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-04-15,46.77,46.77,46.77,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2018-04-22,45.59,45.59,45.59,0.0,0.0,45.89,45.89,45.89,0.0,0.0,44.66,44.66,44.66,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2018-04-29,47.3,47.3,47.3,0.0,0.0,47.75,47.75,47.75,0.0,0.0,46.95,46.95,46.95,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-05-06,48.13,48.13,48.13,0.0,0.0,48.22,48.22,48.22,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-05-13,47.12,47.12,47.12,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-05-20,47.55,47.55,47.55,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2018-05-27,48.46,48.46,48.46,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-06-03,48.21,48.21,48.21,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-06-10,50.42,50.42,50.42,0.0,0.0,50.42,50.42,50.42,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-06-17,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-06-24,49.2,49.2,49.2,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-07-01,49.89,49.89,49.89,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.39,49.39,49.39,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-07-08,51.09,51.09,51.09,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-07-15,50.52,50.52,50.52,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-07-22,50.99,50.99,50.99,0.0,0.0,51.03,51.03,51.03,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-07-29,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.63,48.63,48.63,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-08-05,49.28,49.28,49.28,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-08-12,47.85,47.85,47.85,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2018-08-19,48.07,48.07,48.07,0.0,0.0,48.5,48.5,48.5,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-08-26,49.05,49.05,49.05,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-09-02,46.75,46.75,46.75,0.0,0.0,47.4,47.4,47.4,0.0,0.0,46.75,46.75,46.75,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-09-09,48.32,48.32,48.32,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-09-16,47.35,47.35,47.35,0.0,0.0,47.44,47.44,47.44,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-09-23,47.7,47.7,47.7,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2018-09-30,46.32,46.32,46.32,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2018-10-07,43.62,43.62,43.62,0.0,0.0,43.94,43.94,43.94,0.0,0.0,42.97,42.97,42.97,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-10-14,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-10-21,41.74,41.74,41.74,0.0,0.0,42.88,42.88,42.88,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-10-28,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.36,42.36,42.36,0.0,0.0
