Date,AWIStock_Open_average,AWIStock_Open_max,AWIStock_Open_min,AWIStock_Open_volatility,AWIStock_Open_change,AWIStock_High_average,AWIStock_High_max,AWIStock_High_min,AWIStock_High_volatility,AWIStock_High_change,AWIStock_Low_average,AWIStock_Low_max,AWIStock_Low_min,AWIStock_Low_volatility,AWIStock_Low_change,AWIStock_Close_average,AWIStock_Close_max,AWIStock_Close_min,AWIStock_Close_volatility,AWIStock_Close_change,AWIStock_Volume_average,AWIStock_Volume_max,AWIStock_Volume_min,AWIStock_Volume_volatility,AWIStock_Volume_change
2018-01-14,62.525,63.0,62.0,1.0,-1.0,62.725,63.1,62.3,0.8000000000000043,-0.45000000000000284,61.7675,61.95,61.57,0.38000000000000256,0.0799999999999983,62.075,62.2,61.9,0.30000000000000426,-0.30000000000000426,509008,946069,326053,620016,582184
2018-01-21,62.75,64.1,61.55,2.549999999999997,2.0999999999999943,63.38,64.3,62.2,2.0999999999999943,2.049999999999997,62.13,63.6,60.75,2.8500000000000014,2.8500000000000014,63.160000000000004,64.15,61.85,2.3000000000000043,2.3000000000000043,334519,371827,296569,75258,-32160
2018-01-28,63.11,64.05,62.2,1.8499999999999943,-1.0,63.854,64.17,63.6,0.5700000000000003,-0.5700000000000003,62.32,62.65,61.85,0.7999999999999972,-0.6000000000000014,62.99,63.35,62.7,0.6499999999999986,0.05000000000000426,336036,438375,218562,219813,190726
2018-02-04,60.86,62.2,59.0,3.200000000000003,-3.200000000000003,61.55,62.9,59.65,3.25,-3.25,59.59,60.8,57.5,3.299999999999997,-3.25,60.410000000000004,61.75,58.5,3.25,-2.6000000000000014,513723,677288,285927,391361,-159779
2018-02-11,60.02,60.9,59.15,1.75,1.2999999999999972,61.01,62.4,60.3,2.1000000000000014,1.9499999999999957,59.79,60.9,58.8,2.1000000000000014,2.1000000000000014,60.55,61.9,59.65,2.25,2.1000000000000014,327170,575503,218595,356908,-356908
2018-02-18,61.1375,61.6,60.9,0.7000000000000028,-0.7000000000000028,61.9625,62.45,61.75,0.7000000000000028,-0.6000000000000014,60.805,60.95,60.62,0.3300000000000054,-0.05000000000000426,61.1125,61.45,60.8,0.6500000000000057,0.3500000000000014,346160,532919,247904,285015,285015
2018-02-25,59.68,60.3,58.95,1.3499999999999943,1.0,61.214,62.67,60.0,2.6700000000000017,-2.6700000000000017,58.88,59.7,58.05,1.6500000000000057,0.6000000000000014,59.74,60.4,59.1,1.2999999999999972,0.6999999999999957,732919,879112,593904,285208,-149525
2018-03-04,59.57,60.7,58.6,2.1000000000000014,-0.04999999999999716,60.67,61.6,59.7,1.8999999999999986,0.25,59.18,60.65,57.7,2.9499999999999957,0.04999999999999716,60.3,61.25,59.2,2.049999999999997,0.6499999999999986,562167,739752,420241,319511,-174807
2018-03-11,59.37,61.3,57.7,3.5999999999999943,-3.5999999999999943,59.82,62.0,58.1,3.8999999999999986,-3.8999999999999986,58.63,60.7,57.25,3.450000000000003,-3.450000000000003,58.76,60.75,57.35,3.3999999999999986,-3.3999999999999986,557044,1084370,301368,783002,145123
2018-03-18,56.98,57.15,56.75,0.3999999999999986,-0.3999999999999986,57.574,57.85,57.17,0.6799999999999997,0.17999999999999972,56.424,56.92,55.75,1.1700000000000017,-0.6499999999999986,56.72,57.25,55.85,1.3999999999999986,-1.1000000000000014,422103,659220,257762,401458,85967
2018-03-25,56.525,57.15,56.0,1.1499999999999986,-0.7999999999999972,56.955,57.3,56.6,0.6999999999999957,-0.529999999999994,55.975,56.35,55.65,0.7000000000000028,-0.3500000000000014,56.3375,57.1,55.8,1.3000000000000043,-0.8000000000000043,251580,309092,220282,88810,30337
2018-04-01,55.730000000000004,56.2,55.1,1.1000000000000014,-0.14999999999999858,56.38,57.1,55.5,1.6000000000000014,0.10000000000000142,55.084,56.2,54.45,1.75,1.1700000000000017,55.69,56.45,54.95,1.5,0.9499999999999957,487808,754376,338274,416102,-65509
2018-04-08,56.33,56.55,56.0,0.5499999999999972,-0.04999999999999716,56.66,56.8,56.55,0.25,0.14999999999999858,55.92,56.15,55.65,0.5,0.3999999999999986,56.17,56.4,55.85,0.5499999999999972,0.5,275966,345665,228936,116729,28795
2018-04-15,57.03,57.7,55.9,1.8000000000000043,-0.8500000000000014,57.562,58.5,56.5,2.0,-0.8800000000000026,56.42,57.5,55.45,2.049999999999997,-0.75,56.800000000000004,57.75,55.7,2.049999999999997,-1.3999999999999986,271755,341420,203671,137749,-25324
2018-04-22,55.85,56.6,55.05,1.5500000000000043,0.0,56.45,56.65,56.2,0.44999999999999574,-0.15000000000000568,55.27,55.75,54.85,0.8999999999999986,-0.25,55.910000000000004,56.45,55.25,1.2000000000000028,0.0,378571,452393,342694,109699,50523
2018-04-29,56.69,57.1,55.5,1.6000000000000014,1.6000000000000014,57.596,57.9,57.38,0.519999999999996,-0.04999999999999716,56.24,56.9,54.55,2.3500000000000014,2.200000000000003,56.93,57.3,56.0,1.2999999999999972,1.2999999999999972,504042,674589,331293,343296,-234317
2018-05-06,57.99,58.5,57.6,0.8999999999999986,0.8000000000000043,58.63,59.5,57.8,1.7000000000000028,1.7000000000000028,57.5,57.8,57.15,0.6499999999999986,0.6499999999999986,58.17,58.9,57.65,1.25,1.25,345223,485043,273079,211964,143910
2018-05-13,58.94,60.0,58.4,1.6000000000000014,1.1499999999999986,59.82,61.1,58.95,2.1499999999999986,1.7000000000000028,58.85,60.0,58.1,1.8999999999999986,1.2000000000000028,59.44,60.9,58.45,2.4499999999999957,2.049999999999997,309687,407613,220704,186909,186909
2018-05-20,60.76,61.4,60.15,1.25,-0.44999999999999574,61.332,61.58,60.88,0.6999999999999957,0.030000000000001137,60.37,60.75,60.0,0.75,0.14999999999999858,60.75,61.15,60.4,0.75,0.5,319834,555446,147094,408352,-73216
