Date,iShares Edge MSCI Multifactor EmergEtf_Open_average,iShares Edge MSCI Multifactor EmergEtf_Open_max,iShares Edge MSCI Multifactor EmergEtf_Open_min,iShares Edge MSCI Multifactor EmergEtf_Open_volatility,iShares Edge MSCI Multifactor EmergEtf_Open_change,iShares Edge MSCI Multifactor EmergEtf_High_average,iShares Edge MSCI Multifactor EmergEtf_High_max,iShares Edge MSCI Multifactor EmergEtf_High_min,iShares Edge MSCI Multifactor EmergEtf_High_volatility,iShares Edge MSCI Multifactor EmergEtf_High_change,iShares Edge MSCI Multifactor EmergEtf_Low_average,iShares Edge MSCI Multifactor EmergEtf_Low_max,iShares Edge MSCI Multifactor EmergEtf_Low_min,iShares Edge MSCI Multifactor EmergEtf_Low_volatility,iShares Edge MSCI Multifactor EmergEtf_Low_change,iShares Edge MSCI Multifactor EmergEtf_Close_average,iShares Edge MSCI Multifactor EmergEtf_Close_max,iShares Edge MSCI Multifactor EmergEtf_Close_min,iShares Edge MSCI Multifactor EmergEtf_Close_volatility,iShares Edge MSCI Multifactor EmergEtf_Close_change
2018-01-14,52.25,52.25,52.25,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2018-01-21,53.46,53.46,53.46,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2018-01-28,52.0,52.0,52.0,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-02-04,48.15,48.15,48.15,0.0,0.0,48.39,48.39,48.39,0.0,0.0,46.42,46.42,46.42,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-02-11,51.39,51.39,51.39,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2018-02-18,51.91,51.91,51.91,0.0,0.0,52.32,52.32,52.32,0.0,0.0,51.7,51.7,51.7,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-02-25,50.23,50.23,50.23,0.0,0.0,50.96,50.96,50.96,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-03-04,51.81,51.81,51.81,0.0,0.0,52.57,52.57,52.57,0.0,0.0,51.81,51.81,51.81,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-03-11,51.94,51.94,51.94,0.0,0.0,52.2,52.2,52.2,0.0,0.0,51.92,51.92,51.92,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-03-18,50.91,50.91,50.91,0.0,0.0,50.92,50.92,50.92,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2018-03-25,50.7,50.7,50.7,0.0,0.0,51.45,51.45,51.45,0.0,0.0,50.61,50.61,50.61,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2018-04-01,50.34,50.34,50.34,0.0,0.0,50.68,50.68,50.68,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-04-08,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-04-15,50.01,50.01,50.01,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-04-22,49.54,49.54,49.54,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2018-04-29,48.43,48.43,48.43,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.43,48.43,48.43,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-05-06,50.63,50.63,50.63,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-05-13,49.51,49.51,49.51,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-05-20,49.97,49.97,49.97,0.0,0.0,50.21,50.21,50.21,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-05-27,49.9,49.9,49.9,0.0,0.0,50.3,50.3,50.3,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-06-03,50.31,50.31,50.31,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-06-10,48.83,48.83,48.83,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.38,48.38,48.38,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-06-17,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2018-06-24,45.94,45.94,45.94,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2018-07-01,45.42,45.42,45.42,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2018-07-08,46.45,46.45,46.45,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2018-07-15,46.13,46.13,46.13,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-07-22,46.77,46.77,46.77,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-07-29,45.7,45.7,45.7,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2018-08-05,44.88,44.88,44.88,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.78,44.78,44.78,0.0,0.0
2018-08-12,42.85,42.85,42.85,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.82,42.82,42.82,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2018-08-19,44.33,44.33,44.33,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2018-08-26,44.17,44.17,44.17,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-09-02,42.46,42.46,42.46,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-09-09,42.28,42.28,42.28,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.06,42.06,42.06,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2018-09-16,43.56,43.56,43.56,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.75,43.75,43.75,0.0,0.0
2018-09-23,43.27,43.27,43.27,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-09-30,41.31,41.31,41.31,0.0,0.0,41.58,41.58,41.58,0.0,0.0,40.87,40.87,40.87,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-10-07,40.52,40.52,40.52,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-10-14,40.28,40.28,40.28,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.13,40.13,40.13,0.0,0.0
