Date,ProShares UltraPro Short MidCap400Etf_Open_average,ProShares UltraPro Short MidCap400Etf_Open_max,ProShares UltraPro Short MidCap400Etf_Open_min,ProShares UltraPro Short MidCap400Etf_Open_volatility,ProShares UltraPro Short MidCap400Etf_Open_change,ProShares UltraPro Short MidCap400Etf_High_average,ProShares UltraPro Short MidCap400Etf_High_max,ProShares UltraPro Short MidCap400Etf_High_min,ProShares UltraPro Short MidCap400Etf_High_volatility,ProShares UltraPro Short MidCap400Etf_High_change,ProShares UltraPro Short MidCap400Etf_Low_average,ProShares UltraPro Short MidCap400Etf_Low_max,ProShares UltraPro Short MidCap400Etf_Low_min,ProShares UltraPro Short MidCap400Etf_Low_volatility,ProShares UltraPro Short MidCap400Etf_Low_change,ProShares UltraPro Short MidCap400Etf_Close_average,ProShares UltraPro Short MidCap400Etf_Close_max,ProShares UltraPro Short MidCap400Etf_Close_min,ProShares UltraPro Short MidCap400Etf_Close_volatility,ProShares UltraPro Short MidCap400Etf_Close_change
2018-01-14,9.34,9.34,9.34,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.34,9.34,9.34,0.0,0.0
2018-01-21,8.84,8.84,8.84,0.0,0.0,8.97,8.97,8.97,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.97,8.97,8.97,0.0,0.0
2018-01-28,9.6,9.6,9.6,0.0,0.0,9.98,9.98,9.98,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.95,9.95,9.95,0.0,0.0
2018-02-04,11.54,11.54,11.54,0.0,0.0,12.4,12.4,12.4,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.37,11.37,11.37,0.0,0.0
2018-02-11,9.89,9.89,9.89,0.0,0.0,10.11,10.11,10.11,0.0,0.0,9.87,9.87,9.87,0.0,0.0,10.01,10.01,10.01,0.0,0.0
2018-02-18,10.19,10.19,10.19,0.0,0.0,10.22,10.22,10.22,0.0,0.0,9.95,9.95,9.95,0.0,0.0,9.95,9.95,9.95,0.0,0.0
2018-02-25,10.92,10.92,10.92,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.31,10.31,10.31,0.0,0.0
2018-03-04,9.35,9.35,9.35,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.26,9.26,9.26,0.0,0.0
2018-03-11,9.38,9.38,9.38,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.37,9.37,9.37,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2018-03-18,10.52,10.52,10.52,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2018-03-25,10.1,10.1,10.1,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.07,10.07,10.07,0.0,0.0
2018-04-01,10.05,10.05,10.05,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.6,10.6,10.6,0.0,0.0
2018-04-08,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0
2018-04-15,9.74,9.74,9.74,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.67,9.67,9.67,0.0,0.0
2018-04-22,9.85,9.85,9.85,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2018-04-29,10.26,10.26,10.26,0.0,0.0,10.26,10.26,10.26,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.76,9.76,9.76,0.0,0.0
2018-05-06,9.17,9.17,9.17,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.14,9.14,9.14,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2018-05-13,9.04,9.04,9.04,0.0,0.0,9.04,9.04,9.04,0.0,0.0,9.01,9.01,9.01,0.0,0.0,9.01,9.01,9.01,0.0,0.0
