Date,Schwab US Large-CapEtf_Open_average,Schwab US Large-CapEtf_Open_max,Schwab US Large-CapEtf_Open_min,Schwab US Large-CapEtf_Open_volatility,Schwab US Large-CapEtf_Open_change,Schwab US Large-CapEtf_High_average,Schwab US Large-CapEtf_High_max,Schwab US Large-CapEtf_High_min,Schwab US Large-CapEtf_High_volatility,Schwab US Large-CapEtf_High_change,Schwab US Large-CapEtf_Low_average,Schwab US Large-CapEtf_Low_max,Schwab US Large-CapEtf_Low_min,Schwab US Large-CapEtf_Low_volatility,Schwab US Large-CapEtf_Low_change,Schwab US Large-CapEtf_Close_average,Schwab US Large-CapEtf_Close_max,Schwab US Large-CapEtf_Close_min,Schwab US Large-CapEtf_Close_volatility,Schwab US Large-CapEtf_Close_change
2018-01-14,66.85,66.85,66.85,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-01-21,67.9,67.9,67.9,0.0,0.0,68.43,68.43,68.43,0.0,0.0,67.83,67.83,67.83,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2018-01-28,66.84,66.84,66.84,0.0,0.0,66.92,66.92,66.92,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2018-02-04,62.37,62.37,62.37,0.0,0.0,62.95,62.95,62.95,0.0,0.0,60.45,60.45,60.45,0.0,0.0,62.53,62.53,62.53,0.0,0.0
2018-02-11,65.07,65.07,65.07,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-02-18,64.95,64.95,64.95,0.0,0.0,65.62,65.62,65.62,0.0,0.0,64.83,64.83,64.83,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-02-25,63.49,63.49,63.49,0.0,0.0,64.47,64.47,64.47,0.0,0.0,63.27,63.27,63.27,0.0,0.0,64.36,64.36,64.36,0.0,0.0
2018-03-04,65.97,65.97,65.97,0.0,0.0,66.68,66.68,66.68,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.67,66.67,66.67,0.0,0.0
2018-03-11,65.63,65.63,65.63,0.0,0.0,65.87,65.87,65.87,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.62,65.62,65.62,0.0,0.0
2018-03-18,63.23,63.23,63.23,0.0,0.0,63.47,63.47,63.47,0.0,0.0,61.77,61.77,61.77,0.0,0.0,61.83,61.83,61.83,0.0,0.0
