Date,iShares MSCI Russia CappedEtf_Open_average,iShares MSCI Russia CappedEtf_Open_max,iShares MSCI Russia CappedEtf_Open_min,iShares MSCI Russia CappedEtf_Open_volatility,iShares MSCI Russia CappedEtf_Open_change,iShares MSCI Russia CappedEtf_High_average,iShares MSCI Russia CappedEtf_High_max,iShares MSCI Russia CappedEtf_High_min,iShares MSCI Russia CappedEtf_High_volatility,iShares MSCI Russia CappedEtf_High_change,iShares MSCI Russia CappedEtf_Low_average,iShares MSCI Russia CappedEtf_Low_max,iShares MSCI Russia CappedEtf_Low_min,iShares MSCI Russia CappedEtf_Low_volatility,iShares MSCI Russia CappedEtf_Low_change,iShares MSCI Russia CappedEtf_Close_average,iShares MSCI Russia CappedEtf_Close_max,iShares MSCI Russia CappedEtf_Close_min,iShares MSCI Russia CappedEtf_Close_volatility,iShares MSCI Russia CappedEtf_Close_change
2018-01-14,37.21,37.21,37.21,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2018-01-21,37.68,37.68,37.68,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-01-28,37.44,37.44,37.44,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-02-04,34.72,34.72,34.72,0.0,0.0,34.98,34.98,34.98,0.0,0.0,33.51,33.51,33.51,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2018-02-11,37.03,37.03,37.03,0.0,0.0,37.3,37.3,37.3,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-02-18,38.12,38.12,38.12,0.0,0.0,38.25,38.25,38.25,0.0,0.0,37.91,37.91,37.91,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-02-25,36.73,36.73,36.73,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.4,36.4,36.4,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2018-03-04,37.17,37.17,37.17,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-03-11,36.07,36.07,36.07,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-03-18,36.77,36.77,36.77,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-03-25,35.96,35.96,35.96,0.0,0.0,36.54,36.54,36.54,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.44,36.44,36.44,0.0,0.0
