Date,Vanguard Mega CapEtf_Open_average,Vanguard Mega CapEtf_Open_max,Vanguard Mega CapEtf_Open_min,Vanguard Mega CapEtf_Open_volatility,Vanguard Mega CapEtf_Open_change,Vanguard Mega CapEtf_High_average,Vanguard Mega CapEtf_High_max,Vanguard Mega CapEtf_High_min,Vanguard Mega CapEtf_High_volatility,Vanguard Mega CapEtf_High_change,Vanguard Mega CapEtf_Low_average,Vanguard Mega CapEtf_Low_max,Vanguard Mega CapEtf_Low_min,Vanguard Mega CapEtf_Low_volatility,Vanguard Mega CapEtf_Low_change,Vanguard Mega CapEtf_Close_average,Vanguard Mega CapEtf_Close_max,Vanguard Mega CapEtf_Close_min,Vanguard Mega CapEtf_Close_volatility,Vanguard Mega CapEtf_Close_change
2018-01-14,96.51,96.51,96.51,0.0,0.0,96.61,96.61,96.61,0.0,0.0,96.18,96.18,96.18,0.0,0.0,96.61,96.61,96.61,0.0,0.0
2018-01-21,98.0,98.0,98.0,0.0,0.0,98.8,98.8,98.8,0.0,0.0,97.9,97.9,97.9,0.0,0.0,98.8,98.8,98.8,0.0,0.0
2018-01-28,96.54,96.54,96.54,0.0,0.0,96.7,96.7,96.7,0.0,0.0,95.05,95.05,95.05,0.0,0.0,95.07,95.07,95.07,0.0,0.0
2018-02-04,89.95,89.95,89.95,0.0,0.0,90.82,90.82,90.82,0.0,0.0,87.22,87.22,87.22,0.0,0.0,90.23,90.23,90.23,0.0,0.0
2018-02-11,93.94,93.94,93.94,0.0,0.0,94.96,94.96,94.96,0.0,0.0,93.94,93.94,93.94,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2018-02-18,93.77,93.77,93.77,0.0,0.0,94.76,94.76,94.76,0.0,0.0,93.62,93.62,93.62,0.0,0.0,94.76,94.76,94.76,0.0,0.0
2018-02-25,91.62,91.62,91.62,0.0,0.0,93.0,93.0,93.0,0.0,0.0,91.4,91.4,91.4,0.0,0.0,92.82,92.82,92.82,0.0,0.0
2018-03-04,95.03,95.03,95.03,0.0,0.0,96.13,96.13,96.13,0.0,0.0,94.98,94.98,94.98,0.0,0.0,96.13,96.13,96.13,0.0,0.0
2018-03-11,94.97,94.97,94.97,0.0,0.0,95.27,95.27,95.27,0.0,0.0,94.87,94.87,94.87,0.0,0.0,94.87,94.87,94.87,0.0,0.0
2018-03-18,90.82,90.82,90.82,0.0,0.0,91.12,91.12,91.12,0.0,0.0,88.7,88.7,88.7,0.0,0.0,88.74,88.74,88.74,0.0,0.0
