Date,First Trust International IPOEtf_Open_average,First Trust International IPOEtf_Open_max,First Trust International IPOEtf_Open_min,First Trust International IPOEtf_Open_volatility,First Trust International IPOEtf_Open_change,First Trust International IPOEtf_High_average,First Trust International IPOEtf_High_max,First Trust International IPOEtf_High_min,First Trust International IPOEtf_High_volatility,First Trust International IPOEtf_High_change,First Trust International IPOEtf_Low_average,First Trust International IPOEtf_Low_max,First Trust International IPOEtf_Low_min,First Trust International IPOEtf_Low_volatility,First Trust International IPOEtf_Low_change,First Trust International IPOEtf_Close_average,First Trust International IPOEtf_Close_max,First Trust International IPOEtf_Close_min,First Trust International IPOEtf_Close_volatility,First Trust International IPOEtf_Close_change
2018-01-14,38.73,38.73,38.73,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-01-21,39.69,39.69,39.69,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-01-28,39.19,39.19,39.19,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.29,38.29,38.29,0.0,0.0
2018-02-04,35.97,35.97,35.97,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-02-11,37.73,37.73,37.73,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-02-18,37.69,37.69,37.69,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.69,37.69,37.69,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2018-02-25,36.46,36.46,36.46,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-03-04,37.78,37.78,37.78,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-03-11,37.9,37.9,37.9,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-18,37.0,37.0,37.0,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0
