Date,SPDR MFS Systematic Core EquityEtf_Open_average,SPDR MFS Systematic Core EquityEtf_Open_max,SPDR MFS Systematic Core EquityEtf_Open_min,SPDR MFS Systematic Core EquityEtf_Open_volatility,SPDR MFS Systematic Core EquityEtf_Open_change,SPDR MFS Systematic Core EquityEtf_High_average,SPDR MFS Systematic Core EquityEtf_High_max,SPDR MFS Systematic Core EquityEtf_High_min,SPDR MFS Systematic Core EquityEtf_High_volatility,SPDR MFS Systematic Core EquityEtf_High_change,SPDR MFS Systematic Core EquityEtf_Low_average,SPDR MFS Systematic Core EquityEtf_Low_max,SPDR MFS Systematic Core EquityEtf_Low_min,SPDR MFS Systematic Core EquityEtf_Low_volatility,SPDR MFS Systematic Core EquityEtf_Low_change,SPDR MFS Systematic Core EquityEtf_Close_average,SPDR MFS Systematic Core EquityEtf_Close_max,SPDR MFS Systematic Core EquityEtf_Close_min,SPDR MFS Systematic Core EquityEtf_Close_volatility,SPDR MFS Systematic Core EquityEtf_Close_change
2018-01-14,78.44,78.44,78.44,0.0,0.0,78.55,78.55,78.55,0.0,0.0,78.38,78.38,78.38,0.0,0.0,78.54,78.54,78.54,0.0,0.0
2018-01-21,79.54,79.54,79.54,0.0,0.0,79.54,79.54,79.54,0.0,0.0,79.54,79.54,79.54,0.0,0.0,79.54,79.54,79.54,0.0,0.0
2018-01-28,77.8,77.8,77.8,0.0,0.0,77.8,77.8,77.8,0.0,0.0,76.68,76.68,76.68,0.0,0.0,76.68,76.68,76.68,0.0,0.0
2018-02-04,72.62,72.62,72.62,0.0,0.0,73.0,73.0,73.0,0.0,0.0,70.98,70.98,70.98,0.0,0.0,72.87,72.87,72.87,0.0,0.0
2018-02-11,75.69,75.69,75.69,0.0,0.0,75.98,75.98,75.98,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.9,75.9,75.9,0.0,0.0
2018-02-18,75.79,75.79,75.79,0.0,0.0,75.79,75.79,75.79,0.0,0.0,75.71,75.71,75.71,0.0,0.0,75.71,75.71,75.71,0.0,0.0
2018-02-25,73.64,73.64,73.64,0.0,0.0,74.28,74.28,74.28,0.0,0.0,73.49,73.49,73.49,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-03-04,77.02,77.02,77.02,0.0,0.0,77.33,77.33,77.33,0.0,0.0,77.02,77.02,77.02,0.0,0.0,77.33,77.33,77.33,0.0,0.0
2018-03-11,76.07,76.07,76.07,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.07,76.07,76.07,0.0,0.0,76.07,76.07,76.07,0.0,0.0
2018-03-18,73.09,73.09,73.09,0.0,0.0,73.21,73.21,73.21,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.68,72.68,72.68,0.0,0.0
2018-03-25,73.28,73.28,73.28,0.0,0.0,74.27,74.27,74.27,0.0,0.0,73.25,73.25,73.25,0.0,0.0,74.22,74.22,74.22,0.0,0.0
2018-04-01,73.24,73.24,73.24,0.0,0.0,73.66,73.66,73.66,0.0,0.0,72.17,72.17,72.17,0.0,0.0,72.17,72.17,72.17,0.0,0.0
2018-04-08,73.94,73.94,73.94,0.0,0.0,74.05,74.05,74.05,0.0,0.0,73.94,73.94,73.94,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-04-15,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.46,74.46,74.46,0.0,0.0
2018-04-22,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-04-29,72.99,72.99,72.99,0.0,0.0,74.39,74.39,74.39,0.0,0.0,72.99,72.99,72.99,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2018-05-06,76.25,76.25,76.25,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.09,76.09,76.09,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2018-05-13,76.29,76.29,76.29,0.0,0.0,76.41,76.41,76.41,0.0,0.0,76.19,76.19,76.19,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2018-05-20,76.62,76.62,76.62,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.45,76.45,76.45,0.0,0.0,76.46,76.46,76.46,0.0,0.0
