Date,WisdomTree International SmallCap DividendEtf_Open_average,WisdomTree International SmallCap DividendEtf_Open_max,WisdomTree International SmallCap DividendEtf_Open_min,WisdomTree International SmallCap DividendEtf_Open_volatility,WisdomTree International SmallCap DividendEtf_Open_change,WisdomTree International SmallCap DividendEtf_High_average,WisdomTree International SmallCap DividendEtf_High_max,WisdomTree International SmallCap DividendEtf_High_min,WisdomTree International SmallCap DividendEtf_High_volatility,WisdomTree International SmallCap DividendEtf_High_change,WisdomTree International SmallCap DividendEtf_Low_average,WisdomTree International SmallCap DividendEtf_Low_max,WisdomTree International SmallCap DividendEtf_Low_min,WisdomTree International SmallCap DividendEtf_Low_volatility,WisdomTree International SmallCap DividendEtf_Low_change,WisdomTree International SmallCap DividendEtf_Close_average,WisdomTree International SmallCap DividendEtf_Close_max,WisdomTree International SmallCap DividendEtf_Close_min,WisdomTree International SmallCap DividendEtf_Close_volatility,WisdomTree International SmallCap DividendEtf_Close_change
2018-01-14,80.11,80.11,80.11,0.0,0.0,80.15,80.15,80.15,0.0,0.0,79.93,79.93,79.93,0.0,0.0,80.13,80.13,80.13,0.0,0.0
2018-01-21,81.34,81.34,81.34,0.0,0.0,81.62,81.62,81.62,0.0,0.0,81.23,81.23,81.23,0.0,0.0,81.55,81.55,81.55,0.0,0.0
2018-01-28,79.92,79.92,79.92,0.0,0.0,79.92,79.92,79.92,0.0,0.0,79.08,79.08,79.08,0.0,0.0,79.12,79.12,79.12,0.0,0.0
2018-02-04,74.62,74.62,74.62,0.0,0.0,74.79,74.79,74.79,0.0,0.0,72.8,72.8,72.8,0.0,0.0,74.57,74.57,74.57,0.0,0.0
2018-02-11,77.07,77.07,77.07,0.0,0.0,77.64,77.64,77.64,0.0,0.0,77.0,77.0,77.0,0.0,0.0,77.22,77.22,77.22,0.0,0.0
2018-02-18,77.78,77.78,77.78,0.0,0.0,78.23,78.23,78.23,0.0,0.0,77.67,77.67,77.67,0.0,0.0,78.22,78.22,78.22,0.0,0.0
2018-02-25,75.46,75.46,75.46,0.0,0.0,76.2,76.2,76.2,0.0,0.0,75.25,75.25,75.25,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2018-03-04,77.43,77.43,77.43,0.0,0.0,77.83,77.83,77.83,0.0,0.0,77.27,77.27,77.27,0.0,0.0,77.83,77.83,77.83,0.0,0.0
2018-03-11,77.4,77.4,77.4,0.0,0.0,77.53,77.53,77.53,0.0,0.0,77.28,77.28,77.28,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2018-03-18,75.84,75.84,75.84,0.0,0.0,75.98,75.98,75.98,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2018-03-25,76.18,76.18,76.18,0.0,0.0,76.69,76.69,76.69,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.43,76.43,76.43,0.0,0.0
2018-04-01,76.18,76.18,76.18,0.0,0.0,76.4,76.4,76.4,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.81,75.81,75.81,0.0,0.0
2018-04-08,77.52,77.52,77.52,0.0,0.0,77.52,77.52,77.52,0.0,0.0,77.05,77.05,77.05,0.0,0.0,77.21,77.21,77.21,0.0,0.0
2018-04-15,77.52,77.52,77.52,0.0,0.0,77.52,77.52,77.52,0.0,0.0,77.22,77.22,77.22,0.0,0.0,77.34,77.34,77.34,0.0,0.0
2018-04-22,76.82,76.82,76.82,0.0,0.0,76.84,76.84,76.84,0.0,0.0,76.55,76.55,76.55,0.0,0.0,76.78,76.78,76.78,0.0,0.0
2018-04-29,76.32,76.32,76.32,0.0,0.0,76.9,76.9,76.9,0.0,0.0,76.24,76.24,76.24,0.0,0.0,76.78,76.78,76.78,0.0,0.0
2018-05-06,77.73,77.73,77.73,0.0,0.0,77.85,77.85,77.85,0.0,0.0,77.62,77.62,77.62,0.0,0.0,77.62,77.62,77.62,0.0,0.0
2018-05-13,77.18,77.18,77.18,0.0,0.0,77.2,77.2,77.2,0.0,0.0,76.98,76.98,76.98,0.0,0.0,77.11,77.11,77.11,0.0,0.0
2018-05-20,76.08,76.08,76.08,0.0,0.0,76.14,76.14,76.14,0.0,0.0,75.87,75.87,75.87,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2018-05-27,75.79,75.79,75.79,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.7,75.7,75.7,0.0,0.0,75.89,75.89,75.89,0.0,0.0
2018-06-03,76.75,76.75,76.75,0.0,0.0,76.91,76.91,76.91,0.0,0.0,76.56,76.56,76.56,0.0,0.0,76.82,76.82,76.82,0.0,0.0
2018-06-10,75.8,75.8,75.8,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-06-17,74.55,74.55,74.55,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.37,74.37,74.37,0.0,0.0,74.58,74.58,74.58,0.0,0.0
2018-06-24,71.75,71.75,71.75,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.95,71.95,71.95,0.0,0.0
2018-07-01,71.47,71.47,71.47,0.0,0.0,71.81,71.81,71.81,0.0,0.0,71.4,71.4,71.4,0.0,0.0,71.71,71.71,71.71,0.0,0.0
2018-07-08,71.39,71.39,71.39,0.0,0.0,71.61,71.61,71.61,0.0,0.0,71.39,71.39,71.39,0.0,0.0,71.58,71.58,71.58,0.0,0.0
