Date,SPDR DoubleLine Total Return TacticEtf_Open_average,SPDR DoubleLine Total Return TacticEtf_Open_max,SPDR DoubleLine Total Return TacticEtf_Open_min,SPDR DoubleLine Total Return TacticEtf_Open_volatility,SPDR DoubleLine Total Return TacticEtf_Open_change,SPDR DoubleLine Total Return TacticEtf_High_average,SPDR DoubleLine Total Return TacticEtf_High_max,SPDR DoubleLine Total Return TacticEtf_High_min,SPDR DoubleLine Total Return TacticEtf_High_volatility,SPDR DoubleLine Total Return TacticEtf_High_change,SPDR DoubleLine Total Return TacticEtf_Low_average,SPDR DoubleLine Total Return TacticEtf_Low_max,SPDR DoubleLine Total Return TacticEtf_Low_min,SPDR DoubleLine Total Return TacticEtf_Low_volatility,SPDR DoubleLine Total Return TacticEtf_Low_change,SPDR DoubleLine Total Return TacticEtf_Close_average,SPDR DoubleLine Total Return TacticEtf_Close_max,SPDR DoubleLine Total Return TacticEtf_Close_min,SPDR DoubleLine Total Return TacticEtf_Close_volatility,SPDR DoubleLine Total Return TacticEtf_Close_change
2018-01-14,48.37,48.37,48.37,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-01-21,48.29,48.29,48.29,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-01-28,47.91,47.91,47.91,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2018-02-04,47.79,47.79,47.79,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-02-11,47.83,47.83,47.83,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-02-18,47.75,47.75,47.75,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-02-25,47.74,47.74,47.74,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.71,47.71,47.71,0.0,0.0
2018-03-04,47.65,47.65,47.65,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-03-11,47.74,47.74,47.74,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-03-18,47.75,47.75,47.75,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.75,47.75,47.75,0.0,0.0
