Date,Schwab US Dividend EquityEtf_Open_average,Schwab US Dividend EquityEtf_Open_max,Schwab US Dividend EquityEtf_Open_min,Schwab US Dividend EquityEtf_Open_volatility,Schwab US Dividend EquityEtf_Open_change,Schwab US Dividend EquityEtf_High_average,Schwab US Dividend EquityEtf_High_max,Schwab US Dividend EquityEtf_High_min,Schwab US Dividend EquityEtf_High_volatility,Schwab US Dividend EquityEtf_High_change,Schwab US Dividend EquityEtf_Low_average,Schwab US Dividend EquityEtf_Low_max,Schwab US Dividend EquityEtf_Low_min,Schwab US Dividend EquityEtf_Low_volatility,Schwab US Dividend EquityEtf_Low_change,Schwab US Dividend EquityEtf_Close_average,Schwab US Dividend EquityEtf_Close_max,Schwab US Dividend EquityEtf_Close_min,Schwab US Dividend EquityEtf_Close_volatility,Schwab US Dividend EquityEtf_Close_change
2018-01-14,53.37,53.37,53.37,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2018-01-21,53.93,53.93,53.93,0.0,0.0,54.6,54.6,54.6,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-01-28,52.98,52.98,52.98,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-02-04,49.27,49.27,49.27,0.0,0.0,49.79,49.79,49.79,0.0,0.0,47.92,47.92,47.92,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-02-11,50.92,50.92,50.92,0.0,0.0,51.53,51.53,51.53,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-02-18,50.51,50.51,50.51,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-02-25,49.46,49.46,49.46,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.38,49.38,49.38,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-03-04,51.0,51.0,51.0,0.0,0.0,51.41,51.41,51.41,0.0,0.0,50.88,50.88,50.88,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-03-11,50.26,50.26,50.26,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2018-03-18,48.58,48.58,48.58,0.0,0.0,48.79,48.79,48.79,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-03-25,48.69,48.69,48.69,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-04-01,49.05,49.05,49.05,0.0,0.0,49.29,49.29,49.29,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2018-04-08,49.5,49.5,49.5,0.0,0.0,49.51,49.51,49.51,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-04-15,49.08,49.08,49.08,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2018-04-22,48.84,48.84,48.84,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-04-29,47.45,47.45,47.45,0.0,0.0,48.38,48.38,48.38,0.0,0.0,47.29,47.29,47.29,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-05-06,49.08,49.08,49.08,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.2,49.2,49.2,0.0,0.0
