Date,iShares S&P Small-Cap 600 ValueEtf_Open_average,iShares S&P Small-Cap 600 ValueEtf_Open_max,iShares S&P Small-Cap 600 ValueEtf_Open_min,iShares S&P Small-Cap 600 ValueEtf_Open_volatility,iShares S&P Small-Cap 600 ValueEtf_Open_change,iShares S&P Small-Cap 600 ValueEtf_High_average,iShares S&P Small-Cap 600 ValueEtf_High_max,iShares S&P Small-Cap 600 ValueEtf_High_min,iShares S&P Small-Cap 600 ValueEtf_High_volatility,iShares S&P Small-Cap 600 ValueEtf_High_change,iShares S&P Small-Cap 600 ValueEtf_Low_average,iShares S&P Small-Cap 600 ValueEtf_Low_max,iShares S&P Small-Cap 600 ValueEtf_Low_min,iShares S&P Small-Cap 600 ValueEtf_Low_volatility,iShares S&P Small-Cap 600 ValueEtf_Low_change,iShares S&P Small-Cap 600 ValueEtf_Close_average,iShares S&P Small-Cap 600 ValueEtf_Close_max,iShares S&P Small-Cap 600 ValueEtf_Close_min,iShares S&P Small-Cap 600 ValueEtf_Close_volatility,iShares S&P Small-Cap 600 ValueEtf_Close_change
2018-01-14,157.12,157.12,157.12,0.0,0.0,159.37,159.37,159.37,0.0,0.0,157.12,157.12,157.12,0.0,0.0,159.29,159.29,159.29,0.0,0.0
2018-01-21,159.44,159.44,159.44,0.0,0.0,159.44,159.44,159.44,0.0,0.0,158.34,158.34,158.34,0.0,0.0,159.26,159.26,159.26,0.0,0.0
2018-01-28,155.19,155.19,155.19,0.0,0.0,155.28,155.28,155.28,0.0,0.0,152.55,152.55,152.55,0.0,0.0,152.83,152.83,152.83,0.0,0.0
2018-02-04,146.79,146.79,146.79,0.0,0.0,148.03,148.03,148.03,0.0,0.0,143.24,143.24,143.24,0.0,0.0,146.9,146.9,146.9,0.0,0.0
2018-02-11,152.33,152.33,152.33,0.0,0.0,154.26,154.26,154.26,0.0,0.0,152.24,152.24,152.24,0.0,0.0,153.17,153.17,153.17,0.0,0.0
2018-02-18,152.69,152.69,152.69,0.0,0.0,153.46,153.46,153.46,0.0,0.0,151.99,151.99,151.99,0.0,0.0,153.41,153.41,153.41,0.0,0.0
2018-02-25,147.78,147.78,147.78,0.0,0.0,150.93,150.93,150.93,0.0,0.0,147.21,147.21,147.21,0.0,0.0,150.53,150.53,150.53,0.0,0.0
2018-03-04,154.86,154.86,154.86,0.0,0.0,156.26,156.26,156.26,0.0,0.0,154.11,154.11,154.11,0.0,0.0,156.22,156.22,156.22,0.0,0.0
2018-03-11,154.81,154.81,154.81,0.0,0.0,156.61,156.61,156.61,0.0,0.0,154.7,154.7,154.7,0.0,0.0,156.37,156.37,156.37,0.0,0.0
2018-03-18,151.82,151.82,151.82,0.0,0.0,152.44,152.44,152.44,0.0,0.0,148.26,148.26,148.26,0.0,0.0,148.26,148.26,148.26,0.0,0.0
2018-03-25,150.51,150.51,150.51,0.0,0.0,151.87,151.87,151.87,0.0,0.0,150.05,150.05,150.05,0.0,0.0,150.84,150.84,150.84,0.0,0.0
2018-04-01,152.27,152.27,152.27,0.0,0.0,153.46,153.46,153.46,0.0,0.0,149.39,149.39,149.39,0.0,0.0,150.56,150.56,150.56,0.0,0.0
2018-04-08,154.87,154.87,154.87,0.0,0.0,154.87,154.87,154.87,0.0,0.0,153.38,153.38,153.38,0.0,0.0,153.78,153.78,153.78,0.0,0.0
2018-04-15,155.59,155.59,155.59,0.0,0.0,156.14,156.14,156.14,0.0,0.0,154.69,154.69,154.69,0.0,0.0,155.16,155.16,155.16,0.0,0.0
