Date,ProShares UltraPro S&P500Etf_Open_average,ProShares UltraPro S&P500Etf_Open_max,ProShares UltraPro S&P500Etf_Open_min,ProShares UltraPro S&P500Etf_Open_volatility,ProShares UltraPro S&P500Etf_Open_change,ProShares UltraPro S&P500Etf_High_average,ProShares UltraPro S&P500Etf_High_max,ProShares UltraPro S&P500Etf_High_min,ProShares UltraPro S&P500Etf_High_volatility,ProShares UltraPro S&P500Etf_High_change,ProShares UltraPro S&P500Etf_Low_average,ProShares UltraPro S&P500Etf_Low_max,ProShares UltraPro S&P500Etf_Low_min,ProShares UltraPro S&P500Etf_Low_volatility,ProShares UltraPro S&P500Etf_Low_change,ProShares UltraPro S&P500Etf_Close_average,ProShares UltraPro S&P500Etf_Close_max,ProShares UltraPro S&P500Etf_Close_min,ProShares UltraPro S&P500Etf_Close_volatility,ProShares UltraPro S&P500Etf_Close_change
2018-01-14,53.57,53.57,53.57,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2018-01-21,56.15,56.15,56.15,0.0,0.0,57.48,57.48,57.48,0.0,0.0,55.94,55.94,55.94,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2018-01-28,53.52,53.52,53.52,0.0,0.0,53.66,53.66,53.66,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-02-04,42.68,42.68,42.68,0.0,0.0,43.96,43.96,43.96,0.0,0.0,38.87,38.87,38.87,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-02-11,48.4,48.4,48.4,0.0,0.0,50.01,50.01,50.01,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-02-18,48.08,48.08,48.08,0.0,0.0,49.62,49.62,49.62,0.0,0.0,47.8,47.8,47.8,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-02-25,44.71,44.71,44.71,0.0,0.0,46.8,46.8,46.8,0.0,0.0,44.29,44.29,44.29,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-03-04,49.93,49.93,49.93,0.0,0.0,51.61,51.61,51.61,0.0,0.0,49.74,49.74,49.74,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-03-11,49.68,49.68,49.68,0.0,0.0,50.26,50.26,50.26,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-03-18,44.19,44.19,44.19,0.0,0.0,44.59,44.59,44.59,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-03-25,42.43,42.43,42.43,0.0,0.0,44.4,44.4,44.4,0.0,0.0,42.01,42.01,42.01,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2018-04-01,43.28,43.28,43.28,0.0,0.0,44.19,44.19,44.19,0.0,0.0,40.65,40.65,40.65,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-04-08,45.22,45.22,45.22,0.0,0.0,45.24,45.24,45.24,0.0,0.0,43.48,43.48,43.48,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-04-15,45.83,45.83,45.83,0.0,0.0,45.93,45.93,45.93,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2018-04-22,44.82,44.82,44.82,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.05,44.05,44.05,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-04-29,42.04,42.04,42.04,0.0,0.0,44.59,44.59,44.59,0.0,0.0,41.85,41.85,41.85,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-05-06,47.29,47.29,47.29,0.0,0.0,47.79,47.79,47.79,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-05-13,46.94,46.94,46.94,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-05-20,47.17,47.17,47.17,0.0,0.0,47.5,47.5,47.5,0.0,0.0,46.83,46.83,46.83,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2018-05-27,47.15,47.15,47.15,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2018-06-03,49.41,49.41,49.41,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.33,49.33,49.33,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-06-10,49.93,49.93,49.93,0.0,0.0,50.39,50.39,50.39,0.0,0.0,49.23,49.23,49.23,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-06-17,49.28,49.28,49.28,0.0,0.0,49.34,49.34,49.34,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-06-24,47.31,47.31,47.31,0.0,0.0,48.1,48.1,48.1,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-07-01,47.78,47.78,47.78,0.0,0.0,49.19,49.19,49.19,0.0,0.0,47.55,47.55,47.55,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-07-08,50.89,50.89,50.89,0.0,0.0,51.33,51.33,51.33,0.0,0.0,50.63,50.63,50.63,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-07-15,51.17,51.17,51.17,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2018-07-22,53.33,53.33,53.33,0.0,0.0,53.34,53.34,53.34,0.0,0.0,51.42,51.42,51.42,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2018-07-29,52.56,52.56,52.56,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.45,52.45,52.45,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2018-08-05,52.94,52.94,52.94,0.0,0.0,53.33,53.33,53.33,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2018-08-12,53.06,53.06,53.06,0.0,0.0,54.08,54.08,54.08,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2018-08-19,54.52,54.52,54.52,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.49,54.49,54.49,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-08-26,56.38,56.38,56.38,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-09-02,54.7,54.7,54.7,0.0,0.0,55.68,55.68,55.68,0.0,0.0,54.53,54.53,54.53,0.0,0.0,55.02,55.02,55.02,0.0,0.0
2018-09-09,57.02,57.02,57.02,0.0,0.0,57.09,57.09,57.09,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2018-09-16,58.86,58.86,58.86,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.11,58.11,58.11,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-09-23,56.95,56.95,56.95,0.0,0.0,57.68,57.68,57.68,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2018-09-30,56.66,56.66,56.66,0.0,0.0,57.01,57.01,57.01,0.0,0.0,54.63,54.63,54.63,0.0,0.0,55.65,55.65,55.65,0.0,0.0
2018-10-07,49.09,49.09,49.09,0.0,0.0,49.23,49.23,49.23,0.0,0.0,46.8,46.8,46.8,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-10-14,49.13,49.13,49.13,0.0,0.0,50.24,50.24,50.24,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-10-21,43.09,43.09,43.09,0.0,0.0,44.54,44.54,44.54,0.0,0.0,41.3,41.3,41.3,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2018-10-28,47.39,47.39,47.39,0.0,0.0,47.64,47.64,47.64,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.87,45.87,45.87,0.0,0.0
2018-11-04,49.48,49.48,49.48,0.0,0.0,49.61,49.61,49.61,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-11-11,45.63,45.63,45.63,0.0,0.0,47.09,47.09,47.09,0.0,0.0,45.28,45.28,45.28,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2018-11-18,41.21,41.21,41.21,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.32,41.32,41.32,0.0,0.0
2018-11-25,46.27,46.27,46.27,0.0,0.0,47.57,47.57,47.57,0.0,0.0,46.12,46.12,46.12,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-12-02,43.86,43.86,43.86,0.0,0.0,44.78,44.78,44.78,0.0,0.0,40.55,40.55,40.55,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2018-12-09,40.64,40.64,40.64,0.0,0.0,41.16,41.16,41.16,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2018-12-16,33.96,33.96,33.96,0.0,0.0,35.16,35.16,35.16,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-12-23,34.55,34.55,34.55,0.0,0.0,35.33,35.33,35.33,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-12-30,33.64,33.64,33.64,0.0,0.0,35.83,35.83,35.83,0.0,0.0,33.47,33.47,33.47,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2019-01-06,37.75,37.75,37.75,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.46,37.46,37.46,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2019-01-13,40.98,40.98,40.98,0.0,0.0,41.88,41.88,41.88,0.0,0.0,40.56,40.56,40.56,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2019-01-20,41.18,41.18,41.18,0.0,0.0,41.66,41.66,41.66,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.24,41.24,41.24,0.0,0.0
