Date,Cambria Shareholder YieldEtf_Open_average,Cambria Shareholder YieldEtf_Open_max,Cambria Shareholder YieldEtf_Open_min,Cambria Shareholder YieldEtf_Open_volatility,Cambria Shareholder YieldEtf_Open_change,Cambria Shareholder YieldEtf_High_average,Cambria Shareholder YieldEtf_High_max,Cambria Shareholder YieldEtf_High_min,Cambria Shareholder YieldEtf_High_volatility,Cambria Shareholder YieldEtf_High_change,Cambria Shareholder YieldEtf_Low_average,Cambria Shareholder YieldEtf_Low_max,Cambria Shareholder YieldEtf_Low_min,Cambria Shareholder YieldEtf_Low_volatility,Cambria Shareholder YieldEtf_Low_change,Cambria Shareholder YieldEtf_Close_average,Cambria Shareholder YieldEtf_Close_max,Cambria Shareholder YieldEtf_Close_min,Cambria Shareholder YieldEtf_Close_volatility,Cambria Shareholder YieldEtf_Close_change
2018-01-14,40.12,40.12,40.12,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-01-21,40.44,40.44,40.44,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-01-28,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-02-04,37.16,37.16,37.16,0.0,0.0,37.41,37.41,37.41,0.0,0.0,36.04,36.04,36.04,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-02-11,38.76,38.76,38.76,0.0,0.0,39.08,39.08,39.08,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-02-18,38.7,38.7,38.7,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2018-02-25,37.54,37.54,37.54,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.39,37.39,37.39,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2018-03-04,38.83,38.83,38.83,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.65,38.65,38.65,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-03-11,38.35,38.35,38.35,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2018-03-18,37.55,37.55,37.55,0.0,0.0,37.75,37.75,37.75,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.83,36.83,36.83,0.0,0.0
