Date,iShares MSCI JapanEtf_Open_average,iShares MSCI JapanEtf_Open_max,iShares MSCI JapanEtf_Open_min,iShares MSCI JapanEtf_Open_volatility,iShares MSCI JapanEtf_Open_change,iShares MSCI JapanEtf_High_average,iShares MSCI JapanEtf_High_max,iShares MSCI JapanEtf_High_min,iShares MSCI JapanEtf_High_volatility,iShares MSCI JapanEtf_High_change,iShares MSCI JapanEtf_Low_average,iShares MSCI JapanEtf_Low_max,iShares MSCI JapanEtf_Low_min,iShares MSCI JapanEtf_Low_volatility,iShares MSCI JapanEtf_Low_change,iShares MSCI JapanEtf_Close_average,iShares MSCI JapanEtf_Close_max,iShares MSCI JapanEtf_Close_min,iShares MSCI JapanEtf_Close_volatility,iShares MSCI JapanEtf_Close_change
2018-01-14,63.93,63.93,63.93,0.0,0.0,63.93,63.93,63.93,0.0,0.0,63.67,63.67,63.67,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2018-01-21,64.39,64.39,64.39,0.0,0.0,64.72,64.72,64.72,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.67,64.67,64.67,0.0,0.0
2018-01-28,62.92,62.92,62.92,0.0,0.0,62.97,62.97,62.97,0.0,0.0,62.31,62.31,62.31,0.0,0.0,62.32,62.32,62.32,0.0,0.0
2018-02-04,59.51,59.51,59.51,0.0,0.0,59.62,59.62,59.62,0.0,0.0,57.58,57.58,57.58,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2018-02-11,61.28,61.28,61.28,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.6,61.6,61.6,0.0,0.0
2018-02-18,61.24,61.24,61.24,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.66,61.66,61.66,0.0,0.0
2018-02-25,59.06,59.06,59.06,0.0,0.0,59.98,59.98,59.98,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.97,59.97,59.97,0.0,0.0
2018-03-04,60.16,60.16,60.16,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.62,60.62,60.62,0.0,0.0
2018-03-11,60.63,60.63,60.63,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-03-18,59.14,59.14,59.14,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.28,58.28,58.28,0.0,0.0
2018-03-25,60.29,60.29,60.29,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2018-04-01,60.07,60.07,60.07,0.0,0.0,60.23,60.23,60.23,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.62,59.62,59.62,0.0,0.0
2018-04-08,60.33,60.33,60.33,0.0,0.0,60.34,60.34,60.34,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2018-04-15,60.84,60.84,60.84,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-04-22,60.96,60.96,60.96,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2018-04-29,60.13,60.13,60.13,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-05-06,61.29,61.29,61.29,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.22,61.22,61.22,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2018-05-13,61.14,61.14,61.14,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-05-20,60.18,60.18,60.18,0.0,0.0,60.27,60.27,60.27,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2018-05-27,60.13,60.13,60.13,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.03,60.03,60.03,0.0,0.0,60.15,60.15,60.15,0.0,0.0
2018-06-03,60.67,60.67,60.67,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2018-06-10,60.36,60.36,60.36,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.06,60.06,60.06,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2018-06-17,59.12,59.12,59.12,0.0,0.0,59.19,59.19,59.19,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2018-06-24,57.96,57.96,57.96,0.0,0.0,58.11,58.11,58.11,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-07-01,57.0,57.0,57.0,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.93,56.93,56.93,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-07-08,57.47,57.47,57.47,0.0,0.0,57.59,57.59,57.59,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-07-15,57.92,57.92,57.92,0.0,0.0,58.2,58.2,58.2,0.0,0.0,57.89,57.89,57.89,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-07-22,59.62,59.62,59.62,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2018-07-29,58.23,58.23,58.23,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-08-05,57.63,57.63,57.63,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2018-08-12,57.06,57.06,57.06,0.0,0.0,57.37,57.37,57.37,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2018-08-19,57.46,57.46,57.46,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2018-08-26,58.22,58.22,58.22,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-09-02,56.75,56.75,56.75,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2018-09-09,58.13,58.13,58.13,0.0,0.0,58.21,58.21,58.21,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-09-16,59.86,59.86,59.86,0.0,0.0,60.15,60.15,60.15,0.0,0.0,59.8,59.8,59.8,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-09-23,60.15,60.15,60.15,0.0,0.0,60.41,60.41,60.41,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2018-09-30,59.33,59.33,59.33,0.0,0.0,59.5,59.5,59.5,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2018-10-07,56.7,56.7,56.7,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2018-10-14,56.85,56.85,56.85,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-10-21,53.74,53.74,53.74,0.0,0.0,54.31,54.31,54.31,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2018-10-28,55.39,55.39,55.39,0.0,0.0,55.48,55.48,55.48,0.0,0.0,54.66,54.66,54.66,0.0,0.0,55.02,55.02,55.02,0.0,0.0
2018-11-04,55.08,55.08,55.08,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-11-11,54.24,54.24,54.24,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-11-18,54.04,54.04,54.04,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2018-11-25,55.3,55.3,55.3,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.34,55.34,55.34,0.0,0.0
2018-12-02,54.02,54.02,54.02,0.0,0.0,54.23,54.23,54.23,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-12-09,52.92,52.92,52.92,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-12-16,50.05,50.05,50.05,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-12-23,51.01,51.01,51.01,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2018-12-30,51.42,51.42,51.42,0.0,0.0,52.55,52.55,52.55,0.0,0.0,51.34,51.34,51.34,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2019-01-06,52.9,52.9,52.9,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2019-01-13,54.07,54.07,54.07,0.0,0.0,54.22,54.22,54.22,0.0,0.0,53.88,53.88,53.88,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2019-01-20,53.9,53.9,53.9,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2019-01-27,54.13,54.13,54.13,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.88,53.88,53.88,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2019-02-03,52.5,52.5,52.5,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-02-10,54.21,54.21,54.21,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2019-02-17,54.71,54.71,54.71,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2019-02-24,54.51,54.51,54.51,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2019-03-03,52.95,52.95,52.95,0.0,0.0,53.37,53.37,53.37,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2019-03-10,54.14,54.14,54.14,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2019-03-17,54.72,54.72,54.72,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2019-03-24,54.78,54.78,54.78,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2019-03-31,55.3,55.3,55.3,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2019-04-07,55.06,55.06,55.06,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2019-04-14,55.4,55.4,55.4,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2019-04-21,55.24,55.24,55.24,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2019-04-28,55.51,55.51,55.51,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2019-05-05,53.59,53.59,53.59,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.17,53.17,53.17,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2019-05-12,53.81,53.81,53.81,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.69,53.69,53.69,0.0,0.0
