Date,Vanguard Total International StockEtf_Open_average,Vanguard Total International StockEtf_Open_max,Vanguard Total International StockEtf_Open_min,Vanguard Total International StockEtf_Open_volatility,Vanguard Total International StockEtf_Open_change,Vanguard Total International StockEtf_High_average,Vanguard Total International StockEtf_High_max,Vanguard Total International StockEtf_High_min,Vanguard Total International StockEtf_High_volatility,Vanguard Total International StockEtf_High_change,Vanguard Total International StockEtf_Low_average,Vanguard Total International StockEtf_Low_max,Vanguard Total International StockEtf_Low_min,Vanguard Total International StockEtf_Low_volatility,Vanguard Total International StockEtf_Low_change,Vanguard Total International StockEtf_Close_average,Vanguard Total International StockEtf_Close_max,Vanguard Total International StockEtf_Close_min,Vanguard Total International StockEtf_Close_volatility,Vanguard Total International StockEtf_Close_change
2018-01-14,59.98,59.98,59.98,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.96,59.96,59.96,0.0,0.0
2018-01-21,60.87,60.87,60.87,0.0,0.0,61.17,61.17,61.17,0.0,0.0,60.82,60.82,60.82,0.0,0.0,61.17,61.17,61.17,0.0,0.0
2018-01-28,59.45,59.45,59.45,0.0,0.0,59.45,59.45,59.45,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-02-04,55.64,55.64,55.64,0.0,0.0,55.9,55.9,55.9,0.0,0.0,54.2,54.2,54.2,0.0,0.0,55.62,55.62,55.62,0.0,0.0
2018-02-11,57.87,57.87,57.87,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.8,57.8,57.8,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-02-18,57.81,57.81,57.81,0.0,0.0,58.15,58.15,58.15,0.0,0.0,57.69,57.69,57.69,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-02-25,55.92,55.92,55.92,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.76,55.76,55.76,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-03-04,57.43,57.43,57.43,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2018-03-11,57.41,57.41,57.41,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-03-18,56.13,56.13,56.13,0.0,0.0,56.28,56.28,56.28,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2018-03-25,56.3,56.3,56.3,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-04-01,56.45,56.45,56.45,0.0,0.0,56.69,56.69,56.69,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2018-04-08,57.27,57.27,57.27,0.0,0.0,57.27,57.27,57.27,0.0,0.0,56.87,56.87,56.87,0.0,0.0,57.05,57.05,57.05,0.0,0.0
2018-04-15,57.23,57.23,57.23,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-04-22,57.06,57.06,57.06,0.0,0.0,57.13,57.13,57.13,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2018-04-29,56.21,56.21,56.21,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.82,56.82,56.82,0.0,0.0
2018-05-06,57.7,57.7,57.7,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-05-13,57.08,57.08,57.08,0.0,0.0,57.12,57.12,57.12,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-05-20,56.46,56.46,56.46,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.48,56.48,56.48,0.0,0.0
