Date,First Trust Global Tactical Commodity StrategyEtf_Open_average,First Trust Global Tactical Commodity StrategyEtf_Open_max,First Trust Global Tactical Commodity StrategyEtf_Open_min,First Trust Global Tactical Commodity StrategyEtf_Open_volatility,First Trust Global Tactical Commodity StrategyEtf_Open_change,First Trust Global Tactical Commodity StrategyEtf_High_average,First Trust Global Tactical Commodity StrategyEtf_High_max,First Trust Global Tactical Commodity StrategyEtf_High_min,First Trust Global Tactical Commodity StrategyEtf_High_volatility,First Trust Global Tactical Commodity StrategyEtf_High_change,First Trust Global Tactical Commodity StrategyEtf_Low_average,First Trust Global Tactical Commodity StrategyEtf_Low_max,First Trust Global Tactical Commodity StrategyEtf_Low_min,First Trust Global Tactical Commodity StrategyEtf_Low_volatility,First Trust Global Tactical Commodity StrategyEtf_Low_change,First Trust Global Tactical Commodity StrategyEtf_Close_average,First Trust Global Tactical Commodity StrategyEtf_Close_max,First Trust Global Tactical Commodity StrategyEtf_Close_min,First Trust Global Tactical Commodity StrategyEtf_Close_volatility,First Trust Global Tactical Commodity StrategyEtf_Close_change
2018-01-14,20.84,20.84,20.84,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-01-21,21.12,21.12,21.12,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2018-01-28,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-02-04,20.27,20.27,20.27,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2018-02-11,20.79,20.79,20.79,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2018-02-18,20.96,20.96,20.96,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2018-02-25,20.78,20.78,20.78,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2018-03-04,20.78,20.78,20.78,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2018-03-11,20.66,20.66,20.66,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2018-03-18,20.77,20.77,20.77,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.83,20.83,20.83,0.0,0.0
2018-03-25,20.72,20.72,20.72,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-04-01,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2018-04-08,21.14,21.14,21.14,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2018-04-15,21.32,21.32,21.32,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2018-04-22,21.21,21.21,21.21,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.33,21.33,21.33,0.0,0.0
