Date,IQ Hedge Event-Driven TrackerEtf_Open_average,IQ Hedge Event-Driven TrackerEtf_Open_max,IQ Hedge Event-Driven TrackerEtf_Open_min,IQ Hedge Event-Driven TrackerEtf_Open_volatility,IQ Hedge Event-Driven TrackerEtf_Open_change,IQ Hedge Event-Driven TrackerEtf_High_average,IQ Hedge Event-Driven TrackerEtf_High_max,IQ Hedge Event-Driven TrackerEtf_High_min,IQ Hedge Event-Driven TrackerEtf_High_volatility,IQ Hedge Event-Driven TrackerEtf_High_change,IQ Hedge Event-Driven TrackerEtf_Low_average,IQ Hedge Event-Driven TrackerEtf_Low_max,IQ Hedge Event-Driven TrackerEtf_Low_min,IQ Hedge Event-Driven TrackerEtf_Low_volatility,IQ Hedge Event-Driven TrackerEtf_Low_change,IQ Hedge Event-Driven TrackerEtf_Close_average,IQ Hedge Event-Driven TrackerEtf_Close_max,IQ Hedge Event-Driven TrackerEtf_Close_min,IQ Hedge Event-Driven TrackerEtf_Close_volatility,IQ Hedge Event-Driven TrackerEtf_Close_change
2018-01-14,21.08,21.08,21.08,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.08,21.08,21.08,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2018-01-21,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-01-28,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2018-02-04,20.85,20.85,20.85,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-02-11,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-02-18,21.15,21.15,21.15,0.0,0.0,21.15,21.15,21.15,0.0,0.0,20.96,20.96,20.96,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-02-25,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0
2018-03-04,21.11,21.11,21.11,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2018-03-11,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2018-03-18,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2018-03-25,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-04-01,20.88,20.88,20.88,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-04-08,20.98,20.98,20.98,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.98,20.98,20.98,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-04-15,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2018-04-22,20.91,20.91,20.91,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2018-04-29,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.97,20.97,20.97,0.0,0.0
2018-05-06,21.13,21.13,21.13,0.0,0.0,21.13,21.13,21.13,0.0,0.0,21.13,21.13,21.13,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2018-05-13,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.17,21.17,21.17,0.0,0.0
2018-05-20,21.17,21.17,21.17,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.17,21.17,21.17,0.0,0.0
2018-05-27,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2018-06-03,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-06-10,21.42,21.42,21.42,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-06-17,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2018-06-24,21.21,21.21,21.21,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-07-01,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2018-07-08,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-07-15,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-07-22,21.45,21.45,21.45,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2018-07-29,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2018-08-05,21.43,21.43,21.43,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2018-08-12,21.4,21.4,21.4,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2018-08-19,21.63,21.63,21.63,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2018-08-26,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-09-02,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-09-09,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
