Date,WisdomTree International MidCap DividendEtf_Open_average,WisdomTree International MidCap DividendEtf_Open_max,WisdomTree International MidCap DividendEtf_Open_min,WisdomTree International MidCap DividendEtf_Open_volatility,WisdomTree International MidCap DividendEtf_Open_change,WisdomTree International MidCap DividendEtf_High_average,WisdomTree International MidCap DividendEtf_High_max,WisdomTree International MidCap DividendEtf_High_min,WisdomTree International MidCap DividendEtf_High_volatility,WisdomTree International MidCap DividendEtf_High_change,WisdomTree International MidCap DividendEtf_Low_average,WisdomTree International MidCap DividendEtf_Low_max,WisdomTree International MidCap DividendEtf_Low_min,WisdomTree International MidCap DividendEtf_Low_volatility,WisdomTree International MidCap DividendEtf_Low_change,WisdomTree International MidCap DividendEtf_Close_average,WisdomTree International MidCap DividendEtf_Close_max,WisdomTree International MidCap DividendEtf_Close_min,WisdomTree International MidCap DividendEtf_Close_volatility,WisdomTree International MidCap DividendEtf_Close_change
2018-01-14,72.56,72.56,72.56,0.0,0.0,72.56,72.56,72.56,0.0,0.0,72.22,72.22,72.22,0.0,0.0,72.39,72.39,72.39,0.0,0.0
2018-01-21,73.49,73.49,73.49,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.67,73.67,73.67,0.0,0.0
2018-01-28,71.92,71.92,71.92,0.0,0.0,71.92,71.92,71.92,0.0,0.0,71.34,71.34,71.34,0.0,0.0,71.34,71.34,71.34,0.0,0.0
2018-02-04,67.56,67.56,67.56,0.0,0.0,67.56,67.56,67.56,0.0,0.0,65.92,65.92,65.92,0.0,0.0,67.49,67.49,67.49,0.0,0.0
2018-02-11,69.96,69.96,69.96,0.0,0.0,70.4,70.4,70.4,0.0,0.0,69.95,69.95,69.95,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-02-18,70.04,70.04,70.04,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.04,70.04,70.04,0.0,0.0,70.5,70.5,70.5,0.0,0.0
2018-02-25,67.81,67.81,67.81,0.0,0.0,68.38,68.38,68.38,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.38,68.38,68.38,0.0,0.0
2018-03-04,69.72,69.72,69.72,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.85,69.85,69.85,0.0,0.0
2018-03-11,69.42,69.42,69.42,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.38,69.38,69.38,0.0,0.0
2018-03-18,67.86,67.86,67.86,0.0,0.0,67.95,67.95,67.95,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-03-25,68.44,68.44,68.44,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.75,68.75,68.75,0.0,0.0
2018-04-01,68.7,68.7,68.7,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.06,68.06,68.06,0.0,0.0
2018-04-08,69.53,69.53,69.53,0.0,0.0,69.62,69.62,69.62,0.0,0.0,69.49,69.49,69.49,0.0,0.0,69.49,69.49,69.49,0.0,0.0
2018-04-15,70.0,70.0,70.0,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.77,69.77,69.77,0.0,0.0
2018-04-22,69.94,69.94,69.94,0.0,0.0,70.04,70.04,70.04,0.0,0.0,69.85,69.85,69.85,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-04-29,69.51,69.51,69.51,0.0,0.0,69.96,69.96,69.96,0.0,0.0,69.51,69.51,69.51,0.0,0.0,69.87,69.87,69.87,0.0,0.0
2018-05-06,70.56,70.56,70.56,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.52,70.52,70.52,0.0,0.0,70.59,70.59,70.59,0.0,0.0
2018-05-13,69.93,69.93,69.93,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-05-20,69.0,69.0,69.0,0.0,0.0,69.15,69.15,69.15,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2018-05-27,68.89,68.89,68.89,0.0,0.0,68.94,68.94,68.94,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-06-03,69.39,69.39,69.39,0.0,0.0,69.55,69.55,69.55,0.0,0.0,69.24,69.24,69.24,0.0,0.0,69.55,69.55,69.55,0.0,0.0
2018-06-10,68.85,68.85,68.85,0.0,0.0,68.89,68.89,68.89,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.82,68.82,68.82,0.0,0.0
2018-06-17,67.8,67.8,67.8,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.59,67.59,67.59,0.0,0.0
2018-06-24,65.36,65.36,65.36,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-07-01,65.65,65.65,65.65,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.8,65.8,65.8,0.0,0.0
2018-07-08,65.48,65.48,65.48,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-07-15,65.77,65.77,65.77,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2018-07-22,66.86,66.86,66.86,0.0,0.0,66.86,66.86,66.86,0.0,0.0,66.46,66.46,66.46,0.0,0.0,66.66,66.66,66.66,0.0,0.0
2018-07-29,65.97,65.97,65.97,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2018-08-05,64.8,64.8,64.8,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2018-08-12,63.75,63.75,63.75,0.0,0.0,64.34,64.34,64.34,0.0,0.0,63.75,63.75,63.75,0.0,0.0,64.34,64.34,64.34,0.0,0.0
2018-08-19,65.2,65.2,65.2,0.0,0.0,65.37,65.37,65.37,0.0,0.0,65.2,65.2,65.2,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-08-26,65.5,65.5,65.5,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-09-02,63.88,63.88,63.88,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.81,63.81,63.81,0.0,0.0
2018-09-09,65.06,65.06,65.06,0.0,0.0,65.11,65.11,65.11,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2018-09-16,66.85,66.85,66.85,0.0,0.0,66.89,66.89,66.89,0.0,0.0,66.79,66.79,66.79,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-09-23,65.58,65.58,65.58,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2018-09-30,64.29,64.29,64.29,0.0,0.0,64.29,64.29,64.29,0.0,0.0,63.78,63.78,63.78,0.0,0.0,63.89,63.89,63.89,0.0,0.0
