Date,First Trust Multi Cap Value AlphaDEXEtf_Open_average,First Trust Multi Cap Value AlphaDEXEtf_Open_max,First Trust Multi Cap Value AlphaDEXEtf_Open_min,First Trust Multi Cap Value AlphaDEXEtf_Open_volatility,First Trust Multi Cap Value AlphaDEXEtf_Open_change,First Trust Multi Cap Value AlphaDEXEtf_High_average,First Trust Multi Cap Value AlphaDEXEtf_High_max,First Trust Multi Cap Value AlphaDEXEtf_High_min,First Trust Multi Cap Value AlphaDEXEtf_High_volatility,First Trust Multi Cap Value AlphaDEXEtf_High_change,First Trust Multi Cap Value AlphaDEXEtf_Low_average,First Trust Multi Cap Value AlphaDEXEtf_Low_max,First Trust Multi Cap Value AlphaDEXEtf_Low_min,First Trust Multi Cap Value AlphaDEXEtf_Low_volatility,First Trust Multi Cap Value AlphaDEXEtf_Low_change,First Trust Multi Cap Value AlphaDEXEtf_Close_average,First Trust Multi Cap Value AlphaDEXEtf_Close_max,First Trust Multi Cap Value AlphaDEXEtf_Close_min,First Trust Multi Cap Value AlphaDEXEtf_Close_volatility,First Trust Multi Cap Value AlphaDEXEtf_Close_change
2018-01-14,58.42,58.42,58.42,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.72,58.72,58.72,0.0,0.0
2018-01-21,59.0,59.0,59.0,0.0,0.0,59.21,59.21,59.21,0.0,0.0,58.9,58.9,58.9,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2018-01-28,57.4,57.4,57.4,0.0,0.0,57.4,57.4,57.4,0.0,0.0,56.43,56.43,56.43,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2018-02-04,53.98,53.98,53.98,0.0,0.0,53.98,53.98,53.98,0.0,0.0,52.6,52.6,52.6,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2018-02-11,56.0,56.0,56.0,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.31,56.31,56.31,0.0,0.0
2018-02-18,55.67,55.67,55.67,0.0,0.0,56.06,56.06,56.06,0.0,0.0,55.62,55.62,55.62,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2018-02-25,54.24,54.24,54.24,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.77,54.77,54.77,0.0,0.0
2018-03-04,56.18,56.18,56.18,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2018-03-11,55.9,55.9,55.9,0.0,0.0,56.16,56.16,56.16,0.0,0.0,55.9,55.9,55.9,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2018-03-18,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-03-25,54.29,54.29,54.29,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-04-01,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.91,53.91,53.91,0.0,0.0
2018-04-08,54.83,54.83,54.83,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2018-04-15,55.42,55.42,55.42,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-04-22,55.18,55.18,55.18,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.21,55.21,55.21,0.0,0.0
2018-04-29,54.14,54.14,54.14,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2018-05-06,55.7,55.7,55.7,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.45,55.45,55.45,0.0,0.0
2018-05-13,56.15,56.15,56.15,0.0,0.0,56.15,56.15,56.15,0.0,0.0,55.97,55.97,55.97,0.0,0.0,55.99,55.99,55.99,0.0,0.0
2018-05-20,55.89,55.89,55.89,0.0,0.0,55.94,55.94,55.94,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-05-27,56.08,56.08,56.08,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.93,55.93,55.93,0.0,0.0
2018-06-03,56.81,56.81,56.81,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-06-10,56.58,56.58,56.58,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-06-17,57.07,57.07,57.07,0.0,0.0,57.07,57.07,57.07,0.0,0.0,56.78,56.78,56.78,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-06-24,56.21,56.21,56.21,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2018-07-01,56.4,56.4,56.4,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.86,56.86,56.86,0.0,0.0
2018-07-08,56.99,56.99,56.99,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2018-07-15,56.73,56.73,56.73,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-07-22,57.22,57.22,57.22,0.0,0.0,57.22,57.22,57.22,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.8,56.8,56.8,0.0,0.0
2018-07-29,57.3,57.3,57.3,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.07,57.07,57.07,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2018-08-05,57.12,57.12,57.12,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.12,57.12,57.12,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-08-12,57.8,57.8,57.8,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2018-08-19,58.29,58.29,58.29,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-08-26,58.22,58.22,58.22,0.0,0.0,58.22,58.22,58.22,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-09-02,57.96,57.96,57.96,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-09-09,58.06,58.06,58.06,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-09-16,58.73,58.73,58.73,0.0,0.0,58.73,58.73,58.73,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.71,58.71,58.71,0.0,0.0
2018-09-23,57.53,57.53,57.53,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.53,57.53,57.53,0.0,0.0
2018-09-30,56.79,56.79,56.79,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2018-10-07,54.36,54.36,54.36,0.0,0.0,54.36,54.36,54.36,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2018-10-14,54.02,54.02,54.02,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.02,54.02,54.02,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-10-21,52.01,52.01,52.01,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.88,51.88,51.88,0.0,0.0
2018-10-28,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-11-04,54.87,54.87,54.87,0.0,0.0,54.87,54.87,54.87,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-11-11,53.73,53.73,53.73,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.73,53.73,53.73,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2018-11-18,52.83,52.83,52.83,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.83,52.83,52.83,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-11-25,54.21,54.21,54.21,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-12-02,51.91,51.91,51.91,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-12-09,50.47,50.47,50.47,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2018-12-16,47.61,47.61,47.61,0.0,0.0,47.83,47.83,47.83,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2018-12-23,47.65,47.65,47.65,0.0,0.0,48.15,48.15,48.15,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-12-30,48.71,48.71,48.71,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.64,48.64,48.64,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2019-01-06,50.81,50.81,50.81,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-01-13,52.2,52.2,52.2,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2019-01-20,52.66,52.66,52.66,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2019-01-27,53.2,53.2,53.2,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.2,53.2,53.2,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-02-03,52.73,52.73,52.73,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.73,52.73,52.73,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2019-02-10,54.85,54.85,54.85,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2019-02-17,55.2,55.2,55.2,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2019-02-24,54.92,54.92,54.92,0.0,0.0,55.31,55.31,55.31,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2019-03-03,53.08,53.08,53.08,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2019-03-10,54.35,54.35,54.35,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2019-03-17,53.43,53.43,53.43,0.0,0.0,53.43,53.43,53.43,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2019-03-24,53.65,53.65,53.65,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2019-03-31,55.37,55.37,55.37,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.36,55.36,55.36,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2019-04-07,56.1,56.1,56.1,0.0,0.0,56.1,56.1,56.1,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.98,55.98,55.98,0.0,0.0
2019-04-14,55.87,55.87,55.87,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2019-04-21,55.33,55.33,55.33,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2019-04-28,55.65,55.65,55.65,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.98,55.98,55.98,0.0,0.0
2019-05-05,54.1,54.1,54.1,0.0,0.0,54.49,54.49,54.49,0.0,0.0,53.7,53.7,53.7,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2019-05-12,53.5,53.5,53.5,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2019-05-19,51.8,51.8,51.8,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2019-05-26,50.13,50.13,50.13,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2019-06-02,52.24,52.24,52.24,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2019-06-09,52.25,52.25,52.25,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2019-06-16,53.12,53.12,53.12,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.23,53.23,53.23,0.0,0.0
