Date,PowerShares DWA Basic Materials Momentum PortfolioEtf_Open_average,PowerShares DWA Basic Materials Momentum PortfolioEtf_Open_max,PowerShares DWA Basic Materials Momentum PortfolioEtf_Open_min,PowerShares DWA Basic Materials Momentum PortfolioEtf_Open_volatility,PowerShares DWA Basic Materials Momentum PortfolioEtf_Open_change,PowerShares DWA Basic Materials Momentum PortfolioEtf_High_average,PowerShares DWA Basic Materials Momentum PortfolioEtf_High_max,PowerShares DWA Basic Materials Momentum PortfolioEtf_High_min,PowerShares DWA Basic Materials Momentum PortfolioEtf_High_volatility,PowerShares DWA Basic Materials Momentum PortfolioEtf_High_change,PowerShares DWA Basic Materials Momentum PortfolioEtf_Low_average,PowerShares DWA Basic Materials Momentum PortfolioEtf_Low_max,PowerShares DWA Basic Materials Momentum PortfolioEtf_Low_min,PowerShares DWA Basic Materials Momentum PortfolioEtf_Low_volatility,PowerShares DWA Basic Materials Momentum PortfolioEtf_Low_change,PowerShares DWA Basic Materials Momentum PortfolioEtf_Close_average,PowerShares DWA Basic Materials Momentum PortfolioEtf_Close_max,PowerShares DWA Basic Materials Momentum PortfolioEtf_Close_min,PowerShares DWA Basic Materials Momentum PortfolioEtf_Close_volatility,PowerShares DWA Basic Materials Momentum PortfolioEtf_Close_change
2018-01-14,72.48,72.48,72.48,0.0,0.0,73.56,73.56,73.56,0.0,0.0,72.48,72.48,72.48,0.0,0.0,73.4,73.4,73.4,0.0,0.0
2018-01-21,73.91,73.91,73.91,0.0,0.0,74.02,74.02,74.02,0.0,0.0,73.75,73.75,73.75,0.0,0.0,74.02,74.02,74.02,0.0,0.0
2018-01-28,71.09,71.09,71.09,0.0,0.0,71.09,71.09,71.09,0.0,0.0,69.08,69.08,69.08,0.0,0.0,69.16,69.16,69.16,0.0,0.0
2018-02-04,66.37,66.37,66.37,0.0,0.0,66.37,66.37,66.37,0.0,0.0,63.76,63.76,63.76,0.0,0.0,65.81,65.81,65.81,0.0,0.0
2018-02-11,69.35,69.35,69.35,0.0,0.0,70.69,70.69,70.69,0.0,0.0,69.35,69.35,69.35,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-02-18,69.95,69.95,69.95,0.0,0.0,70.28,70.28,70.28,0.0,0.0,69.79,69.79,69.79,0.0,0.0,70.24,70.24,70.24,0.0,0.0
2018-02-25,67.08,67.08,67.08,0.0,0.0,68.2,68.2,68.2,0.0,0.0,67.08,67.08,67.08,0.0,0.0,68.2,68.2,68.2,0.0,0.0
2018-03-04,70.37,70.37,70.37,0.0,0.0,71.1,71.1,71.1,0.0,0.0,70.37,70.37,70.37,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-03-11,69.05,69.05,69.05,0.0,0.0,69.36,69.36,69.36,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-03-18,66.43,66.43,66.43,0.0,0.0,66.67,66.67,66.67,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.09,65.09,65.09,0.0,0.0
2018-03-25,65.94,65.94,65.94,0.0,0.0,66.43,66.43,66.43,0.0,0.0,65.94,65.94,65.94,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-04-01,66.5,66.5,66.5,0.0,0.0,67.11,67.11,67.11,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-04-08,67.82,67.82,67.82,0.0,0.0,68.13,68.13,68.13,0.0,0.0,67.82,67.82,67.82,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2018-04-15,70.0,70.0,70.0,0.0,0.0,70.25,70.25,70.25,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.25,70.25,70.25,0.0,0.0
2018-04-22,68.1,68.1,68.1,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.97,67.97,67.97,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-04-29,66.27,66.27,66.27,0.0,0.0,67.97,67.97,67.97,0.0,0.0,66.22,66.22,66.22,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2018-05-06,69.69,69.69,69.69,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-05-13,71.9,71.9,71.9,0.0,0.0,71.91,71.91,71.91,0.0,0.0,71.76,71.76,71.76,0.0,0.0,71.87,71.87,71.87,0.0,0.0
2018-05-20,70.35,70.35,70.35,0.0,0.0,70.35,70.35,70.35,0.0,0.0,69.99,69.99,69.99,0.0,0.0,70.29,70.29,70.29,0.0,0.0
2018-05-27,70.65,70.65,70.65,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.37,70.37,70.37,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2018-06-03,71.76,71.76,71.76,0.0,0.0,72.39,72.39,72.39,0.0,0.0,71.76,71.76,71.76,0.0,0.0,72.25,72.25,72.25,0.0,0.0
2018-06-10,70.56,70.56,70.56,0.0,0.0,71.17,71.17,71.17,0.0,0.0,70.56,70.56,70.56,0.0,0.0,71.17,71.17,71.17,0.0,0.0
2018-06-17,69.77,69.77,69.77,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.67,69.67,69.67,0.0,0.0,69.7,69.7,69.7,0.0,0.0
2018-06-24,68.15,68.15,68.15,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-07-01,68.15,68.15,68.15,0.0,0.0,68.79,68.79,68.79,0.0,0.0,68.15,68.15,68.15,0.0,0.0,68.79,68.79,68.79,0.0,0.0
2018-07-08,68.84,68.84,68.84,0.0,0.0,68.97,68.97,68.97,0.0,0.0,68.84,68.84,68.84,0.0,0.0,68.97,68.97,68.97,0.0,0.0
2018-07-15,69.02,69.02,69.02,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.24,69.24,69.24,0.0,0.0
2018-07-22,70.35,70.35,70.35,0.0,0.0,70.35,70.35,70.35,0.0,0.0,69.91,69.91,69.91,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-07-29,70.24,70.24,70.24,0.0,0.0,70.24,70.24,70.24,0.0,0.0,69.83,69.83,69.83,0.0,0.0,69.97,69.97,69.97,0.0,0.0
2018-08-05,69.18,69.18,69.18,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.14,69.14,69.14,0.0,0.0,69.24,69.24,69.24,0.0,0.0
2018-08-12,67.92,67.92,67.92,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.92,67.92,67.92,0.0,0.0,68.44,68.44,68.44,0.0,0.0
2018-08-19,68.72,68.72,68.72,0.0,0.0,69.39,69.39,69.39,0.0,0.0,68.72,68.72,68.72,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-08-26,68.91,68.91,68.91,0.0,0.0,69.32,69.32,69.32,0.0,0.0,68.91,68.91,68.91,0.0,0.0,69.09,69.09,69.09,0.0,0.0
2018-09-02,68.22,68.22,68.22,0.0,0.0,68.91,68.91,68.91,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2018-09-09,69.45,69.45,69.45,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.33,69.33,69.33,0.0,0.0,69.54,69.54,69.54,0.0,0.0
2018-09-16,70.8,70.8,70.8,0.0,0.0,70.84,70.84,70.84,0.0,0.0,70.77,70.77,70.77,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-09-23,68.77,68.77,68.77,0.0,0.0,69.08,69.08,69.08,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.85,68.85,68.85,0.0,0.0
2018-09-30,67.98,67.98,67.98,0.0,0.0,67.98,67.98,67.98,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2018-10-07,63.72,63.72,63.72,0.0,0.0,63.72,63.72,63.72,0.0,0.0,62.54,62.54,62.54,0.0,0.0,62.6,62.6,62.6,0.0,0.0
2018-10-14,62.17,62.17,62.17,0.0,0.0,62.17,62.17,62.17,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.49,61.49,61.49,0.0,0.0
2018-10-21,57.96,57.96,57.96,0.0,0.0,58.66,58.66,58.66,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-10-28,61.57,61.57,61.57,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-11-04,62.6,62.6,62.6,0.0,0.0,62.6,62.6,62.6,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.94,61.94,61.94,0.0,0.0
2018-11-11,61.24,61.24,61.24,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2018-11-18,58.94,58.94,58.94,0.0,0.0,59.54,59.54,59.54,0.0,0.0,58.78,58.78,58.78,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-11-25,59.96,59.96,59.96,0.0,0.0,60.2,60.2,60.2,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.15,60.15,60.15,0.0,0.0
2018-12-02,57.45,57.45,57.45,0.0,0.0,58.64,58.64,58.64,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-12-09,54.99,54.99,54.99,0.0,0.0,55.17,55.17,55.17,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2018-12-16,52.38,52.38,52.38,0.0,0.0,53.03,53.03,53.03,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-12-23,53.18,53.18,53.18,0.0,0.0,53.48,53.48,53.48,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.94,52.94,52.94,0.0,0.0
2018-12-30,50.61,50.61,50.61,0.0,0.0,54.68,54.68,54.68,0.0,0.0,50.61,50.61,50.61,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2019-01-06,56.17,56.17,56.17,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.22,56.22,56.22,0.0,0.0
2019-01-13,56.86,56.86,56.86,0.0,0.0,57.7,57.7,57.7,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2019-01-20,56.71,56.71,56.71,0.0,0.0,57.58,57.58,57.58,0.0,0.0,56.71,56.71,56.71,0.0,0.0,57.54,57.54,57.54,0.0,0.0
2019-01-27,58.66,58.66,58.66,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.66,58.66,58.66,0.0,0.0,59.0,59.0,59.0,0.0,0.0
2019-02-03,57.81,57.81,57.81,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2019-02-10,60.21,60.21,60.21,0.0,0.0,60.25,60.25,60.25,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.25,60.25,60.25,0.0,0.0
