Date,iShares MSCI Thailand CappedEtf_Open_average,iShares MSCI Thailand CappedEtf_Open_max,iShares MSCI Thailand CappedEtf_Open_min,iShares MSCI Thailand CappedEtf_Open_volatility,iShares MSCI Thailand CappedEtf_Open_change,iShares MSCI Thailand CappedEtf_High_average,iShares MSCI Thailand CappedEtf_High_max,iShares MSCI Thailand CappedEtf_High_min,iShares MSCI Thailand CappedEtf_High_volatility,iShares MSCI Thailand CappedEtf_High_change,iShares MSCI Thailand CappedEtf_Low_average,iShares MSCI Thailand CappedEtf_Low_max,iShares MSCI Thailand CappedEtf_Low_min,iShares MSCI Thailand CappedEtf_Low_volatility,iShares MSCI Thailand CappedEtf_Low_change,iShares MSCI Thailand CappedEtf_Close_average,iShares MSCI Thailand CappedEtf_Close_max,iShares MSCI Thailand CappedEtf_Close_min,iShares MSCI Thailand CappedEtf_Close_volatility,iShares MSCI Thailand CappedEtf_Close_change
2018-01-14,98.02,98.02,98.02,0.0,0.0,98.25,98.25,98.25,0.0,0.0,97.6,97.6,97.6,0.0,0.0,98.2,98.2,98.2,0.0,0.0
2018-01-21,99.95,99.95,99.95,0.0,0.0,100.56,100.56,100.56,0.0,0.0,99.65,99.65,99.65,0.0,0.0,100.46,100.46,100.46,0.0,0.0
2018-01-28,99.3,99.3,99.3,0.0,0.0,99.3,99.3,99.3,0.0,0.0,98.21,98.21,98.21,0.0,0.0,98.26,98.26,98.26,0.0,0.0
2018-02-04,95.42,95.42,95.42,0.0,0.0,96.22,96.22,96.22,0.0,0.0,93.61,93.61,93.61,0.0,0.0,95.73,95.73,95.73,0.0,0.0
2018-02-11,98.5,98.5,98.5,0.0,0.0,99.43,99.43,99.43,0.0,0.0,98.23,98.23,98.23,0.0,0.0,98.96,98.96,98.96,0.0,0.0
2018-02-18,99.12,99.12,99.12,0.0,0.0,99.94,99.94,99.94,0.0,0.0,98.81,98.81,98.81,0.0,0.0,99.59,99.59,99.59,0.0,0.0
2018-02-25,99.5,99.5,99.5,0.0,0.0,100.26,100.26,100.26,0.0,0.0,98.45,98.45,98.45,0.0,0.0,99.94,99.94,99.94,0.0,0.0
2018-03-04,99.12,99.12,99.12,0.0,0.0,99.97,99.97,99.97,0.0,0.0,98.9,98.9,98.9,0.0,0.0,99.86,99.86,99.86,0.0,0.0
2018-03-11,100.78,100.78,100.78,0.0,0.0,101.19,101.19,101.19,0.0,0.0,100.58,100.58,100.58,0.0,0.0,100.69,100.69,100.69,0.0,0.0
2018-03-18,100.08,100.08,100.08,0.0,0.0,100.13,100.13,100.13,0.0,0.0,98.64,98.64,98.64,0.0,0.0,98.68,98.68,98.68,0.0,0.0
2018-03-25,98.38,98.38,98.38,0.0,0.0,99.8,99.8,99.8,0.0,0.0,98.1,98.1,98.1,0.0,0.0,99.7,99.7,99.7,0.0,0.0
2018-04-01,96.92,96.92,96.92,0.0,0.0,97.13,97.13,97.13,0.0,0.0,95.51,95.51,95.51,0.0,0.0,96.02,96.02,96.02,0.0,0.0
2018-04-08,99.03,99.03,99.03,0.0,0.0,99.25,99.25,99.25,0.0,0.0,98.55,98.55,98.55,0.0,0.0,98.94,98.94,98.94,0.0,0.0
2018-04-15,100.54,100.54,100.54,0.0,0.0,100.54,100.54,100.54,0.0,0.0,99.66,99.66,99.66,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2018-04-22,98.37,98.37,98.37,0.0,0.0,98.95,98.95,98.95,0.0,0.0,98.25,98.25,98.25,0.0,0.0,98.83,98.83,98.83,0.0,0.0
2018-04-29,97.22,97.22,97.22,0.0,0.0,98.53,98.53,98.53,0.0,0.0,96.84,96.84,96.84,0.0,0.0,98.31,98.31,98.31,0.0,0.0
2018-05-06,96.84,96.84,96.84,0.0,0.0,97.73,97.73,97.73,0.0,0.0,96.56,96.56,96.56,0.0,0.0,96.99,96.99,96.99,0.0,0.0
2018-05-13,94.32,94.32,94.32,0.0,0.0,94.53,94.53,94.53,0.0,0.0,93.88,93.88,93.88,0.0,0.0,94.32,94.32,94.32,0.0,0.0
2018-05-20,94.49,94.49,94.49,0.0,0.0,95.13,95.13,95.13,0.0,0.0,94.08,94.08,94.08,0.0,0.0,95.07,95.07,95.07,0.0,0.0
2018-05-27,93.5,93.5,93.5,0.0,0.0,93.9,93.9,93.9,0.0,0.0,93.06,93.06,93.06,0.0,0.0,93.66,93.66,93.66,0.0,0.0
2018-06-03,93.58,93.58,93.58,0.0,0.0,94.08,94.08,94.08,0.0,0.0,93.37,93.37,93.37,0.0,0.0,93.7,93.7,93.7,0.0,0.0
2018-06-10,90.89,90.89,90.89,0.0,0.0,91.44,91.44,91.44,0.0,0.0,89.88,89.88,89.88,0.0,0.0,90.59,90.59,90.59,0.0,0.0
2018-06-17,84.54,84.54,84.54,0.0,0.0,85.2,85.2,85.2,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.31,84.31,84.31,0.0,0.0
2018-06-24,81.77,81.77,81.77,0.0,0.0,82.39,82.39,82.39,0.0,0.0,81.68,81.68,81.68,0.0,0.0,82.27,82.27,82.27,0.0,0.0
2018-07-01,82.85,82.85,82.85,0.0,0.0,83.79,83.79,83.79,0.0,0.0,82.5,82.5,82.5,0.0,0.0,83.4,83.4,83.4,0.0,0.0
2018-07-08,84.06,84.06,84.06,0.0,0.0,84.33,84.33,84.33,0.0,0.0,83.78,83.78,83.78,0.0,0.0,84.18,84.18,84.18,0.0,0.0
2018-07-15,86.05,86.05,86.05,0.0,0.0,86.57,86.57,86.57,0.0,0.0,85.82,85.82,85.82,0.0,0.0,86.36,86.36,86.36,0.0,0.0
2018-07-22,88.16,88.16,88.16,0.0,0.0,88.79,88.79,88.79,0.0,0.0,87.91,87.91,87.91,0.0,0.0,88.44,88.44,88.44,0.0,0.0
2018-07-29,89.09,89.09,89.09,0.0,0.0,89.56,89.56,89.56,0.0,0.0,88.85,88.85,88.85,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2018-08-05,88.04,88.04,88.04,0.0,0.0,88.04,88.04,88.04,0.0,0.0,87.31,87.31,87.31,0.0,0.0,87.7,87.7,87.7,0.0,0.0
2018-08-12,86.52,86.52,86.52,0.0,0.0,88.23,88.23,88.23,0.0,0.0,86.52,86.52,86.52,0.0,0.0,87.87,87.87,87.87,0.0,0.0
2018-08-19,89.63,89.63,89.63,0.0,0.0,90.86,90.86,90.86,0.0,0.0,89.63,89.63,89.63,0.0,0.0,90.62,90.62,90.62,0.0,0.0
2018-08-26,90.41,90.41,90.41,0.0,0.0,91.07,91.07,91.07,0.0,0.0,89.98,89.98,89.98,0.0,0.0,90.31,90.31,90.31,0.0,0.0
2018-09-02,88.14,88.14,88.14,0.0,0.0,88.78,88.78,88.78,0.0,0.0,87.57,87.57,87.57,0.0,0.0,88.05,88.05,88.05,0.0,0.0
2018-09-09,91.59,91.59,91.59,0.0,0.0,91.75,91.75,91.75,0.0,0.0,90.66,90.66,90.66,0.0,0.0,90.97,90.97,90.97,0.0,0.0
2018-09-16,94.1,94.1,94.1,0.0,0.0,94.45,94.45,94.45,0.0,0.0,93.7,93.7,93.7,0.0,0.0,94.28,94.28,94.28,0.0,0.0
2018-09-23,93.96,93.96,93.96,0.0,0.0,94.59,94.59,94.59,0.0,0.0,93.84,93.84,93.84,0.0,0.0,94.3,94.3,94.3,0.0,0.0
2018-09-30,90.49,90.49,90.49,0.0,0.0,90.64,90.64,90.64,0.0,0.0,89.62,89.62,89.62,0.0,0.0,90.14,90.14,90.14,0.0,0.0
2018-10-07,89.15,89.15,89.15,0.0,0.0,89.88,89.88,89.88,0.0,0.0,88.58,88.58,88.58,0.0,0.0,89.38,89.38,89.38,0.0,0.0
2018-10-14,87.91,87.91,87.91,0.0,0.0,88.44,88.44,88.44,0.0,0.0,87.36,87.36,87.36,0.0,0.0,87.55,87.55,87.55,0.0,0.0
2018-10-21,84.67,84.67,84.67,0.0,0.0,85.43,85.43,85.43,0.0,0.0,84.06,84.06,84.06,0.0,0.0,84.72,84.72,84.72,0.0,0.0
2018-10-28,88.64,88.64,88.64,0.0,0.0,89.0,89.0,89.0,0.0,0.0,87.54,87.54,87.54,0.0,0.0,88.26,88.26,88.26,0.0,0.0
2018-11-04,87.18,87.18,87.18,0.0,0.0,87.62,87.62,87.62,0.0,0.0,86.42,86.42,86.42,0.0,0.0,86.82,86.82,86.82,0.0,0.0
2018-11-11,86.01,86.01,86.01,0.0,0.0,87.42,87.42,87.42,0.0,0.0,85.95,85.95,85.95,0.0,0.0,86.92,86.92,86.92,0.0,0.0
2018-11-18,84.31,84.31,84.31,0.0,0.0,84.79,84.79,84.79,0.0,0.0,84.23,84.23,84.23,0.0,0.0,84.34,84.34,84.34,0.0,0.0
2018-11-25,86.49,86.49,86.49,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.06,86.06,86.06,0.0,0.0,86.23,86.23,86.23,0.0,0.0
2018-12-02,87.64,87.64,87.64,0.0,0.0,88.08,88.08,88.08,0.0,0.0,86.28,86.28,86.28,0.0,0.0,86.4,86.4,86.4,0.0,0.0
2018-12-09,84.96,84.96,84.96,0.0,0.0,85.53,85.53,85.53,0.0,0.0,84.8,84.8,84.8,0.0,0.0,84.94,84.94,84.94,0.0,0.0
2018-12-16,83.77,83.77,83.77,0.0,0.0,84.42,84.42,84.42,0.0,0.0,83.38,83.38,83.38,0.0,0.0,83.8,83.8,83.8,0.0,0.0
2018-12-23,82.16,82.16,82.16,0.0,0.0,83.07,83.07,83.07,0.0,0.0,82.13,82.13,82.13,0.0,0.0,82.62,82.62,82.62,0.0,0.0
2018-12-30,84.26,84.26,84.26,0.0,0.0,85.78,85.78,85.78,0.0,0.0,83.91,83.91,83.91,0.0,0.0,85.58,85.58,85.58,0.0,0.0
2019-01-06,86.11,86.11,86.11,0.0,0.0,86.39,86.39,86.39,0.0,0.0,85.68,85.68,85.68,0.0,0.0,86.12,86.12,86.12,0.0,0.0
2019-01-13,86.28,86.28,86.28,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.25,86.25,86.25,0.0,0.0,86.53,86.53,86.53,0.0,0.0
2019-01-20,88.87,88.87,88.87,0.0,0.0,89.45,89.45,89.45,0.0,0.0,88.68,88.68,88.68,0.0,0.0,89.17,89.17,89.17,0.0,0.0
2019-01-27,91.35,91.35,91.35,0.0,0.0,91.38,91.38,91.38,0.0,0.0,90.53,90.53,90.53,0.0,0.0,90.88,90.88,90.88,0.0,0.0
2019-02-03,90.07,90.07,90.07,0.0,0.0,90.37,90.37,90.37,0.0,0.0,89.52,89.52,89.52,0.0,0.0,89.91,89.91,89.91,0.0,0.0
2019-02-10,89.99,89.99,89.99,0.0,0.0,90.43,90.43,90.43,0.0,0.0,89.94,89.94,89.94,0.0,0.0,90.1,90.1,90.1,0.0,0.0
2019-02-17,90.97,90.97,90.97,0.0,0.0,91.35,91.35,91.35,0.0,0.0,90.81,90.81,90.81,0.0,0.0,90.96,90.96,90.96,0.0,0.0
2019-02-24,88.73,88.73,88.73,0.0,0.0,89.09,89.09,89.09,0.0,0.0,87.92,87.92,87.92,0.0,0.0,88.22,88.22,88.22,0.0,0.0
2019-03-03,87.76,87.76,87.76,0.0,0.0,87.79,87.79,87.79,0.0,0.0,87.33,87.33,87.33,0.0,0.0,87.6,87.6,87.6,0.0,0.0
2019-03-10,87.75,87.75,87.75,0.0,0.0,88.45,88.45,88.45,0.0,0.0,87.73,87.73,87.73,0.0,0.0,88.38,88.38,88.38,0.0,0.0
2019-03-17,89.58,89.58,89.58,0.0,0.0,89.59,89.59,89.59,0.0,0.0,88.18,88.18,88.18,0.0,0.0,88.37,88.37,88.37,0.0,0.0
2019-03-24,88.63,88.63,88.63,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2019-03-31,88.63,88.63,88.63,0.0,0.0,89.15,89.15,89.15,0.0,0.0,88.61,88.61,88.61,0.0,0.0,88.95,88.95,88.95,0.0,0.0
2019-04-07,90.03,90.03,90.03,0.0,0.0,90.33,90.33,90.33,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.98,89.98,89.98,0.0,0.0
2019-04-14,90.79,90.79,90.79,0.0,0.0,91.04,91.04,91.04,0.0,0.0,90.72,90.72,90.72,0.0,0.0,90.94,90.94,90.94,0.0,0.0
2019-04-21,89.97,89.97,89.97,0.0,0.0,90.36,90.36,90.36,0.0,0.0,89.85,89.85,89.85,0.0,0.0,90.15,90.15,90.15,0.0,0.0
2019-04-28,90.68,90.68,90.68,0.0,0.0,91.57,91.57,91.57,0.0,0.0,90.68,90.68,90.68,0.0,0.0,91.26,91.26,91.26,0.0,0.0
2019-05-05,89.52,89.52,89.52,0.0,0.0,89.7,89.7,89.7,0.0,0.0,88.57,88.57,88.57,0.0,0.0,89.45,89.45,89.45,0.0,0.0
