Date,ProShares Global Listed Private EquityEtf_Open_average,ProShares Global Listed Private EquityEtf_Open_max,ProShares Global Listed Private EquityEtf_Open_min,ProShares Global Listed Private EquityEtf_Open_volatility,ProShares Global Listed Private EquityEtf_Open_change,ProShares Global Listed Private EquityEtf_High_average,ProShares Global Listed Private EquityEtf_High_max,ProShares Global Listed Private EquityEtf_High_min,ProShares Global Listed Private EquityEtf_High_volatility,ProShares Global Listed Private EquityEtf_High_change,ProShares Global Listed Private EquityEtf_Low_average,ProShares Global Listed Private EquityEtf_Low_max,ProShares Global Listed Private EquityEtf_Low_min,ProShares Global Listed Private EquityEtf_Low_volatility,ProShares Global Listed Private EquityEtf_Low_change,ProShares Global Listed Private EquityEtf_Close_average,ProShares Global Listed Private EquityEtf_Close_max,ProShares Global Listed Private EquityEtf_Close_min,ProShares Global Listed Private EquityEtf_Close_volatility,ProShares Global Listed Private EquityEtf_Close_change
2018-01-14,37.1,37.1,37.1,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2018-01-21,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-01-28,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-02-04,35.25,35.25,35.25,0.0,0.0,35.36,35.36,35.36,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-02-11,36.38,36.38,36.38,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-02-18,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-02-25,35.5,35.5,35.5,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-03-04,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-03-11,36.1,36.1,36.1,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2018-03-18,35.8,35.8,35.8,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0
