Date,iShares MSCI IndonesiaEtf_Open_average,iShares MSCI IndonesiaEtf_Open_max,iShares MSCI IndonesiaEtf_Open_min,iShares MSCI IndonesiaEtf_Open_volatility,iShares MSCI IndonesiaEtf_Open_change,iShares MSCI IndonesiaEtf_High_average,iShares MSCI IndonesiaEtf_High_max,iShares MSCI IndonesiaEtf_High_min,iShares MSCI IndonesiaEtf_High_volatility,iShares MSCI IndonesiaEtf_High_change,iShares MSCI IndonesiaEtf_Low_average,iShares MSCI IndonesiaEtf_Low_max,iShares MSCI IndonesiaEtf_Low_min,iShares MSCI IndonesiaEtf_Low_volatility,iShares MSCI IndonesiaEtf_Low_change,iShares MSCI IndonesiaEtf_Close_average,iShares MSCI IndonesiaEtf_Close_max,iShares MSCI IndonesiaEtf_Close_min,iShares MSCI IndonesiaEtf_Close_volatility,iShares MSCI IndonesiaEtf_Close_change
2018-01-14,29.53,29.53,29.53,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-01-21,30.46,30.46,30.46,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-01-28,29.49,29.49,29.49,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-02-04,28.49,28.49,28.49,0.0,0.0,28.82,28.82,28.82,0.0,0.0,27.83,27.83,27.83,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2018-02-11,29.8,29.8,29.8,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.68,29.68,29.68,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-02-18,29.51,29.51,29.51,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-02-25,28.38,28.38,28.38,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-03-04,28.26,28.26,28.26,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-03-11,27.3,27.3,27.3,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-03-18,26.91,26.91,26.91,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.33,26.33,26.33,0.0,0.0
