Date,WMStock_Open_average,WMStock_Open_max,WMStock_Open_min,WMStock_Open_volatility,WMStock_Open_change,WMStock_High_average,WMStock_High_max,WMStock_High_min,WMStock_High_volatility,WMStock_High_change,WMStock_Low_average,WMStock_Low_max,WMStock_Low_min,WMStock_Low_volatility,WMStock_Low_change,WMStock_Close_average,WMStock_Close_max,WMStock_Close_min,WMStock_Close_volatility,WMStock_Close_change,WMStock_Volume_average,WMStock_Volume_max,WMStock_Volume_min,WMStock_Volume_volatility,WMStock_Volume_change
2018-01-14,88.3,88.44,88.1,0.3400000000000034,-0.1799999999999926,88.555,88.73,88.42,0.3100000000000023,-0.3100000000000023,87.89750000000001,88.14,87.66,0.480000000000004,-0.480000000000004,88.1775,88.53,87.96,0.5700000000000074,-0.09999999999999432,1678577,2069163,1497465,571698,509264
2018-01-21,88.608,88.85,88.23,0.6199999999999903,0.5999999999999943,89.018,89.73,88.72,1.0100000000000051,1.0100000000000051,88.2,88.57,88.01,0.5599999999999881,0.47999999999998977,88.806,89.71,88.5,1.2099999999999937,1.0499999999999972,1479102,2162818,1035499,1127319,628668
2018-01-28,88.162,89.27,87.26,2.009999999999991,-2.009999999999991,88.702,89.38,88.04,1.3399999999999892,-1.3399999999999892,87.53399999999999,88.22,86.49,1.730000000000004,-1.730000000000004,87.796,88.43,86.53,1.9000000000000057,-1.6899999999999977,1690643,2057055,1519853,537202,537202
2018-02-04,82.136,86.1,79.91,6.189999999999998,-6.189999999999998,83.076,86.21,80.5,5.709999999999994,-5.709999999999994,79.89,81.63,78.39,3.239999999999995,-3.0999999999999943,80.9,81.8,79.12,2.6799999999999926,-1.6500000000000057,4413936,5892379,2842171,3050208,536071
2018-02-11,82.536,87.13,80.13,7.0,3.3299999999999983,83.73,88.0,81.07,6.930000000000007,4.519999999999996,81.328,83.7,79.86,3.8400000000000034,3.8400000000000034,82.626,85.15,80.57,4.5800000000000125,4.5800000000000125,3888248,6370581,2719908,3650673,-428586
2018-02-18,84.71000000000001,84.93,84.37,0.5600000000000023,0.28000000000000114,85.6275,86.17,85.3,0.8700000000000045,-0.6800000000000068,84.26,84.51,84.06,0.45000000000000284,-0.18000000000000682,84.7375,85.49,84.09,1.3999999999999915,0.6199999999999903,2185588,2650939,1555773,1095166,-1095166
2018-02-25,86.204,87.38,84.77,2.6099999999999994,-0.9500000000000028,87.088,88.26,85.74,2.5200000000000102,-0.8900000000000006,85.62,86.66,84.5,2.1599999999999966,-1.1099999999999994,86.146,86.95,85.35,1.6000000000000085,-1.0700000000000074,2899937,3692803,2189849,1502954,206962
2018-03-04,85.48,85.9,85.12,0.7800000000000011,0.37999999999999545,86.084,87.26,85.68,1.5799999999999983,1.3700000000000045,85.114,85.7,84.71,0.9900000000000091,0.9900000000000091,85.85199999999999,87.21,85.24,1.9699999999999989,1.519999999999996,2641956,3401749,1983383,1418366,523698
2018-03-11,86.85,87.38,86.32,1.0600000000000023,-1.0600000000000023,87.118,87.38,86.64,0.7399999999999949,-0.519999999999996,86.066,86.47,85.42,1.0499999999999972,-0.46999999999999886,86.476,86.67,86.25,0.4200000000000017,-0.28000000000000114,2226461,3659157,1477883,2181274,1402709
2018-03-18,85.696,86.41,84.57,1.8400000000000034,-1.710000000000008,86.202,86.84,85.09,1.75,-1.75,84.87,85.87,82.89,2.980000000000004,-2.7900000000000063,85.026,86.27,82.9,3.3699999999999903,-2.8999999999999915,2084461,2951298,1475865,1475433,759879
2018-03-25,83.8325,84.47,83.41,1.0600000000000023,-0.20999999999999375,84.48,84.68,84.1,0.5800000000000125,0.1799999999999926,83.06,83.48,82.72,0.7600000000000051,0.35999999999999943,83.68,84.13,83.18,0.9499999999999886,-0.009999999999990905,1986924,2162043,1676224,485819,-474398
2018-04-01,84.584,85.8,83.84,1.9599999999999937,1.1299999999999955,85.454,86.33,84.7,1.6299999999999955,0.9599999999999937,83.908,85.48,82.71,2.7700000000000102,1.0300000000000011,84.842,86.02,83.58,2.4399999999999977,0.6299999999999955,2229134,2770009,1784381,985628,80842
2018-04-08,83.896,84.74,82.99,1.75,-1.4299999999999926,84.154,84.96,83.43,1.529999999999987,-1.529999999999987,83.084,83.88,82.54,1.3399999999999892,-0.8700000000000045,83.324,84.25,82.69,1.5600000000000023,-0.5200000000000102,2361655,2662522,1993326,669196,502592
2018-04-15,83.588,83.84,83.5,0.3400000000000034,0.0799999999999983,83.83,84.1,83.58,0.519999999999996,0.519999999999996,82.756,83.2,82.07,1.1300000000000097,-0.7600000000000051,83.13,83.65,82.48,1.1700000000000017,-0.8999999999999915,2730030,3652779,2068367,1584412,818682
2018-04-22,81.956,82.88,81.19,1.6899999999999977,-0.75,82.642,83.63,81.74,1.8900000000000006,-0.9799999999999898,81.456,82.46,80.91,1.5499999999999972,-0.6899999999999977,81.84,82.5,81.25,1.25,-0.20000000000000284,2385938,2889105,1897143,991962,-420370
2018-04-29,81.702,82.55,80.89,1.6599999999999966,0.1700000000000017,82.632,84.24,81.5,2.739999999999995,1.539999999999992,81.214,82.53,80.67,1.8599999999999994,1.269999999999996,82.074,84.05,80.84,3.2099999999999937,2.759999999999991,2389727,3228958,1494371,1734587,-1734587
2018-05-06,83.36,83.83,82.96,0.8700000000000045,-0.28000000000000114,83.608,84.0,83.3,0.7000000000000028,-0.29999999999999716,82.884,83.13,82.69,0.4399999999999977,-0.20000000000000284,83.118,83.32,82.97,0.3499999999999943,-0.25,1672668,2313501,1097644,1215857,-168032
2018-05-13,82.074,83.0,81.5,1.5,-1.5,82.396,83.21,81.82,1.3900000000000006,-1.3900000000000006,81.69,82.46,81.25,1.2099999999999937,-1.039999999999992,81.878,82.63,81.48,1.1499999999999915,-1.1499999999999915,1758123,2501399,1369189,1132210,-129191
2018-05-20,82.214,82.8,81.6,1.2000000000000028,1.1299999999999955,82.91,83.3,82.44,0.8599999999999994,0.8599999999999994,81.998,82.75,81.49,1.2600000000000051,1.2600000000000051,82.57000000000001,82.96,81.79,1.1699999999999875,0.6199999999999903,1835162,2363722,1376535,987187,-77956
2018-05-27,83.0775,83.91,82.42,1.4899999999999949,0.7600000000000051,83.73,84.4,82.82,1.5800000000000125,0.8600000000000136,82.5975,82.92,82.06,0.8599999999999994,0.8599999999999994,83.21,83.85,82.65,1.1999999999999886,0.9799999999999898,2611055,3621726,1541467,2080259,-2080259
2018-06-03,83.566,83.82,83.33,0.4899999999999949,-0.4899999999999949,83.954,84.11,83.78,0.3299999999999983,-0.14000000000000057,83.356,83.62,83.14,0.480000000000004,-0.3200000000000074,83.57,83.78,83.32,0.46000000000000796,-0.0799999999999983,1696379,1949484,1490934,458550,-173898
2018-06-10,83.616,84.0,83.14,0.8599999999999994,-0.3299999999999983,84.02000000000001,84.43,83.62,0.8100000000000023,0.5600000000000023,83.026,83.35,82.56,0.789999999999992,0.05000000000001137,83.696,84.33,83.12,1.2099999999999937,0.769999999999996,2235736,3064176,1682660,1381516,868148
2018-06-17,82.568,83.72,81.55,2.1700000000000017,-2.1700000000000017,82.81,83.78,82.04,1.7399999999999949,-1.5799999999999983,81.95,83.16,81.12,2.039999999999992,-1.7399999999999949,82.204,83.27,81.27,2.0,-1.3900000000000006,2309422,3166040,1496005,1670035,1111299
2018-06-24,81.226,81.79,80.14,1.6500000000000057,-0.8100000000000023,81.732,82.13,81.01,1.1199999999999903,-0.14000000000000057,80.654,81.32,79.96,1.3599999999999994,-0.5600000000000023,81.08,81.7,80.0,1.7000000000000028,-0.35999999999999943,2629209,2870308,2398341,471967,-315124
2018-07-01,81.735,82.03,80.91,1.1200000000000045,1.0900000000000034,82.265,82.64,81.92,0.7199999999999989,0.7199999999999989,81.4575,81.8,80.88,0.9200000000000017,0.9200000000000017,82.00750000000001,82.29,81.59,0.7000000000000028,0.4300000000000068,1270001,1582316,658093,924223,298349
2018-07-08,83.35600000000001,84.29,82.45,1.8400000000000034,1.8400000000000034,83.934,84.66,82.88,1.7800000000000011,1.7800000000000011,83.214,84.16,82.27,1.8900000000000006,1.8900000000000006,83.638,84.37,82.45,1.9200000000000017,1.9200000000000017,1669493,2384764,1119994,1264770,-209474
2018-07-15,83.366,84.38,82.39,1.9899999999999949,-1.9899999999999949,83.592,84.38,82.86,1.519999999999996,-1.519999999999996,82.904,83.62,82.3,1.3200000000000074,-1.3200000000000074,83.094,83.77,82.65,1.1199999999999903,-1.0799999999999983,1360124,1635477,1114201,521276,-284779
2018-07-22,84.82000000000001,88.54,82.2,6.340000000000003,6.060000000000002,86.402,89.79,82.35,7.440000000000012,7.170000000000002,84.362,88.54,81.01,7.530000000000001,6.900000000000006,85.948,89.65,81.49,8.16000000000001,7.410000000000011,2960736,4864254,1511341,3352913,1012789
2018-07-29,89.8,90.16,89.17,0.9899999999999949,0.4000000000000057,90.212,90.71,89.87,0.8399999999999892,0.12999999999999545,89.098,89.73,88.54,1.1899999999999977,-0.25,89.682,90.11,88.87,1.2399999999999949,0.6899999999999977,2106905,2279187,1885444,393743,-153802
2018-08-05,90.016,90.24,89.4,0.8399999999999892,0.75,90.31,90.62,89.91,0.710000000000008,0.5400000000000063,89.628,89.79,89.22,0.5700000000000074,0.46999999999999886,89.968,90.14,89.82,0.3200000000000074,0.12000000000000455,1529569,2084527,936474,1148053,305389
2018-08-12,90.396,90.96,89.94,1.019999999999996,0.9900000000000091,90.938,91.48,90.53,0.9500000000000028,0.9500000000000028,90.01,90.71,89.51,1.1999999999999886,1.059999999999988,90.602,91.34,90.01,1.3299999999999983,1.3299999999999983,1873060,2755551,1294743,1460808,-1100636
2018-08-19,91.016,91.59,90.5,1.0900000000000034,-0.8700000000000045,91.2,91.64,90.9,0.7399999999999949,-0.6400000000000006,90.574,91.14,90.31,0.8299999999999983,-0.7800000000000011,90.79599999999999,91.17,90.6,0.5700000000000074,-0.46999999999999886,1344314,1803115,956506,846609,-652029
2018-08-26,90.726,90.98,90.52,0.46000000000000796,-0.18000000000000682,90.91,91.1,90.8,0.29999999999999716,-0.09999999999999432,90.33,90.51,90.17,0.3400000000000034,0.04000000000000625,90.68,90.9,90.44,0.46000000000000796,0.23000000000000398,1327533,1528924,1072390,456534,65297
2018-09-02,91.1725,91.81,90.8,1.0100000000000051,1.0100000000000051,91.77,92.36,91.17,1.1899999999999977,1.1899999999999977,90.99,91.6,90.64,0.9599999999999937,0.9599999999999937,91.5875,91.88,91.12,0.7599999999999909,0.6899999999999977,1729260,2015528,1359585,655943,655943
2018-09-09,92.018,92.36,91.74,0.6200000000000045,-0.060000000000002274,92.322,92.67,92.11,0.5600000000000023,-0.11999999999999034,91.648,91.86,91.47,0.39000000000000057,-0.37000000000000455,92.018,92.34,91.75,0.5900000000000034,0.09000000000000341,1747878,2633405,1065441,1567964,-1527127
2018-09-16,92.016,92.32,91.47,0.8499999999999943,-0.0899999999999892,92.282,92.85,91.96,0.8900000000000006,-0.2799999999999869,91.494,92.11,91.06,1.0499999999999972,-0.21999999999999886,91.794,92.51,91.21,1.3000000000000114,-0.6899999999999977,1481557,2244876,789651,1455225,1455225
2018-09-23,90.444,91.42,89.8,1.6200000000000045,-1.6200000000000045,90.774,91.47,90.44,1.0300000000000011,-1.0300000000000011,89.918,90.33,89.65,0.6799999999999926,-0.5999999999999943,90.17399999999999,90.51,89.77,0.7400000000000091,-0.15000000000000568,1582811,2213591,1204685,1008906,1008906
2018-09-30,89.92,90.77,89.2,1.5699999999999932,-1.4500000000000028,90.266,90.82,89.45,1.3699999999999903,-0.5299999999999869,89.326,90.08,88.47,1.6099999999999994,-0.980000000000004,89.72,90.17,89.03,1.1400000000000006,-0.21000000000000796,1249822,1833857,910790,923067,923067
2018-10-07,90.126,90.82,88.82,2.0,-1.0800000000000125,90.77,91.66,89.0,2.6599999999999966,-2.049999999999997,89.268,90.49,87.79,2.6999999999999886,-2.0799999999999983,89.80799999999999,91.27,88.04,3.2299999999999898,-2.3299999999999983,2839119,4325183,2166920,2158263,561247
