Date,SPDR Barclays Long Term Corporate BondEtf_Open_average,SPDR Barclays Long Term Corporate BondEtf_Open_max,SPDR Barclays Long Term Corporate BondEtf_Open_min,SPDR Barclays Long Term Corporate BondEtf_Open_volatility,SPDR Barclays Long Term Corporate BondEtf_Open_change,SPDR Barclays Long Term Corporate BondEtf_High_average,SPDR Barclays Long Term Corporate BondEtf_High_max,SPDR Barclays Long Term Corporate BondEtf_High_min,SPDR Barclays Long Term Corporate BondEtf_High_volatility,SPDR Barclays Long Term Corporate BondEtf_High_change,SPDR Barclays Long Term Corporate BondEtf_Low_average,SPDR Barclays Long Term Corporate BondEtf_Low_max,SPDR Barclays Long Term Corporate BondEtf_Low_min,SPDR Barclays Long Term Corporate BondEtf_Low_volatility,SPDR Barclays Long Term Corporate BondEtf_Low_change,SPDR Barclays Long Term Corporate BondEtf_Close_average,SPDR Barclays Long Term Corporate BondEtf_Close_max,SPDR Barclays Long Term Corporate BondEtf_Close_min,SPDR Barclays Long Term Corporate BondEtf_Close_volatility,SPDR Barclays Long Term Corporate BondEtf_Close_change
2018-01-14,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-01-21,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-01-28,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-02-04,27.14,27.14,27.14,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-02-11,27.16,27.16,27.16,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-02-18,27.02,27.02,27.02,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-02-25,26.8,26.8,26.8,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-03-04,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-03-11,26.9,26.9,26.9,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.89,26.89,26.89,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-03-18,26.73,26.73,26.73,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.72,26.72,26.72,0.0,0.0
