Date,ProShares DJ Brookfield Global InfrEtf_Open_average,ProShares DJ Brookfield Global InfrEtf_Open_max,ProShares DJ Brookfield Global InfrEtf_Open_min,ProShares DJ Brookfield Global InfrEtf_Open_volatility,ProShares DJ Brookfield Global InfrEtf_Open_change,ProShares DJ Brookfield Global InfrEtf_High_average,ProShares DJ Brookfield Global InfrEtf_High_max,ProShares DJ Brookfield Global InfrEtf_High_min,ProShares DJ Brookfield Global InfrEtf_High_volatility,ProShares DJ Brookfield Global InfrEtf_High_change,ProShares DJ Brookfield Global InfrEtf_Low_average,ProShares DJ Brookfield Global InfrEtf_Low_max,ProShares DJ Brookfield Global InfrEtf_Low_min,ProShares DJ Brookfield Global InfrEtf_Low_volatility,ProShares DJ Brookfield Global InfrEtf_Low_change,ProShares DJ Brookfield Global InfrEtf_Close_average,ProShares DJ Brookfield Global InfrEtf_Close_max,ProShares DJ Brookfield Global InfrEtf_Close_min,ProShares DJ Brookfield Global InfrEtf_Close_volatility,ProShares DJ Brookfield Global InfrEtf_Close_change
2018-01-14,43.31,43.31,43.31,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.36,43.36,43.36,0.0,0.0
2018-01-21,43.85,43.85,43.85,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.85,43.85,43.85,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2018-01-28,42.74,42.74,42.74,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-02-04,40.54,40.54,40.54,0.0,0.0,40.54,40.54,40.54,0.0,0.0,39.3,39.3,39.3,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2018-02-11,41.52,41.52,41.52,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-02-18,41.15,41.15,41.15,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2018-02-25,39.93,39.93,39.93,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-03-04,40.8,40.8,40.8,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2018-03-11,40.79,40.79,40.79,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-03-18,39.87,39.87,39.87,0.0,0.0,39.93,39.93,39.93,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.37,39.37,39.37,0.0,0.0
2018-03-25,39.95,39.95,39.95,0.0,0.0,40.19,40.19,40.19,0.0,0.0,39.82,39.82,39.82,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2018-04-01,40.46,40.46,40.46,0.0,0.0,40.46,40.46,40.46,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2018-04-08,40.53,40.53,40.53,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-04-15,41.08,41.08,41.08,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-04-22,41.01,41.01,41.01,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2018-04-29,41.06,41.06,41.06,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2018-05-06,41.69,41.69,41.69,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.77,41.77,41.77,0.0,0.0
2018-05-13,41.23,41.23,41.23,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-05-20,41.23,41.23,41.23,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2018-05-27,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-06-03,41.44,41.44,41.44,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-06-10,41.43,41.43,41.43,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-06-17,41.28,41.28,41.28,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-06-24,41.47,41.47,41.47,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-07-01,42.33,42.33,42.33,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-07-08,42.39,42.39,42.39,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2018-07-15,42.66,42.66,42.66,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-07-22,42.98,42.98,42.98,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-07-29,42.92,42.92,42.92,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.79,42.79,42.79,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-08-05,42.9,42.9,42.9,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-08-12,42.35,42.35,42.35,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2018-08-19,42.82,42.82,42.82,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-08-26,42.62,42.62,42.62,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.35,42.35,42.35,0.0,0.0
2018-09-02,42.24,42.24,42.24,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2018-09-09,42.58,42.58,42.58,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2018-09-16,42.4,42.4,42.4,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.62,42.62,42.62,0.0,0.0
