Date,PowerShares Russell 1000 Equal Weight PortfolioEtf_Open_average,PowerShares Russell 1000 Equal Weight PortfolioEtf_Open_max,PowerShares Russell 1000 Equal Weight PortfolioEtf_Open_min,PowerShares Russell 1000 Equal Weight PortfolioEtf_Open_volatility,PowerShares Russell 1000 Equal Weight PortfolioEtf_Open_change,PowerShares Russell 1000 Equal Weight PortfolioEtf_High_average,PowerShares Russell 1000 Equal Weight PortfolioEtf_High_max,PowerShares Russell 1000 Equal Weight PortfolioEtf_High_min,PowerShares Russell 1000 Equal Weight PortfolioEtf_High_volatility,PowerShares Russell 1000 Equal Weight PortfolioEtf_High_change,PowerShares Russell 1000 Equal Weight PortfolioEtf_Low_average,PowerShares Russell 1000 Equal Weight PortfolioEtf_Low_max,PowerShares Russell 1000 Equal Weight PortfolioEtf_Low_min,PowerShares Russell 1000 Equal Weight PortfolioEtf_Low_volatility,PowerShares Russell 1000 Equal Weight PortfolioEtf_Low_change,PowerShares Russell 1000 Equal Weight PortfolioEtf_Close_average,PowerShares Russell 1000 Equal Weight PortfolioEtf_Close_max,PowerShares Russell 1000 Equal Weight PortfolioEtf_Close_min,PowerShares Russell 1000 Equal Weight PortfolioEtf_Close_volatility,PowerShares Russell 1000 Equal Weight PortfolioEtf_Close_change
2018-01-14,32.09,32.09,32.09,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2018-01-21,32.62,32.62,32.62,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-01-28,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-02-04,29.8,29.8,29.8,0.0,0.0,29.95,29.95,29.95,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-02-11,30.98,30.98,30.98,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-02-18,30.83,30.83,30.83,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.77,30.77,30.77,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-02-25,30.13,30.13,30.13,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-03-04,31.35,31.35,31.35,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-03-11,31.25,31.25,31.25,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-03-18,30.53,30.53,30.53,0.0,0.0,30.55,30.55,30.55,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-03-25,30.24,30.24,30.24,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.52,30.52,30.52,0.0,0.0
