Date,Consumer Discretionary Select Sector SPDREtf_Open_average,Consumer Discretionary Select Sector SPDREtf_Open_max,Consumer Discretionary Select Sector SPDREtf_Open_min,Consumer Discretionary Select Sector SPDREtf_Open_volatility,Consumer Discretionary Select Sector SPDREtf_Open_change,Consumer Discretionary Select Sector SPDREtf_High_average,Consumer Discretionary Select Sector SPDREtf_High_max,Consumer Discretionary Select Sector SPDREtf_High_min,Consumer Discretionary Select Sector SPDREtf_High_volatility,Consumer Discretionary Select Sector SPDREtf_High_change,Consumer Discretionary Select Sector SPDREtf_Low_average,Consumer Discretionary Select Sector SPDREtf_Low_max,Consumer Discretionary Select Sector SPDREtf_Low_min,Consumer Discretionary Select Sector SPDREtf_Low_volatility,Consumer Discretionary Select Sector SPDREtf_Low_change,Consumer Discretionary Select Sector SPDREtf_Close_average,Consumer Discretionary Select Sector SPDREtf_Close_max,Consumer Discretionary Select Sector SPDREtf_Close_min,Consumer Discretionary Select Sector SPDREtf_Close_volatility,Consumer Discretionary Select Sector SPDREtf_Close_change
2018-01-14,105.19,105.19,105.19,0.0,0.0,105.61,105.61,105.61,0.0,0.0,104.87,104.87,104.87,0.0,0.0,105.6,105.6,105.6,0.0,0.0
2018-01-21,108.18,108.18,108.18,0.0,0.0,109.0,109.0,109.0,0.0,0.0,107.91,107.91,107.91,0.0,0.0,109.0,109.0,109.0,0.0,0.0
2018-01-28,107.07,107.07,107.07,0.0,0.0,107.99,107.99,107.99,0.0,0.0,105.36,105.36,105.36,0.0,0.0,105.59,105.59,105.59,0.0,0.0
2018-02-04,101.14,101.14,101.14,0.0,0.0,101.67,101.67,101.67,0.0,0.0,97.1,97.1,97.1,0.0,0.0,100.83,100.83,100.83,0.0,0.0
2018-02-11,104.97,104.97,104.97,0.0,0.0,105.63,105.63,105.63,0.0,0.0,104.56,104.56,104.56,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2018-02-18,105.05,105.05,105.05,0.0,0.0,105.91,105.91,105.91,0.0,0.0,104.56,104.56,104.56,0.0,0.0,105.91,105.91,105.91,0.0,0.0
2018-02-25,101.81,101.81,101.81,0.0,0.0,103.22,103.22,103.22,0.0,0.0,101.29,101.29,101.29,0.0,0.0,103.05,103.05,103.05,0.0,0.0
2018-03-04,105.33,105.33,105.33,0.0,0.0,106.27,106.27,106.27,0.0,0.0,105.04,105.04,105.04,0.0,0.0,106.24,106.24,106.24,0.0,0.0
2018-03-11,105.32,105.32,105.32,0.0,0.0,105.87,105.87,105.87,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.18,105.18,105.18,0.0,0.0
2018-03-18,102.48,102.48,102.48,0.0,0.0,102.92,102.92,102.92,0.0,0.0,100.15,100.15,100.15,0.0,0.0,100.18,100.18,100.18,0.0,0.0
