Date,iShares MSCI TurkeyEtf_Open_average,iShares MSCI TurkeyEtf_Open_max,iShares MSCI TurkeyEtf_Open_min,iShares MSCI TurkeyEtf_Open_volatility,iShares MSCI TurkeyEtf_Open_change,iShares MSCI TurkeyEtf_High_average,iShares MSCI TurkeyEtf_High_max,iShares MSCI TurkeyEtf_High_min,iShares MSCI TurkeyEtf_High_volatility,iShares MSCI TurkeyEtf_High_change,iShares MSCI TurkeyEtf_Low_average,iShares MSCI TurkeyEtf_Low_max,iShares MSCI TurkeyEtf_Low_min,iShares MSCI TurkeyEtf_Low_volatility,iShares MSCI TurkeyEtf_Low_change,iShares MSCI TurkeyEtf_Close_average,iShares MSCI TurkeyEtf_Close_max,iShares MSCI TurkeyEtf_Close_min,iShares MSCI TurkeyEtf_Close_volatility,iShares MSCI TurkeyEtf_Close_change
2018-01-14,43.86,43.86,43.86,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2018-01-21,46.17,46.17,46.17,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.06,46.06,46.06,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-01-28,45.12,45.12,45.12,0.0,0.0,45.33,45.33,45.33,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-02-04,42.5,42.5,42.5,0.0,0.0,42.89,42.89,42.89,0.0,0.0,41.56,41.56,41.56,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-02-11,44.49,44.49,44.49,0.0,0.0,45.27,45.27,45.27,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2018-02-18,44.52,44.52,44.52,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-02-25,43.75,43.75,43.75,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.53,43.53,43.53,0.0,0.0,44.4,44.4,44.4,0.0,0.0
2018-03-04,43.97,43.97,43.97,0.0,0.0,44.45,44.45,44.45,0.0,0.0,43.97,43.97,43.97,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2018-03-11,42.9,42.9,42.9,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-03-18,42.15,42.15,42.15,0.0,0.0,42.21,42.21,42.21,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-03-25,41.86,41.86,41.86,0.0,0.0,42.71,42.71,42.71,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-04-01,41.29,41.29,41.29,0.0,0.0,41.46,41.46,41.46,0.0,0.0,40.75,40.75,40.75,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2018-04-08,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-04-15,39.83,39.83,39.83,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-04-22,39.04,39.04,39.04,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-04-29,34.94,34.94,34.94,0.0,0.0,35.72,35.72,35.72,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-05-06,34.87,34.87,34.87,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-05-13,33.19,33.19,33.19,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-05-20,32.03,32.03,32.03,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-05-27,31.85,31.85,31.85,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-06-03,31.93,31.93,31.93,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.65,31.65,31.65,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-06-10,29.37,29.37,29.37,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-06-17,29.46,29.46,29.46,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-06-24,30.44,30.44,30.44,0.0,0.0,30.53,30.53,30.53,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-07-01,30.94,30.94,30.94,0.0,0.0,31.31,31.31,31.31,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-07-08,26.5,26.5,26.5,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-07-15,28.0,28.0,28.0,0.0,0.0,28.16,28.16,28.16,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-07-22,27.73,27.73,27.73,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.73,27.73,27.73,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-07-29,27.0,27.0,27.0,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-08-05,19.83,19.83,19.83,0.0,0.0,21.89,21.89,21.89,0.0,0.0,19.65,19.65,19.65,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-08-12,20.29,20.29,20.29,0.0,0.0,21.37,21.37,21.37,0.0,0.0,20.22,20.22,20.22,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2018-08-19,21.51,21.51,21.51,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2018-08-26,20.23,20.23,20.23,0.0,0.0,20.25,20.25,20.25,0.0,0.0,19.73,19.73,19.73,0.0,0.0,20.21,20.21,20.21,0.0,0.0
2018-09-02,20.67,20.67,20.67,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2018-09-09,22.29,22.29,22.29,0.0,0.0,22.29,22.29,22.29,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.98,21.98,21.98,0.0,0.0
2018-09-16,22.28,22.28,22.28,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-09-23,23.91,23.91,23.91,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-09-30,22.19,22.19,22.19,0.0,0.0,22.25,22.25,22.25,0.0,0.0,21.94,21.94,21.94,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2018-10-07,23.98,23.98,23.98,0.0,0.0,24.24,24.24,24.24,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.47,23.47,23.47,0.0,0.0
2018-10-14,24.82,24.82,24.82,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2018-10-21,23.53,23.53,23.53,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.57,23.57,23.57,0.0,0.0
2018-10-28,24.81,24.81,24.81,0.0,0.0,25.19,25.19,25.19,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-11-04,24.41,24.41,24.41,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-11-11,25.29,25.29,25.29,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-11-18,25.13,25.13,25.13,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-11-25,26.37,26.37,26.37,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.26,26.26,26.26,0.0,0.0
