Date,SPDR Portfolio MSCI GlobalEtf_Open_average,SPDR Portfolio MSCI GlobalEtf_Open_max,SPDR Portfolio MSCI GlobalEtf_Open_min,SPDR Portfolio MSCI GlobalEtf_Open_volatility,SPDR Portfolio MSCI GlobalEtf_Open_change,SPDR Portfolio MSCI GlobalEtf_High_average,SPDR Portfolio MSCI GlobalEtf_High_max,SPDR Portfolio MSCI GlobalEtf_High_min,SPDR Portfolio MSCI GlobalEtf_High_volatility,SPDR Portfolio MSCI GlobalEtf_High_change,SPDR Portfolio MSCI GlobalEtf_Low_average,SPDR Portfolio MSCI GlobalEtf_Low_max,SPDR Portfolio MSCI GlobalEtf_Low_min,SPDR Portfolio MSCI GlobalEtf_Low_volatility,SPDR Portfolio MSCI GlobalEtf_Low_change,SPDR Portfolio MSCI GlobalEtf_Close_average,SPDR Portfolio MSCI GlobalEtf_Close_max,SPDR Portfolio MSCI GlobalEtf_Close_min,SPDR Portfolio MSCI GlobalEtf_Close_volatility,SPDR Portfolio MSCI GlobalEtf_Close_change
2018-01-14,41.15,41.15,41.15,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2018-01-21,42.02,42.02,42.02,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2018-01-28,40.84,40.84,40.84,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2018-02-04,38.22,38.22,38.22,0.0,0.0,38.37,38.37,38.37,0.0,0.0,37.16,37.16,37.16,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2018-02-11,40.01,40.01,40.01,0.0,0.0,40.16,40.16,40.16,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-02-18,39.76,39.76,39.76,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-02-25,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2018-03-04,40.18,40.18,40.18,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-03-11,39.93,39.93,39.93,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2018-03-18,38.7,38.7,38.7,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2018-03-25,38.77,38.77,38.77,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.68,38.68,38.68,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-04-01,38.91,38.91,38.91,0.0,0.0,39.5,39.5,39.5,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-04-08,39.51,39.51,39.51,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-04-15,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-04-22,39.29,39.29,39.29,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-04-29,38.77,38.77,38.77,0.0,0.0,39.44,39.44,39.44,0.0,0.0,38.77,38.77,38.77,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-05-06,39.86,39.86,39.86,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-05-13,39.66,39.66,39.66,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-05-20,39.48,39.48,39.48,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2018-05-27,39.16,39.16,39.16,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2018-06-03,39.62,39.62,39.62,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2018-06-10,39.24,39.24,39.24,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2018-06-17,39.11,39.11,39.11,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2018-06-24,38.62,38.62,38.62,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-07-01,38.73,38.73,38.73,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.82,38.82,38.82,0.0,0.0
2018-07-08,39.11,39.11,39.11,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-07-15,39.44,39.44,39.44,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-07-22,40.08,40.08,40.08,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-07-29,39.8,39.8,39.8,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-08-05,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-08-12,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-08-19,39.95,39.95,39.95,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2018-08-26,40.27,40.27,40.27,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2018-09-02,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-09-09,40.16,40.16,40.16,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-09-16,40.77,40.77,40.77,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2018-09-23,40.4,40.4,40.4,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2018-09-30,39.7,39.7,39.7,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.73,39.73,39.73,0.0,0.0
2018-10-07,38.49,38.49,38.49,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2018-10-14,38.52,38.52,38.52,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.28,38.28,38.28,0.0,0.0
2018-10-21,36.8,36.8,36.8,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.58,36.58,36.58,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-10-28,38.2,38.2,38.2,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-11-04,38.47,38.47,38.47,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-11-11,37.66,37.66,37.66,0.0,0.0,40.53,40.53,40.53,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.98,37.98,37.98,0.0,0.0
