Date,STNGStock_Open_average,STNGStock_Open_max,STNGStock_Open_min,STNGStock_Open_volatility,STNGStock_Open_change,STNGStock_High_average,STNGStock_High_max,STNGStock_High_min,STNGStock_High_volatility,STNGStock_High_change,STNGStock_Low_average,STNGStock_Low_max,STNGStock_Low_min,STNGStock_Low_volatility,STNGStock_Low_change,STNGStock_Close_average,STNGStock_Close_max,STNGStock_Close_min,STNGStock_Close_volatility,STNGStock_Close_change,STNGStock_Volume_average,STNGStock_Volume_max,STNGStock_Volume_min,STNGStock_Volume_volatility,STNGStock_Volume_change
2018-01-14,31.275,32.5,30.5,2.0,-2.0,31.5,32.5,30.8,1.6999999999999993,-1.3999999999999986,30.337500000000002,31.3,29.85,1.4499999999999993,-1.4499999999999993,30.725,31.4,30.2,1.1999999999999993,-0.6999999999999993,316711,391282,207401,183881,-37186
2018-01-21,30.42,31.0,30.0,1.0,-0.5,30.61,31.1,30.0,1.1000000000000014,-0.6000000000000014,29.57,30.2,28.5,1.6999999999999993,-1.6999999999999993,29.919999999999998,30.9,28.5,2.3999999999999986,-1.8999999999999986,333398,391291,150927,240364,229383
2018-01-28,26.64,28.5,24.4,4.100000000000001,-4.100000000000001,26.89,28.7,25.0,3.6999999999999993,-3.6999999999999993,25.23,27.05,23.7,3.3500000000000014,-3.3500000000000014,25.76,27.3,23.7,3.6000000000000014,-3.6000000000000014,692149,944577,505665,438912,57848
2018-02-04,23.58,24.2,23.1,1.0999999999999979,0.0,24.279999999999998,24.9,23.7,1.1999999999999993,-1.0,22.96,23.4,22.4,1.0,-1.0,23.34,24.1,22.6,1.5,-1.0,632545,818591,463113,355478,120425
2018-02-11,23.68,24.6,22.8,1.8000000000000007,1.8000000000000007,24.626,25.15,24.1,1.0499999999999972,0.5800000000000018,23.24,23.9,22.8,1.0999999999999979,0.3000000000000007,23.76,24.7,23.2,1.5,-0.3000000000000007,458766,628864,311134,317730,277770
2018-02-18,23.650000000000002,24.1,23.3,0.8000000000000007,0.8000000000000007,24.225,24.4,24.0,0.3999999999999986,-0.10000000000000142,23.475,23.6,23.3,0.3000000000000007,0.3000000000000007,23.75,24.0,23.5,0.5,0.3999999999999986,423002,535420,234947,300473,-94318
2018-02-25,23.44,24.3,22.0,2.3000000000000007,-2.0,23.87,24.75,22.7,2.0500000000000007,-1.9000000000000021,23.009999999999998,24.3,21.9,2.400000000000002,-2.0,23.2,24.6,22.0,2.6000000000000014,-2.5,351275,439338,275063,164275,131588
2018-03-04,23.18,23.9,22.0,1.8999999999999986,1.1000000000000014,23.88,24.3,23.2,1.1000000000000014,-0.8000000000000007,22.7,23.3,22.0,1.3000000000000007,0.10000000000000142,23.18,23.8,22.2,1.6000000000000014,-1.6000000000000014,312940,464639,243147,221492,128355
2018-03-11,22.32,22.6,22.0,0.6000000000000014,-0.3000000000000007,22.624000000000002,22.87,22.5,0.370000000000001,-0.10000000000000142,21.84,22.0,21.7,0.3000000000000007,-0.1999999999999993,22.14,22.5,21.8,0.6999999999999993,-0.6000000000000014,518329,782354,285762,496592,368483
2018-03-18,21.4,21.8,20.8,1.0,-1.0,21.68,22.2,20.9,1.3000000000000007,-1.3000000000000007,20.68,21.1,20.1,1.0,-1.0,20.88,21.6,20.2,1.4000000000000021,-1.4000000000000021,318775,467353,194440,272913,-272913
2018-03-25,20.1,20.8,19.2,1.6000000000000014,-1.1999999999999993,20.53,20.92,20.1,0.8200000000000003,-0.7999999999999972,19.6,20.0,19.2,0.8000000000000007,-0.8000000000000007,19.925,20.9,19.2,1.6999999999999993,-1.2999999999999972,490662,834818,267209,567609,302522
2018-04-01,19.240000000000002,19.6,19.0,0.6000000000000014,-0.3000000000000007,19.55,20.0,19.3,0.6999999999999993,-0.5500000000000007,18.77,18.8,18.7,0.10000000000000142,0.05000000000000071,19.06,19.5,18.8,0.6999999999999993,-0.3999999999999986,281306,335845,231601,104244,-22761
2018-04-08,20.900000000000002,23.1,19.0,4.100000000000001,4.100000000000001,22.169999999999998,24.0,19.5,4.5,4.5,20.72,22.9,18.5,4.399999999999999,4.399999999999999,21.66,23.6,18.8,4.800000000000001,4.800000000000001,608424,899137,239358,659779,-108312
2018-04-15,23.68,23.9,23.5,0.3999999999999986,0.1999999999999993,24.12,24.2,24.0,0.1999999999999993,0.10000000000000142,23.25,23.5,22.9,0.6000000000000014,0.6000000000000014,23.66,24.0,23.3,0.6999999999999993,0.3000000000000007,222663,307891,150581,157310,-46344
2018-04-22,25.46,27.2,23.6,3.599999999999998,3.0,25.96,27.5,23.9,3.6000000000000014,3.3000000000000007,24.786,26.5,23.3,3.1999999999999993,3.1999999999999993,25.58,27.0,23.7,3.3000000000000007,2.8999999999999986,451197,1079039,166602,912437,131475
2018-04-29,26.7,27.0,26.4,0.6000000000000014,0.10000000000000142,27.47,28.65,26.7,1.9499999999999993,1.4499999999999993,26.33,26.8,25.95,0.8500000000000014,0.40000000000000213,26.94,27.9,26.2,1.6999999999999993,1.2999999999999972,283673,378724,211149,167575,114149
2018-05-06,28.32,29.6,27.8,1.8000000000000007,-0.3000000000000007,28.98,29.8,28.0,1.8000000000000007,0.5,27.580000000000002,28.0,27.1,0.8999999999999986,0.6999999999999993,28.34,29.3,27.7,1.6000000000000014,1.1999999999999993,343523,543824,203182,340642,-48073
2018-05-13,28.32,28.9,27.5,1.3999999999999986,-0.3999999999999986,28.56,28.9,28.2,0.6999999999999993,-0.09999999999999787,27.68,28.1,27.1,1.0,-0.40000000000000213,28.14,28.5,27.6,0.8999999999999986,0.0,306096,441223,194374,246849,246849
