Date,Franklin FTSE ChinaEtf_Open_average,Franklin FTSE ChinaEtf_Open_max,Franklin FTSE ChinaEtf_Open_min,Franklin FTSE ChinaEtf_Open_volatility,Franklin FTSE ChinaEtf_Open_change,Franklin FTSE ChinaEtf_High_average,Franklin FTSE ChinaEtf_High_max,Franklin FTSE ChinaEtf_High_min,Franklin FTSE ChinaEtf_High_volatility,Franklin FTSE ChinaEtf_High_change,Franklin FTSE ChinaEtf_Low_average,Franklin FTSE ChinaEtf_Low_max,Franklin FTSE ChinaEtf_Low_min,Franklin FTSE ChinaEtf_Low_volatility,Franklin FTSE ChinaEtf_Low_change,Franklin FTSE ChinaEtf_Close_average,Franklin FTSE ChinaEtf_Close_max,Franklin FTSE ChinaEtf_Close_min,Franklin FTSE ChinaEtf_Close_volatility,Franklin FTSE ChinaEtf_Close_change
2018-01-14,28.06,28.06,28.06,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-01-21,29.28,29.28,29.28,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-01-28,28.19,28.19,28.19,0.0,0.0,28.23,28.23,28.23,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-02-04,25.19,25.19,25.19,0.0,0.0,25.53,25.53,25.53,0.0,0.0,24.65,24.65,24.65,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-02-11,27.38,27.38,27.38,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-02-18,27.6,27.6,27.6,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2018-02-25,26.24,26.24,26.24,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-03-04,27.55,27.55,27.55,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-03-11,28.0,28.0,28.0,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.93,27.93,27.93,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-03-18,26.49,26.49,26.49,0.0,0.0,26.53,26.53,26.53,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-03-25,26.05,26.05,26.05,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-04-01,25.84,25.84,25.84,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-04-08,26.54,26.54,26.54,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-04-15,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-04-22,25.77,25.77,25.77,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-04-29,25.61,25.61,25.61,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.61,25.61,25.61,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-05-06,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.98,26.98,26.98,0.0,0.0
