Date,iShares MSCI Japan Small-CapEtf_Open_average,iShares MSCI Japan Small-CapEtf_Open_max,iShares MSCI Japan Small-CapEtf_Open_min,iShares MSCI Japan Small-CapEtf_Open_volatility,iShares MSCI Japan Small-CapEtf_Open_change,iShares MSCI Japan Small-CapEtf_High_average,iShares MSCI Japan Small-CapEtf_High_max,iShares MSCI Japan Small-CapEtf_High_min,iShares MSCI Japan Small-CapEtf_High_volatility,iShares MSCI Japan Small-CapEtf_High_change,iShares MSCI Japan Small-CapEtf_Low_average,iShares MSCI Japan Small-CapEtf_Low_max,iShares MSCI Japan Small-CapEtf_Low_min,iShares MSCI Japan Small-CapEtf_Low_volatility,iShares MSCI Japan Small-CapEtf_Low_change,iShares MSCI Japan Small-CapEtf_Close_average,iShares MSCI Japan Small-CapEtf_Close_max,iShares MSCI Japan Small-CapEtf_Close_min,iShares MSCI Japan Small-CapEtf_Close_volatility,iShares MSCI Japan Small-CapEtf_Close_change
2018-01-14,83.6,83.6,83.6,0.0,0.0,83.64,83.64,83.64,0.0,0.0,83.34,83.34,83.34,0.0,0.0,83.49,83.49,83.49,0.0,0.0
2018-01-21,84.95,84.95,84.95,0.0,0.0,85.34,85.34,85.34,0.0,0.0,84.85,84.85,84.85,0.0,0.0,85.22,85.22,85.22,0.0,0.0
2018-01-28,83.59,83.59,83.59,0.0,0.0,83.76,83.76,83.76,0.0,0.0,82.78,82.78,82.78,0.0,0.0,82.88,82.88,82.88,0.0,0.0
2018-02-04,78.0,78.0,78.0,0.0,0.0,78.2,78.2,78.2,0.0,0.0,75.62,75.62,75.62,0.0,0.0,77.48,77.48,77.48,0.0,0.0
2018-02-11,80.51,80.51,80.51,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.35,80.35,80.35,0.0,0.0,80.62,80.62,80.62,0.0,0.0
2018-02-18,81.61,81.61,81.61,0.0,0.0,82.19,82.19,82.19,0.0,0.0,81.54,81.54,81.54,0.0,0.0,82.16,82.16,82.16,0.0,0.0
2018-02-25,79.05,79.05,79.05,0.0,0.0,80.27,80.27,80.27,0.0,0.0,78.9,78.9,78.9,0.0,0.0,80.21,80.21,80.21,0.0,0.0
2018-03-04,80.5,80.5,80.5,0.0,0.0,81.08,81.08,81.08,0.0,0.0,80.5,80.5,80.5,0.0,0.0,81.03,81.03,81.03,0.0,0.0
2018-03-11,81.28,81.28,81.28,0.0,0.0,81.48,81.48,81.48,0.0,0.0,81.19,81.19,81.19,0.0,0.0,81.35,81.35,81.35,0.0,0.0
2018-03-18,79.24,79.24,79.24,0.0,0.0,79.4,79.4,79.4,0.0,0.0,78.11,78.11,78.11,0.0,0.0,78.11,78.11,78.11,0.0,0.0
2018-03-25,81.18,81.18,81.18,0.0,0.0,82.15,82.15,82.15,0.0,0.0,81.18,81.18,81.18,0.0,0.0,81.89,81.89,81.89,0.0,0.0
2018-04-01,81.3,81.3,81.3,0.0,0.0,81.53,81.53,81.53,0.0,0.0,80.57,80.57,80.57,0.0,0.0,80.77,80.77,80.77,0.0,0.0
2018-04-08,80.9,80.9,80.9,0.0,0.0,80.9,80.9,80.9,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.82,80.82,80.82,0.0,0.0
2018-04-15,81.75,81.75,81.75,0.0,0.0,81.83,81.83,81.83,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.53,81.53,81.53,0.0,0.0
2018-04-22,81.83,81.83,81.83,0.0,0.0,81.83,81.83,81.83,0.0,0.0,81.59,81.59,81.59,0.0,0.0,81.62,81.62,81.62,0.0,0.0
2018-04-29,80.99,80.99,80.99,0.0,0.0,81.77,81.77,81.77,0.0,0.0,80.81,80.81,80.81,0.0,0.0,81.65,81.65,81.65,0.0,0.0
2018-05-06,82.48,82.48,82.48,0.0,0.0,82.65,82.65,82.65,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.57,82.57,82.57,0.0,0.0
2018-05-13,82.2,82.2,82.2,0.0,0.0,82.27,82.27,82.27,0.0,0.0,82.1,82.1,82.1,0.0,0.0,82.15,82.15,82.15,0.0,0.0
2018-05-20,81.51,81.51,81.51,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.37,81.37,81.37,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2018-05-27,81.09,81.09,81.09,0.0,0.0,81.17,81.17,81.17,0.0,0.0,80.98,80.98,80.98,0.0,0.0,81.03,81.03,81.03,0.0,0.0
2018-06-03,81.53,81.53,81.53,0.0,0.0,81.74,81.74,81.74,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.74,81.74,81.74,0.0,0.0
2018-06-10,80.92,80.92,80.92,0.0,0.0,80.92,80.92,80.92,0.0,0.0,80.47,80.47,80.47,0.0,0.0,80.83,80.83,80.83,0.0,0.0
2018-06-17,79.59,79.59,79.59,0.0,0.0,79.62,79.62,79.62,0.0,0.0,79.19,79.19,79.19,0.0,0.0,79.19,79.19,79.19,0.0,0.0
2018-06-24,77.99,77.99,77.99,0.0,0.0,78.24,78.24,78.24,0.0,0.0,77.86,77.86,77.86,0.0,0.0,77.99,77.99,77.99,0.0,0.0
2018-07-01,75.71,75.71,75.71,0.0,0.0,76.14,76.14,76.14,0.0,0.0,75.67,75.67,75.67,0.0,0.0,75.97,75.97,75.97,0.0,0.0
2018-07-08,75.71,75.71,75.71,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.55,75.55,75.55,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2018-07-15,76.23,76.23,76.23,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2018-07-22,79.25,79.25,79.25,0.0,0.0,79.36,79.36,79.36,0.0,0.0,78.97,78.97,78.97,0.0,0.0,78.98,78.98,78.98,0.0,0.0
2018-07-29,76.94,76.94,76.94,0.0,0.0,77.36,77.36,77.36,0.0,0.0,76.87,76.87,76.87,0.0,0.0,77.36,77.36,77.36,0.0,0.0
2018-08-05,76.14,76.14,76.14,0.0,0.0,76.14,76.14,76.14,0.0,0.0,75.78,75.78,75.78,0.0,0.0,75.93,75.93,75.93,0.0,0.0
2018-08-12,74.06,74.06,74.06,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2018-08-19,74.97,74.97,74.97,0.0,0.0,75.24,75.24,75.24,0.0,0.0,74.97,74.97,74.97,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2018-08-26,76.58,76.58,76.58,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2018-09-02,74.51,74.51,74.51,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.21,74.21,74.21,0.0,0.0,74.42,74.42,74.42,0.0,0.0
