Date,Fidelity MSCI Consumer DiscretionaryEtf_Open_average,Fidelity MSCI Consumer DiscretionaryEtf_Open_max,Fidelity MSCI Consumer DiscretionaryEtf_Open_min,Fidelity MSCI Consumer DiscretionaryEtf_Open_volatility,Fidelity MSCI Consumer DiscretionaryEtf_Open_change,Fidelity MSCI Consumer DiscretionaryEtf_High_average,Fidelity MSCI Consumer DiscretionaryEtf_High_max,Fidelity MSCI Consumer DiscretionaryEtf_High_min,Fidelity MSCI Consumer DiscretionaryEtf_High_volatility,Fidelity MSCI Consumer DiscretionaryEtf_High_change,Fidelity MSCI Consumer DiscretionaryEtf_Low_average,Fidelity MSCI Consumer DiscretionaryEtf_Low_max,Fidelity MSCI Consumer DiscretionaryEtf_Low_min,Fidelity MSCI Consumer DiscretionaryEtf_Low_volatility,Fidelity MSCI Consumer DiscretionaryEtf_Low_change,Fidelity MSCI Consumer DiscretionaryEtf_Close_average,Fidelity MSCI Consumer DiscretionaryEtf_Close_max,Fidelity MSCI Consumer DiscretionaryEtf_Close_min,Fidelity MSCI Consumer DiscretionaryEtf_Close_volatility,Fidelity MSCI Consumer DiscretionaryEtf_Close_change
2018-01-14,41.6,41.6,41.6,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2018-01-21,42.69,42.69,42.69,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-01-28,42.05,42.05,42.05,0.0,0.0,42.39,42.39,42.39,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-02-04,39.76,39.76,39.76,0.0,0.0,39.9,39.9,39.9,0.0,0.0,38.22,38.22,38.22,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-02-11,41.29,41.29,41.29,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2018-02-18,41.26,41.26,41.26,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-02-25,39.95,39.95,39.95,0.0,0.0,40.53,40.53,40.53,0.0,0.0,39.65,39.65,39.65,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2018-03-04,41.34,41.34,41.34,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2018-03-11,41.27,41.27,41.27,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2018-03-18,40.2,40.2,40.2,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.33,39.33,39.33,0.0,0.0
