Date,Vanguard Intermediate-Term BondEtf_Open_average,Vanguard Intermediate-Term BondEtf_Open_max,Vanguard Intermediate-Term BondEtf_Open_min,Vanguard Intermediate-Term BondEtf_Open_volatility,Vanguard Intermediate-Term BondEtf_Open_change,Vanguard Intermediate-Term BondEtf_High_average,Vanguard Intermediate-Term BondEtf_High_max,Vanguard Intermediate-Term BondEtf_High_min,Vanguard Intermediate-Term BondEtf_High_volatility,Vanguard Intermediate-Term BondEtf_High_change,Vanguard Intermediate-Term BondEtf_Low_average,Vanguard Intermediate-Term BondEtf_Low_max,Vanguard Intermediate-Term BondEtf_Low_min,Vanguard Intermediate-Term BondEtf_Low_volatility,Vanguard Intermediate-Term BondEtf_Low_change,Vanguard Intermediate-Term BondEtf_Close_average,Vanguard Intermediate-Term BondEtf_Close_max,Vanguard Intermediate-Term BondEtf_Close_min,Vanguard Intermediate-Term BondEtf_Close_volatility,Vanguard Intermediate-Term BondEtf_Close_change
2018-01-14,82.91,82.91,82.91,0.0,0.0,82.94,82.94,82.94,0.0,0.0,82.72,82.72,82.72,0.0,0.0,82.74,82.74,82.74,0.0,0.0
2018-01-21,82.87,82.87,82.87,0.0,0.0,82.89,82.89,82.89,0.0,0.0,82.74,82.74,82.74,0.0,0.0,82.79,82.79,82.79,0.0,0.0
2018-01-28,81.86,81.86,81.86,0.0,0.0,81.99,81.99,81.99,0.0,0.0,81.75,81.75,81.75,0.0,0.0,81.82,81.82,81.82,0.0,0.0
2018-02-04,81.59,81.59,81.59,0.0,0.0,81.93,81.93,81.93,0.0,0.0,81.59,81.59,81.59,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2018-02-11,81.51,81.51,81.51,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.43,81.43,81.43,0.0,0.0,81.56,81.56,81.56,0.0,0.0
2018-02-18,81.46,81.46,81.46,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.42,81.42,81.42,0.0,0.0,81.58,81.58,81.58,0.0,0.0
2018-02-25,81.38,81.38,81.38,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.27,81.27,81.27,0.0,0.0
2018-03-04,81.24,81.24,81.24,0.0,0.0,81.28,81.28,81.28,0.0,0.0,81.14,81.14,81.14,0.0,0.0,81.21,81.21,81.21,0.0,0.0
2018-03-11,81.36,81.36,81.36,0.0,0.0,81.44,81.44,81.44,0.0,0.0,81.32,81.32,81.32,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2018-03-18,81.27,81.27,81.27,0.0,0.0,81.38,81.38,81.38,0.0,0.0,81.25,81.25,81.25,0.0,0.0,81.34,81.34,81.34,0.0,0.0
2018-03-25,81.62,81.62,81.62,0.0,0.0,81.86,81.86,81.86,0.0,0.0,81.62,81.62,81.62,0.0,0.0,81.77,81.77,81.77,0.0,0.0
2018-04-01,81.55,81.55,81.55,0.0,0.0,81.67,81.67,81.67,0.0,0.0,81.5,81.5,81.5,0.0,0.0,81.58,81.58,81.58,0.0,0.0
2018-04-08,81.32,81.32,81.32,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.3,81.3,81.3,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2018-04-15,80.9,80.9,80.9,0.0,0.0,80.98,80.98,80.98,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.74,80.74,80.74,0.0,0.0
