Date,ProShares UltraShort Australian DollarEtf_Open_average,ProShares UltraShort Australian DollarEtf_Open_max,ProShares UltraShort Australian DollarEtf_Open_min,ProShares UltraShort Australian DollarEtf_Open_volatility,ProShares UltraShort Australian DollarEtf_Open_change,ProShares UltraShort Australian DollarEtf_High_average,ProShares UltraShort Australian DollarEtf_High_max,ProShares UltraShort Australian DollarEtf_High_min,ProShares UltraShort Australian DollarEtf_High_volatility,ProShares UltraShort Australian DollarEtf_High_change,ProShares UltraShort Australian DollarEtf_Low_average,ProShares UltraShort Australian DollarEtf_Low_max,ProShares UltraShort Australian DollarEtf_Low_min,ProShares UltraShort Australian DollarEtf_Low_volatility,ProShares UltraShort Australian DollarEtf_Low_change,ProShares UltraShort Australian DollarEtf_Close_average,ProShares UltraShort Australian DollarEtf_Close_max,ProShares UltraShort Australian DollarEtf_Close_min,ProShares UltraShort Australian DollarEtf_Close_volatility,ProShares UltraShort Australian DollarEtf_Close_change
2018-01-14,43.45,43.45,43.45,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-01-21,42.49,42.49,42.49,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2018-01-28,43.87,43.87,43.87,0.0,0.0,44.35,44.35,44.35,0.0,0.0,43.87,43.87,43.87,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2018-02-04,45.5,45.5,45.5,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2018-02-11,44.0,44.0,44.0,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-02-18,45.14,45.14,45.14,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2018-02-25,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-03-04,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-03-11,46.44,46.44,46.44,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-03-18,45.95,45.95,45.95,0.0,0.0,46.7,46.7,46.7,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.66,46.66,46.66,0.0,0.0
