Date,ALPS Equal Sector WeightEtf_Open_average,ALPS Equal Sector WeightEtf_Open_max,ALPS Equal Sector WeightEtf_Open_min,ALPS Equal Sector WeightEtf_Open_volatility,ALPS Equal Sector WeightEtf_Open_change,ALPS Equal Sector WeightEtf_High_average,ALPS Equal Sector WeightEtf_High_max,ALPS Equal Sector WeightEtf_High_min,ALPS Equal Sector WeightEtf_High_volatility,ALPS Equal Sector WeightEtf_High_change,ALPS Equal Sector WeightEtf_Low_average,ALPS Equal Sector WeightEtf_Low_max,ALPS Equal Sector WeightEtf_Low_min,ALPS Equal Sector WeightEtf_Low_volatility,ALPS Equal Sector WeightEtf_Low_change,ALPS Equal Sector WeightEtf_Close_average,ALPS Equal Sector WeightEtf_Close_max,ALPS Equal Sector WeightEtf_Close_min,ALPS Equal Sector WeightEtf_Close_volatility,ALPS Equal Sector WeightEtf_Close_change
2018-01-14,71.51,71.51,71.51,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.51,71.51,71.51,0.0,0.0,71.89,71.89,71.89,0.0,0.0
2018-01-21,72.95,72.95,72.95,0.0,0.0,73.29,73.29,73.29,0.0,0.0,72.92,72.92,72.92,0.0,0.0,73.29,73.29,73.29,0.0,0.0
2018-01-28,71.41,71.41,71.41,0.0,0.0,71.41,71.41,71.41,0.0,0.0,70.66,70.66,70.66,0.0,0.0,70.8,70.8,70.8,0.0,0.0
2018-02-04,67.1,67.1,67.1,0.0,0.0,67.1,67.1,67.1,0.0,0.0,65.11,65.11,65.11,0.0,0.0,66.9,66.9,66.9,0.0,0.0
2018-02-11,69.55,69.55,69.55,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-02-18,69.25,69.25,69.25,0.0,0.0,69.78,69.78,69.78,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.76,69.76,69.76,0.0,0.0
2018-02-25,67.42,67.42,67.42,0.0,0.0,68.27,68.27,68.27,0.0,0.0,67.42,67.42,67.42,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2018-03-04,69.54,69.54,69.54,0.0,0.0,70.16,70.16,70.16,0.0,0.0,69.54,69.54,69.54,0.0,0.0,70.15,70.15,70.15,0.0,0.0
2018-03-11,69.8,69.8,69.8,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-03-18,67.49,67.49,67.49,0.0,0.0,67.49,67.49,67.49,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-03-25,67.0,67.0,67.0,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.71,67.71,67.71,0.0,0.0
2018-04-01,67.49,67.49,67.49,0.0,0.0,67.64,67.64,67.64,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.93,66.93,66.93,0.0,0.0
2018-04-08,68.04,68.04,68.04,0.0,0.0,68.19,68.19,68.19,0.0,0.0,67.74,67.74,67.74,0.0,0.0,67.87,67.87,67.87,0.0,0.0
2018-04-15,68.92,68.92,68.92,0.0,0.0,68.92,68.92,68.92,0.0,0.0,68.17,68.17,68.17,0.0,0.0,68.17,68.17,68.17,0.0,0.0
2018-04-22,68.4,68.4,68.4,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.4,68.4,68.4,0.0,0.0,68.59,68.59,68.59,0.0,0.0
2018-04-29,67.34,67.34,67.34,0.0,0.0,68.26,68.26,68.26,0.0,0.0,67.34,67.34,67.34,0.0,0.0,68.12,68.12,68.12,0.0,0.0
2018-05-06,69.41,69.41,69.41,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.38,69.38,69.38,0.0,0.0
2018-05-13,69.36,69.36,69.36,0.0,0.0,69.36,69.36,69.36,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.1,69.1,69.1,0.0,0.0
2018-05-20,69.28,69.28,69.28,0.0,0.0,69.28,69.28,69.28,0.0,0.0,69.13,69.13,69.13,0.0,0.0,69.13,69.13,69.13,0.0,0.0
2018-05-27,69.45,69.45,69.45,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0
