Date,Invesco S and P SmallCap MomentumEtf_Open_average,Invesco S and P SmallCap MomentumEtf_Open_max,Invesco S and P SmallCap MomentumEtf_Open_min,Invesco S and P SmallCap MomentumEtf_Open_volatility,Invesco S and P SmallCap MomentumEtf_Open_change,Invesco S and P SmallCap MomentumEtf_High_average,Invesco S and P SmallCap MomentumEtf_High_max,Invesco S and P SmallCap MomentumEtf_High_min,Invesco S and P SmallCap MomentumEtf_High_volatility,Invesco S and P SmallCap MomentumEtf_High_change,Invesco S and P SmallCap MomentumEtf_Low_average,Invesco S and P SmallCap MomentumEtf_Low_max,Invesco S and P SmallCap MomentumEtf_Low_min,Invesco S and P SmallCap MomentumEtf_Low_volatility,Invesco S and P SmallCap MomentumEtf_Low_change,Invesco S and P SmallCap MomentumEtf_Close_average,Invesco S and P SmallCap MomentumEtf_Close_max,Invesco S and P SmallCap MomentumEtf_Close_min,Invesco S and P SmallCap MomentumEtf_Close_volatility,Invesco S and P SmallCap MomentumEtf_Close_change
2018-01-14,32.67,32.67,32.67,0.0,0.0,33.32,33.32,33.32,0.0,0.0,32.67,32.67,32.67,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-01-21,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-01-28,32.47,32.47,32.47,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-02-04,30.75,30.75,30.75,0.0,0.0,30.77,30.77,30.77,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-02-11,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-18,32.47,32.47,32.47,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-02-25,31.98,31.98,31.98,0.0,0.0,32.93,32.93,32.93,0.0,0.0,31.81,31.81,31.81,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-03-04,34.37,34.37,34.37,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-03-11,34.43,34.43,34.43,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-03-18,33.77,33.77,33.77,0.0,0.0,33.83,33.83,33.83,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-03-25,32.61,32.61,32.61,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.6,32.6,32.6,0.0,0.0,33.22,33.22,33.22,0.0,0.0
