Date,iShares MSCI Emerging Markets AsiaEtf_Open_average,iShares MSCI Emerging Markets AsiaEtf_Open_max,iShares MSCI Emerging Markets AsiaEtf_Open_min,iShares MSCI Emerging Markets AsiaEtf_Open_volatility,iShares MSCI Emerging Markets AsiaEtf_Open_change,iShares MSCI Emerging Markets AsiaEtf_High_average,iShares MSCI Emerging Markets AsiaEtf_High_max,iShares MSCI Emerging Markets AsiaEtf_High_min,iShares MSCI Emerging Markets AsiaEtf_High_volatility,iShares MSCI Emerging Markets AsiaEtf_High_change,iShares MSCI Emerging Markets AsiaEtf_Low_average,iShares MSCI Emerging Markets AsiaEtf_Low_max,iShares MSCI Emerging Markets AsiaEtf_Low_min,iShares MSCI Emerging Markets AsiaEtf_Low_volatility,iShares MSCI Emerging Markets AsiaEtf_Low_change,iShares MSCI Emerging Markets AsiaEtf_Close_average,iShares MSCI Emerging Markets AsiaEtf_Close_max,iShares MSCI Emerging Markets AsiaEtf_Close_min,iShares MSCI Emerging Markets AsiaEtf_Close_volatility,iShares MSCI Emerging Markets AsiaEtf_Close_change
2018-01-14,78.79,78.79,78.79,0.0,0.0,79.75,79.75,79.75,0.0,0.0,78.55,78.55,78.55,0.0,0.0,78.68,78.68,78.68,0.0,0.0
2018-01-21,81.19,81.19,81.19,0.0,0.0,81.27,81.27,81.27,0.0,0.0,80.16,80.16,80.16,0.0,0.0,81.27,81.27,81.27,0.0,0.0
2018-01-28,77.87,77.87,77.87,0.0,0.0,77.87,77.87,77.87,0.0,0.0,76.19,76.19,76.19,0.0,0.0,76.21,76.21,76.21,0.0,0.0
2018-02-04,71.87,71.87,71.87,0.0,0.0,72.41,72.41,72.41,0.0,0.0,69.94,69.94,69.94,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2018-02-11,76.94,76.94,76.94,0.0,0.0,77.42,77.42,77.42,0.0,0.0,76.66,76.66,76.66,0.0,0.0,76.73,76.73,76.73,0.0,0.0
2018-02-18,76.18,76.18,76.18,0.0,0.0,76.9,76.9,76.9,0.0,0.0,76.02,76.02,76.02,0.0,0.0,76.68,76.68,76.68,0.0,0.0
2018-02-25,73.71,73.71,73.71,0.0,0.0,74.68,74.68,74.68,0.0,0.0,73.0,73.0,73.0,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2018-03-04,75.93,75.93,75.93,0.0,0.0,77.16,77.16,77.16,0.0,0.0,75.93,75.93,75.93,0.0,0.0,77.16,77.16,77.16,0.0,0.0
2018-03-11,77.04,77.04,77.04,0.0,0.0,77.25,77.25,77.25,0.0,0.0,77.03,77.03,77.03,0.0,0.0,77.21,77.21,77.21,0.0,0.0
2018-03-18,74.5,74.5,74.5,0.0,0.0,74.5,74.5,74.5,0.0,0.0,72.8,72.8,72.8,0.0,0.0,72.83,72.83,72.83,0.0,0.0
