Date,Schwab US Small-CapEtf_Open_average,Schwab US Small-CapEtf_Open_max,Schwab US Small-CapEtf_Open_min,Schwab US Small-CapEtf_Open_volatility,Schwab US Small-CapEtf_Open_change,Schwab US Small-CapEtf_High_average,Schwab US Small-CapEtf_High_max,Schwab US Small-CapEtf_High_min,Schwab US Small-CapEtf_High_volatility,Schwab US Small-CapEtf_High_change,Schwab US Small-CapEtf_Low_average,Schwab US Small-CapEtf_Low_max,Schwab US Small-CapEtf_Low_min,Schwab US Small-CapEtf_Low_volatility,Schwab US Small-CapEtf_Low_change,Schwab US Small-CapEtf_Close_average,Schwab US Small-CapEtf_Close_max,Schwab US Small-CapEtf_Close_min,Schwab US Small-CapEtf_Close_volatility,Schwab US Small-CapEtf_Close_change
2018-01-14,71.65,71.65,71.65,0.0,0.0,72.53,72.53,72.53,0.0,0.0,71.65,71.65,71.65,0.0,0.0,72.48,72.48,72.48,0.0,0.0
2018-01-21,73.09,73.09,73.09,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.71,72.71,72.71,0.0,0.0,73.17,73.17,73.17,0.0,0.0
2018-01-28,71.37,71.37,71.37,0.0,0.0,71.37,71.37,71.37,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2018-02-04,67.09,67.09,67.09,0.0,0.0,67.52,67.52,67.52,0.0,0.0,65.16,65.16,65.16,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2018-02-11,69.71,69.71,69.71,0.0,0.0,70.48,70.48,70.48,0.0,0.0,69.71,69.71,69.71,0.0,0.0,70.05,70.05,70.05,0.0,0.0
2018-02-18,69.82,69.82,69.82,0.0,0.0,70.32,70.32,70.32,0.0,0.0,69.53,69.53,69.53,0.0,0.0,70.31,70.31,70.31,0.0,0.0
2018-02-25,67.95,67.95,67.95,0.0,0.0,69.62,69.62,69.62,0.0,0.0,67.77,67.77,67.77,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-03-04,71.63,71.63,71.63,0.0,0.0,72.28,72.28,72.28,0.0,0.0,71.44,71.44,71.44,0.0,0.0,72.27,72.27,72.27,0.0,0.0
2018-03-11,71.13,71.13,71.13,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.47,71.47,71.47,0.0,0.0
2018-03-18,69.7,69.7,69.7,0.0,0.0,70.08,70.08,70.08,0.0,0.0,68.14,68.14,68.14,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2018-03-25,68.78,68.78,68.78,0.0,0.0,69.62,69.62,69.62,0.0,0.0,68.62,68.62,68.62,0.0,0.0,69.13,69.13,69.13,0.0,0.0
2018-04-01,69.32,69.32,69.32,0.0,0.0,69.75,69.75,69.75,0.0,0.0,67.87,67.87,67.87,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2018-04-08,70.47,70.47,70.47,0.0,0.0,70.47,70.47,70.47,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-04-15,70.83,70.83,70.83,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.38,70.38,70.38,0.0,0.0,70.56,70.56,70.56,0.0,0.0
2018-04-22,70.27,70.27,70.27,0.0,0.0,70.45,70.45,70.45,0.0,0.0,69.79,69.79,69.79,0.0,0.0,70.18,70.18,70.18,0.0,0.0
2018-04-29,69.45,69.45,69.45,0.0,0.0,70.84,70.84,70.84,0.0,0.0,69.23,69.23,69.23,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-05-06,72.41,72.41,72.41,0.0,0.0,72.6,72.6,72.6,0.0,0.0,72.13,72.13,72.13,0.0,0.0,72.45,72.45,72.45,0.0,0.0
2018-05-13,73.3,73.3,73.3,0.0,0.0,73.42,73.42,73.42,0.0,0.0,73.12,73.12,73.12,0.0,0.0,73.24,73.24,73.24,0.0,0.0
2018-05-20,73.13,73.13,73.13,0.0,0.0,73.3,73.3,73.3,0.0,0.0,73.01,73.01,73.01,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-05-27,73.89,73.89,73.89,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.97,73.97,73.97,0.0,0.0
2018-06-03,75.03,75.03,75.03,0.0,0.0,75.33,75.33,75.33,0.0,0.0,74.94,74.94,74.94,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2018-06-10,75.35,75.35,75.35,0.0,0.0,75.57,75.57,75.57,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.47,75.47,75.47,0.0,0.0
