Date,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Open_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_High_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Low_change,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_average,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_max,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_min,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_volatility,VictoryShares US Multi-Factor Minimum VolatilityEtf_Close_change
2018-01-14,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-01-21,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-01-28,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-02-04,27.18,27.18,27.18,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-02-11,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-02-18,27.85,27.85,27.85,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-02-25,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-03-04,27.94,27.94,27.94,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.93,27.93,27.93,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-03-11,27.96,27.96,27.96,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-03-18,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0
