Date,iShares MSCI Pacific ex JapanEtf_Open_average,iShares MSCI Pacific ex JapanEtf_Open_max,iShares MSCI Pacific ex JapanEtf_Open_min,iShares MSCI Pacific ex JapanEtf_Open_volatility,iShares MSCI Pacific ex JapanEtf_Open_change,iShares MSCI Pacific ex JapanEtf_High_average,iShares MSCI Pacific ex JapanEtf_High_max,iShares MSCI Pacific ex JapanEtf_High_min,iShares MSCI Pacific ex JapanEtf_High_volatility,iShares MSCI Pacific ex JapanEtf_High_change,iShares MSCI Pacific ex JapanEtf_Low_average,iShares MSCI Pacific ex JapanEtf_Low_max,iShares MSCI Pacific ex JapanEtf_Low_min,iShares MSCI Pacific ex JapanEtf_Low_volatility,iShares MSCI Pacific ex JapanEtf_Low_change,iShares MSCI Pacific ex JapanEtf_Close_average,iShares MSCI Pacific ex JapanEtf_Close_max,iShares MSCI Pacific ex JapanEtf_Close_min,iShares MSCI Pacific ex JapanEtf_Close_volatility,iShares MSCI Pacific ex JapanEtf_Close_change
2018-01-14,49.3,49.3,49.3,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2018-01-21,50.02,50.02,50.02,0.0,0.0,50.33,50.33,50.33,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2018-01-28,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-02-04,45.87,45.87,45.87,0.0,0.0,46.12,46.12,46.12,0.0,0.0,44.78,44.78,44.78,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2018-02-11,47.74,47.74,47.74,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-02-18,48.01,48.01,48.01,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-02-25,47.14,47.14,47.14,0.0,0.0,47.6,47.6,47.6,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-03-04,48.18,48.18,48.18,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-03-11,47.82,47.82,47.82,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-03-18,46.63,46.63,46.63,0.0,0.0,46.72,46.72,46.72,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.93,45.93,45.93,0.0,0.0
