Date,JPMorgan Diversified Return US EquityEtf_Open_average,JPMorgan Diversified Return US EquityEtf_Open_max,JPMorgan Diversified Return US EquityEtf_Open_min,JPMorgan Diversified Return US EquityEtf_Open_volatility,JPMorgan Diversified Return US EquityEtf_Open_change,JPMorgan Diversified Return US EquityEtf_High_average,JPMorgan Diversified Return US EquityEtf_High_max,JPMorgan Diversified Return US EquityEtf_High_min,JPMorgan Diversified Return US EquityEtf_High_volatility,JPMorgan Diversified Return US EquityEtf_High_change,JPMorgan Diversified Return US EquityEtf_Low_average,JPMorgan Diversified Return US EquityEtf_Low_max,JPMorgan Diversified Return US EquityEtf_Low_min,JPMorgan Diversified Return US EquityEtf_Low_volatility,JPMorgan Diversified Return US EquityEtf_Low_change,JPMorgan Diversified Return US EquityEtf_Close_average,JPMorgan Diversified Return US EquityEtf_Close_max,JPMorgan Diversified Return US EquityEtf_Close_min,JPMorgan Diversified Return US EquityEtf_Close_volatility,JPMorgan Diversified Return US EquityEtf_Close_change
2018-01-14,73.17,73.17,73.17,0.0,0.0,73.25,73.25,73.25,0.0,0.0,72.93,72.93,72.93,0.0,0.0,73.25,73.25,73.25,0.0,0.0
2018-01-21,74.21,74.21,74.21,0.0,0.0,74.58,74.58,74.58,0.0,0.0,74.02,74.02,74.02,0.0,0.0,74.58,74.58,74.58,0.0,0.0
2018-01-28,72.9,72.9,72.9,0.0,0.0,72.9,72.9,72.9,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.74,71.74,71.74,0.0,0.0
2018-02-04,68.31,68.31,68.31,0.0,0.0,69.05,69.05,69.05,0.0,0.0,66.68,66.68,66.68,0.0,0.0,68.59,68.59,68.59,0.0,0.0
2018-02-11,71.08,71.08,71.08,0.0,0.0,71.61,71.61,71.61,0.0,0.0,70.95,70.95,70.95,0.0,0.0,71.32,71.32,71.32,0.0,0.0
2018-02-18,70.61,70.61,70.61,0.0,0.0,71.39,71.39,71.39,0.0,0.0,70.5,70.5,70.5,0.0,0.0,71.32,71.32,71.32,0.0,0.0
2018-02-25,69.18,69.18,69.18,0.0,0.0,70.13,70.13,70.13,0.0,0.0,69.18,69.18,69.18,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-03-04,71.53,71.53,71.53,0.0,0.0,72.26,72.26,72.26,0.0,0.0,71.47,71.47,71.47,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2018-03-11,71.68,71.68,71.68,0.0,0.0,71.83,71.83,71.83,0.0,0.0,71.59,71.59,71.59,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2018-03-18,69.44,69.44,69.44,0.0,0.0,69.59,69.59,69.59,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.19,68.19,68.19,0.0,0.0
