Date,VelocityShares Daily 4X Long EUR vs. USDEtf_Open_average,VelocityShares Daily 4X Long EUR vs. USDEtf_Open_max,VelocityShares Daily 4X Long EUR vs. USDEtf_Open_min,VelocityShares Daily 4X Long EUR vs. USDEtf_Open_volatility,VelocityShares Daily 4X Long EUR vs. USDEtf_Open_change,VelocityShares Daily 4X Long EUR vs. USDEtf_High_average,VelocityShares Daily 4X Long EUR vs. USDEtf_High_max,VelocityShares Daily 4X Long EUR vs. USDEtf_High_min,VelocityShares Daily 4X Long EUR vs. USDEtf_High_volatility,VelocityShares Daily 4X Long EUR vs. USDEtf_High_change,VelocityShares Daily 4X Long EUR vs. USDEtf_Low_average,VelocityShares Daily 4X Long EUR vs. USDEtf_Low_max,VelocityShares Daily 4X Long EUR vs. USDEtf_Low_min,VelocityShares Daily 4X Long EUR vs. USDEtf_Low_volatility,VelocityShares Daily 4X Long EUR vs. USDEtf_Low_change,VelocityShares Daily 4X Long EUR vs. USDEtf_Close_average,VelocityShares Daily 4X Long EUR vs. USDEtf_Close_max,VelocityShares Daily 4X Long EUR vs. USDEtf_Close_min,VelocityShares Daily 4X Long EUR vs. USDEtf_Close_volatility,VelocityShares Daily 4X Long EUR vs. USDEtf_Close_change
2018-01-14,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-01-21,30.61,30.61,30.61,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-01-28,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-02-04,28.66,28.66,28.66,0.0,0.0,30.0,30.0,30.0,0.0,0.0,27.61,27.61,27.61,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-02-11,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-02-18,29.13,29.13,29.13,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2018-02-25,28.16,28.16,28.16,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2018-03-04,29.25,29.25,29.25,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-03-11,29.05,29.05,29.05,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-03-18,28.92,28.92,28.92,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-03-25,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-04-01,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-04-08,28.9,28.9,28.9,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-04-15,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-04-22,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2018-04-29,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-05-06,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-05-13,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-05-20,23.07,23.07,23.07,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2018-05-27,23.0,23.0,23.0,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.81,22.81,22.81,0.0,0.0
2018-06-03,23.59,23.59,23.59,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2018-06-10,22.92,22.92,22.92,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.25,22.25,22.25,0.0,0.0
2018-06-17,22.63,22.63,22.63,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2018-06-24,22.73,22.73,22.73,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.77,22.77,22.77,0.0,0.0
2018-07-01,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-07-08,22.6,22.6,22.6,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2018-07-15,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2018-07-22,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-07-29,21.78,21.78,21.78,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2018-08-05,20.56,20.56,20.56,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2018-08-12,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2018-08-19,21.79,21.79,21.79,0.0,0.0,21.97,21.97,21.97,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2018-08-26,21.85,21.85,21.85,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
