Date,iShares MSCI Taiwan CappedEtf_Open_average,iShares MSCI Taiwan CappedEtf_Open_max,iShares MSCI Taiwan CappedEtf_Open_min,iShares MSCI Taiwan CappedEtf_Open_volatility,iShares MSCI Taiwan CappedEtf_Open_change,iShares MSCI Taiwan CappedEtf_High_average,iShares MSCI Taiwan CappedEtf_High_max,iShares MSCI Taiwan CappedEtf_High_min,iShares MSCI Taiwan CappedEtf_High_volatility,iShares MSCI Taiwan CappedEtf_High_change,iShares MSCI Taiwan CappedEtf_Low_average,iShares MSCI Taiwan CappedEtf_Low_max,iShares MSCI Taiwan CappedEtf_Low_min,iShares MSCI Taiwan CappedEtf_Low_volatility,iShares MSCI Taiwan CappedEtf_Low_change,iShares MSCI Taiwan CappedEtf_Close_average,iShares MSCI Taiwan CappedEtf_Close_max,iShares MSCI Taiwan CappedEtf_Close_min,iShares MSCI Taiwan CappedEtf_Close_volatility,iShares MSCI Taiwan CappedEtf_Close_change
2018-01-14,38.83,38.83,38.83,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2018-01-21,39.01,39.01,39.01,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-01-28,38.31,38.31,38.31,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-02-04,35.76,35.76,35.76,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-02-11,37.56,37.56,37.56,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-02-18,37.4,37.4,37.4,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-25,36.59,36.59,36.59,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.48,36.48,36.48,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-03-04,37.86,37.86,37.86,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.72,37.72,37.72,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-03-11,38.5,38.5,38.5,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-03-18,37.81,37.81,37.81,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-03-25,37.95,37.95,37.95,0.0,0.0,38.44,38.44,38.44,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-04-01,37.9,37.9,37.9,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.36,37.36,37.36,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-04-08,38.1,38.1,38.1,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-04-15,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-04-22,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2018-04-29,35.73,35.73,35.73,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.57,35.57,35.57,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-05-06,37.32,37.32,37.32,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2018-05-13,36.68,36.68,36.68,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-05-20,37.04,37.04,37.04,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.11,37.11,37.11,0.0,0.0
