Date,ProShares Ultra MidCap400Etf_Open_average,ProShares Ultra MidCap400Etf_Open_max,ProShares Ultra MidCap400Etf_Open_min,ProShares Ultra MidCap400Etf_Open_volatility,ProShares Ultra MidCap400Etf_Open_change,ProShares Ultra MidCap400Etf_High_average,ProShares Ultra MidCap400Etf_High_max,ProShares Ultra MidCap400Etf_High_min,ProShares Ultra MidCap400Etf_High_volatility,ProShares Ultra MidCap400Etf_High_change,ProShares Ultra MidCap400Etf_Low_average,ProShares Ultra MidCap400Etf_Low_max,ProShares Ultra MidCap400Etf_Low_min,ProShares Ultra MidCap400Etf_Low_volatility,ProShares Ultra MidCap400Etf_Low_change,ProShares Ultra MidCap400Etf_Close_average,ProShares Ultra MidCap400Etf_Close_max,ProShares Ultra MidCap400Etf_Close_min,ProShares Ultra MidCap400Etf_Close_volatility,ProShares Ultra MidCap400Etf_Close_change
2018-01-14,43.56,43.56,43.56,0.0,0.0,44.38,44.38,44.38,0.0,0.0,43.56,43.56,43.56,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-01-21,44.87,44.87,44.87,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.51,44.51,44.51,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2018-01-28,42.89,42.89,42.89,0.0,0.0,42.89,42.89,42.89,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-02-04,37.33,37.33,37.33,0.0,0.0,37.85,37.85,37.85,0.0,0.0,35.34,35.34,35.34,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-02-11,40.41,40.41,40.41,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2018-02-18,40.38,40.38,40.38,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2018-02-25,38.37,38.37,38.37,0.0,0.0,39.93,39.93,39.93,0.0,0.0,38.24,38.24,38.24,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-03-04,41.9,41.9,41.9,0.0,0.0,42.86,42.86,42.86,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-03-11,41.79,41.79,41.79,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.79,41.79,41.79,0.0,0.0,42.19,42.19,42.19,0.0,0.0
2018-03-18,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2018-03-25,38.96,38.96,38.96,0.0,0.0,40.06,40.06,40.06,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.74,39.74,39.74,0.0,0.0
