Date,iShares International Preferred StockEtf_Open_average,iShares International Preferred StockEtf_Open_max,iShares International Preferred StockEtf_Open_min,iShares International Preferred StockEtf_Open_volatility,iShares International Preferred StockEtf_Open_change,iShares International Preferred StockEtf_High_average,iShares International Preferred StockEtf_High_max,iShares International Preferred StockEtf_High_min,iShares International Preferred StockEtf_High_volatility,iShares International Preferred StockEtf_High_change,iShares International Preferred StockEtf_Low_average,iShares International Preferred StockEtf_Low_max,iShares International Preferred StockEtf_Low_min,iShares International Preferred StockEtf_Low_volatility,iShares International Preferred StockEtf_Low_change,iShares International Preferred StockEtf_Close_average,iShares International Preferred StockEtf_Close_max,iShares International Preferred StockEtf_Close_min,iShares International Preferred StockEtf_Close_volatility,iShares International Preferred StockEtf_Close_change
2018-01-14,19.26,19.26,19.26,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2018-01-21,19.49,19.49,19.49,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.41,19.41,19.41,0.0,0.0
2018-01-28,19.47,19.47,19.47,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.32,19.32,19.32,0.0,0.0
2018-02-04,18.52,18.52,18.52,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-02-11,18.75,18.75,18.75,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-02-18,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2018-02-25,18.26,18.26,18.26,0.0,0.0,18.32,18.32,18.32,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2018-03-04,17.92,17.92,17.92,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-03-11,17.94,17.94,17.94,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-03-18,18.0,18.0,18.0,0.0,0.0,18.21,18.21,18.21,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2018-03-25,18.0,18.0,18.0,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.92,17.92,17.92,0.0,0.0,18.08,18.08,18.08,0.0,0.0
2018-04-01,18.18,18.18,18.18,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-04-08,18.37,18.37,18.37,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2018-04-15,18.17,18.17,18.17,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2018-04-22,18.02,18.02,18.02,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-04-29,18.03,18.03,18.03,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2018-05-06,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2018-05-13,18.06,18.06,18.06,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2018-05-20,17.88,17.88,17.88,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-05-27,17.73,17.73,17.73,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2018-06-03,17.6,17.6,17.6,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2018-06-10,17.45,17.45,17.45,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.52,17.52,17.52,0.0,0.0
2018-06-17,17.27,17.27,17.27,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2018-06-24,17.35,17.35,17.35,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.4,17.4,17.4,0.0,0.0
2018-07-01,17.37,17.37,17.37,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.39,17.39,17.39,0.0,0.0
2018-07-08,17.59,17.59,17.59,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2018-07-15,17.37,17.37,17.37,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2018-07-22,17.6,17.6,17.6,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-07-29,17.71,17.71,17.71,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.68,17.68,17.68,0.0,0.0
2018-08-05,17.51,17.51,17.51,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2018-08-12,17.5,17.5,17.5,0.0,0.0,17.58,17.58,17.58,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2018-08-19,17.5,17.5,17.5,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-08-26,17.66,17.66,17.66,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2018-09-02,17.53,17.53,17.53,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2018-09-09,17.55,17.55,17.55,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-09-16,17.7,17.7,17.7,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.71,17.71,17.71,0.0,0.0
2018-09-23,17.6,17.6,17.6,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2018-09-30,17.45,17.45,17.45,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2018-10-07,17.36,17.36,17.36,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2018-10-14,17.17,17.17,17.17,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2018-10-21,17.01,17.01,17.01,0.0,0.0,17.02,17.02,17.02,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2018-10-28,16.8,16.8,16.8,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2018-11-04,16.69,16.69,16.69,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.6,16.6,16.6,0.0,0.0
2018-11-11,16.59,16.59,16.59,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-11-18,16.07,16.07,16.07,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.25,16.25,16.25,0.0,0.0
2018-11-25,15.76,15.76,15.76,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2018-12-02,15.16,15.16,15.16,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-12-09,15.52,15.52,15.52,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2018-12-16,14.78,14.78,14.78,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2018-12-23,14.49,14.49,14.49,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-12-30,15.02,15.02,15.02,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.31,15.31,15.31,0.0,0.0
2019-01-06,15.91,15.91,15.91,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.91,15.91,15.91,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2019-01-13,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2019-01-20,15.73,15.73,15.73,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2019-01-27,15.97,15.97,15.97,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.97,15.97,15.97,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2019-02-03,15.66,15.66,15.66,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2019-02-10,15.45,15.45,15.45,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2019-02-17,15.63,15.63,15.63,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2019-02-24,15.67,15.67,15.67,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2019-03-03,15.26,15.26,15.26,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2019-03-10,15.48,15.48,15.48,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2019-03-17,15.35,15.35,15.35,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2019-03-24,15.41,15.41,15.41,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2019-03-31,15.55,15.55,15.55,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2019-04-07,15.5,15.5,15.5,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2019-04-14,15.54,15.54,15.54,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2019-04-21,15.45,15.45,15.45,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2019-04-28,15.3,15.3,15.3,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2019-05-05,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2019-05-12,15.32,15.32,15.32,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.34,15.34,15.34,0.0,0.0
