Date,AWRStock_Open_average,AWRStock_Open_max,AWRStock_Open_min,AWRStock_Open_volatility,AWRStock_Open_change,AWRStock_High_average,AWRStock_High_max,AWRStock_High_min,AWRStock_High_volatility,AWRStock_High_change,AWRStock_Low_average,AWRStock_Low_max,AWRStock_Low_min,AWRStock_Low_volatility,AWRStock_Low_change,AWRStock_Close_average,AWRStock_Close_max,AWRStock_Close_min,AWRStock_Close_volatility,AWRStock_Close_change,AWRStock_Volume_average,AWRStock_Volume_max,AWRStock_Volume_min,AWRStock_Volume_volatility,AWRStock_Volume_change
2018-01-14,55.215,55.49,54.95,0.5399999999999991,0.1699999999999946,55.965,56.27,55.74,0.5300000000000011,0.3400000000000034,54.9525,55.12,54.87,0.25,0.25,55.442499999999995,56.19,54.94,1.25,1.25,256596,304105,201300,102805,32056
2018-01-21,57.604,59.77,56.44,3.3300000000000054,1.0300000000000011,58.658,60.0,56.6,3.3999999999999986,1.5899999999999963,56.252,57.14,55.29,1.8500000000000014,0.3500000000000014,57.38,59.45,56.22,3.230000000000004,-0.020000000000003126,614109,1119088,286380,832708,151962
2018-01-28,55.532,55.89,55.16,0.730000000000004,-0.7100000000000009,56.328,56.76,55.89,0.8699999999999974,-0.30000000000000426,55.064,55.24,54.92,0.3200000000000003,0.13000000000000256,55.53,55.64,55.22,0.4200000000000017,0.03999999999999915,1018094,3713958,279039,3434919,-99339
2018-02-04,52.922,55.29,50.62,4.670000000000002,-4.670000000000002,53.717999999999996,55.74,52.33,3.4100000000000037,-2.990000000000002,51.629999999999995,53.62,50.33,3.289999999999999,-3.219999999999999,52.4,53.81,50.34,3.469999999999999,-1.6200000000000045,387907,462830,320855,141975,141975
2018-02-11,52.426,52.96,52.15,0.8100000000000023,0.740000000000002,53.118,53.9,52.79,1.1099999999999994,1.0599999999999952,52.082,52.9,51.54,1.3599999999999994,1.3599999999999994,52.906,53.65,52.4,1.25,1.1099999999999994,200542,262845,104224,158621,-31611
2018-02-18,53.245,53.6,52.83,0.7700000000000031,0.060000000000002274,54.01,54.67,53.68,0.990000000000002,0.990000000000002,52.855,53.33,52.42,0.9099999999999966,0.9099999999999966,53.365,54.51,52.68,1.8299999999999983,1.7299999999999969,168599,208051,117109,90942,-90942
2018-02-25,53.834,54.76,52.02,2.739999999999995,-2.5899999999999963,54.388,55.95,52.33,3.6200000000000045,-2.740000000000002,52.704,54.13,50.73,3.4000000000000057,-3.4000000000000057,53.102,54.83,51.24,3.5899999999999963,-3.5899999999999963,245560,324676,132001,192675,96290
2018-03-04,51.144,51.99,50.16,1.8300000000000054,0.25,51.928,52.37,51.36,1.009999999999998,-0.14000000000000057,50.546,51.03,50.06,0.9699999999999989,0.1600000000000037,51.46,52.06,50.44,1.6200000000000045,-0.05000000000000426,266356,310866,185248,125618,-111768
2018-03-11,53.05,53.92,52.14,1.7800000000000011,0.8599999999999994,53.724000000000004,54.24,53.32,0.9200000000000017,0.45000000000000284,52.54,52.75,52.14,0.6099999999999994,0.6099999999999994,53.346000000000004,54.06,53.0,1.0600000000000023,0.480000000000004,389227,853571,244656,608915,578651
2018-03-18,54.48,55.25,54.01,1.240000000000002,0.14999999999999858,55.21,55.45,54.78,0.6700000000000017,0.240000000000002,53.792,54.54,52.29,2.25,-1.1199999999999974,54.251999999999995,55.23,52.3,2.9299999999999997,-2.1799999999999997,318628,419555,218979,200576,129238
