Date,Credit Suisse FI Large Cap Growth EnhancedEtf_Open_average,Credit Suisse FI Large Cap Growth EnhancedEtf_Open_max,Credit Suisse FI Large Cap Growth EnhancedEtf_Open_min,Credit Suisse FI Large Cap Growth EnhancedEtf_Open_volatility,Credit Suisse FI Large Cap Growth EnhancedEtf_Open_change,Credit Suisse FI Large Cap Growth EnhancedEtf_High_average,Credit Suisse FI Large Cap Growth EnhancedEtf_High_max,Credit Suisse FI Large Cap Growth EnhancedEtf_High_min,Credit Suisse FI Large Cap Growth EnhancedEtf_High_volatility,Credit Suisse FI Large Cap Growth EnhancedEtf_High_change,Credit Suisse FI Large Cap Growth EnhancedEtf_Low_average,Credit Suisse FI Large Cap Growth EnhancedEtf_Low_max,Credit Suisse FI Large Cap Growth EnhancedEtf_Low_min,Credit Suisse FI Large Cap Growth EnhancedEtf_Low_volatility,Credit Suisse FI Large Cap Growth EnhancedEtf_Low_change,Credit Suisse FI Large Cap Growth EnhancedEtf_Close_average,Credit Suisse FI Large Cap Growth EnhancedEtf_Close_max,Credit Suisse FI Large Cap Growth EnhancedEtf_Close_min,Credit Suisse FI Large Cap Growth EnhancedEtf_Close_volatility,Credit Suisse FI Large Cap Growth EnhancedEtf_Close_change
2018-01-14,252.94,252.94,252.94,0.0,0.0,253.79,253.79,253.79,0.0,0.0,252.11,252.11,252.11,0.0,0.0,253.58,253.58,253.58,0.0,0.0
2018-01-21,260.26,260.26,260.26,0.0,0.0,264.37,264.37,264.37,0.0,0.0,260.26,260.26,260.26,0.0,0.0,264.2,264.2,264.2,0.0,0.0
2018-01-28,252.85,252.85,252.85,0.0,0.0,253.57,253.57,253.57,0.0,0.0,246.2,246.2,246.2,0.0,0.0,246.2,246.2,246.2,0.0,0.0
2018-02-04,220.1,220.1,220.1,0.0,0.0,225.18,225.18,225.18,0.0,0.0,208.69,208.69,208.69,0.0,0.0,222.34,222.34,222.34,0.0,0.0
2018-02-11,242.09,242.09,242.09,0.0,0.0,247.5,247.5,247.5,0.0,0.0,242.09,242.09,242.09,0.0,0.0,245.8,245.8,245.8,0.0,0.0
2018-02-18,244.71,244.71,244.71,0.0,0.0,249.32,249.32,249.32,0.0,0.0,244.27,244.27,244.27,0.0,0.0,249.32,249.32,249.32,0.0,0.0
2018-02-25,233.0,233.0,233.0,0.0,0.0,239.85,239.85,239.85,0.0,0.0,233.0,233.0,233.0,0.0,0.0,239.85,239.85,239.85,0.0,0.0
2018-03-04,252.84,252.84,252.84,0.0,0.0,258.59,258.59,258.59,0.0,0.0,252.84,252.84,252.84,0.0,0.0,258.24,258.24,258.24,0.0,0.0
2018-03-11,253.64,253.64,253.64,0.0,0.0,254.99,254.99,254.99,0.0,0.0,253.42,253.42,253.42,0.0,0.0,254.65,254.65,254.65,0.0,0.0
2018-03-18,234.05,234.05,234.05,0.0,0.0,234.91,234.91,234.91,0.0,0.0,224.0,224.0,224.0,0.0,0.0,224.0,224.0,224.0,0.0,0.0
2018-03-25,225.71,225.71,225.71,0.0,0.0,235.14,235.14,235.14,0.0,0.0,225.7,225.7,225.7,0.0,0.0,232.9,232.9,232.9,0.0,0.0
2018-04-01,229.31,229.31,229.31,0.0,0.0,232.14,232.14,232.14,0.0,0.0,221.64,221.64,221.64,0.0,0.0,224.6,224.6,224.6,0.0,0.0
2018-04-08,234.3,234.3,234.3,0.0,0.0,235.32,235.32,235.32,0.0,0.0,231.47,231.47,231.47,0.0,0.0,232.96,232.96,232.96,0.0,0.0
2018-04-15,239.53,239.53,239.53,0.0,0.0,239.53,239.53,239.53,0.0,0.0,234.81,234.81,234.81,0.0,0.0,234.9,234.9,234.9,0.0,0.0
2018-04-22,237.32,237.32,237.32,0.0,0.0,237.32,237.32,237.32,0.0,0.0,233.32,233.32,233.32,0.0,0.0,235.32,235.32,235.32,0.0,0.0
2018-04-29,235.99,235.99,235.99,0.0,0.0,240.14,240.14,240.14,0.0,0.0,235.99,235.99,235.99,0.0,0.0,239.52,239.52,239.52,0.0,0.0
2018-05-06,250.7,250.7,250.7,0.0,0.0,251.0,251.0,251.0,0.0,0.0,249.15,249.15,249.15,0.0,0.0,249.97,249.97,249.97,0.0,0.0
2018-05-13,246.33,246.33,246.33,0.0,0.0,248.84,248.84,248.84,0.0,0.0,246.33,246.33,246.33,0.0,0.0,247.98,247.98,247.98,0.0,0.0
2018-05-20,252.52,252.52,252.52,0.0,0.0,253.05,253.05,253.05,0.0,0.0,250.96,250.96,250.96,0.0,0.0,252.11,252.11,252.11,0.0,0.0
2018-05-27,252.8,252.8,252.8,0.0,0.0,256.65,256.65,256.65,0.0,0.0,252.8,252.8,252.8,0.0,0.0,255.74,255.74,255.74,0.0,0.0
2018-06-03,261.97,261.97,261.97,0.0,0.0,265.09,265.09,265.09,0.0,0.0,261.97,261.97,261.97,0.0,0.0,265.09,265.09,265.09,0.0,0.0
2018-06-10,266.91,266.91,266.91,0.0,0.0,268.23,268.23,268.23,0.0,0.0,266.91,266.91,266.91,0.0,0.0,268.13,268.13,268.13,0.0,0.0
2018-06-17,263.76,263.76,263.76,0.0,0.0,264.36,264.36,264.36,0.0,0.0,262.5,262.5,262.5,0.0,0.0,264.1,264.1,264.1,0.0,0.0
2018-06-24,257.09,257.09,257.09,0.0,0.0,258.43,258.43,258.43,0.0,0.0,254.96,254.96,254.96,0.0,0.0,254.96,254.96,254.96,0.0,0.0
2018-07-01,260.85,260.85,260.85,0.0,0.0,264.9,264.9,264.9,0.0,0.0,260.85,260.85,260.85,0.0,0.0,264.9,264.9,264.9,0.0,0.0
2018-07-08,278.43,278.43,278.43,0.0,0.0,278.43,278.43,278.43,0.0,0.0,273.88,273.88,273.88,0.0,0.0,275.37,275.37,275.37,0.0,0.0
2018-07-15,276.15,276.15,276.15,0.0,0.0,277.84,277.84,277.84,0.0,0.0,275.45,275.45,275.45,0.0,0.0,275.45,275.45,275.45,0.0,0.0
2018-07-22,276.5,276.5,276.5,0.0,0.0,276.5,276.5,276.5,0.0,0.0,271.07,271.07,271.07,0.0,0.0,272.13,272.13,272.13,0.0,0.0
2018-07-29,275.47,275.47,275.47,0.0,0.0,276.49,276.49,276.49,0.0,0.0,274.47,274.47,274.47,0.0,0.0,276.49,276.49,276.49,0.0,0.0
2018-08-05,278.02,278.02,278.02,0.0,0.0,280.22,280.22,280.22,0.0,0.0,277.07,277.07,277.07,0.0,0.0,278.77,278.77,278.77,0.0,0.0
2018-08-12,276.64,276.64,276.64,0.0,0.0,280.04,280.04,280.04,0.0,0.0,276.64,276.64,276.64,0.0,0.0,280.04,280.04,280.04,0.0,0.0
2018-08-19,284.28,284.28,284.28,0.0,0.0,286.66,286.66,286.66,0.0,0.0,284.28,284.28,284.28,0.0,0.0,286.39,286.39,286.39,0.0,0.0
2018-08-26,294.1,294.1,294.1,0.0,0.0,296.2,296.2,296.2,0.0,0.0,294.1,294.1,294.1,0.0,0.0,296.2,296.2,296.2,0.0,0.0
2018-09-02,289.58,289.58,289.58,0.0,0.0,290.43,290.43,290.43,0.0,0.0,286.88,286.88,286.88,0.0,0.0,287.35,287.35,287.35,0.0,0.0
2018-09-09,295.7,295.7,295.7,0.0,0.0,296.04,296.04,296.04,0.0,0.0,293.95,293.95,293.95,0.0,0.0,295.29,295.29,295.29,0.0,0.0
2018-09-16,297.6,297.6,297.6,0.0,0.0,297.6,297.6,297.6,0.0,0.0,294.55,294.55,294.55,0.0,0.0,294.55,294.55,294.55,0.0,0.0
2018-09-23,296.0,296.0,296.0,0.0,0.0,298.53,298.53,298.53,0.0,0.0,296.0,296.0,296.0,0.0,0.0,298.11,298.11,298.11,0.0,0.0
2018-09-30,288.23,288.23,288.23,0.0,0.0,290.06,290.06,290.06,0.0,0.0,279.46,279.46,279.46,0.0,0.0,284.92,284.92,284.92,0.0,0.0
2018-10-07,259.07,259.07,259.07,0.0,0.0,261.72,261.72,261.72,0.0,0.0,254.08,254.08,254.08,0.0,0.0,258.75,258.75,258.75,0.0,0.0
2018-10-14,255.92,255.92,255.92,0.0,0.0,257.0,257.0,257.0,0.0,0.0,255.78,255.78,255.78,0.0,0.0,256.53,256.53,256.53,0.0,0.0
2018-10-21,230.39,230.39,230.39,0.0,0.0,234.79,234.79,234.79,0.0,0.0,230.39,230.39,230.39,0.0,0.0,234.79,234.79,234.79,0.0,0.0
2018-10-28,250.9,250.9,250.9,0.0,0.0,250.9,250.9,250.9,0.0,0.0,244.44,244.44,244.44,0.0,0.0,246.1,246.1,246.1,0.0,0.0
