Date,USAA MSCI USA Value Momentum BlendEtf_Open_average,USAA MSCI USA Value Momentum BlendEtf_Open_max,USAA MSCI USA Value Momentum BlendEtf_Open_min,USAA MSCI USA Value Momentum BlendEtf_Open_volatility,USAA MSCI USA Value Momentum BlendEtf_Open_change,USAA MSCI USA Value Momentum BlendEtf_High_average,USAA MSCI USA Value Momentum BlendEtf_High_max,USAA MSCI USA Value Momentum BlendEtf_High_min,USAA MSCI USA Value Momentum BlendEtf_High_volatility,USAA MSCI USA Value Momentum BlendEtf_High_change,USAA MSCI USA Value Momentum BlendEtf_Low_average,USAA MSCI USA Value Momentum BlendEtf_Low_max,USAA MSCI USA Value Momentum BlendEtf_Low_min,USAA MSCI USA Value Momentum BlendEtf_Low_volatility,USAA MSCI USA Value Momentum BlendEtf_Low_change,USAA MSCI USA Value Momentum BlendEtf_Close_average,USAA MSCI USA Value Momentum BlendEtf_Close_max,USAA MSCI USA Value Momentum BlendEtf_Close_min,USAA MSCI USA Value Momentum BlendEtf_Close_volatility,USAA MSCI USA Value Momentum BlendEtf_Close_change
2018-01-14,54.39,54.39,54.39,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-01-21,55.02,55.02,55.02,0.0,0.0,55.24,55.24,55.24,0.0,0.0,54.86,54.86,54.86,0.0,0.0,55.24,55.24,55.24,0.0,0.0
2018-01-28,53.92,53.92,53.92,0.0,0.0,53.92,53.92,53.92,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-02-04,50.18,50.18,50.18,0.0,0.0,50.49,50.49,50.49,0.0,0.0,48.81,48.81,48.81,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-02-11,52.3,52.3,52.3,0.0,0.0,53.85,53.85,53.85,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-02-18,52.12,52.12,52.12,0.0,0.0,52.53,52.53,52.53,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-02-25,50.63,50.63,50.63,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.48,50.48,50.48,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-03-04,52.52,52.52,52.52,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.46,52.46,52.46,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-03-11,52.5,52.5,52.5,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2018-03-18,51.34,51.34,51.34,0.0,0.0,51.34,51.34,51.34,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-03-25,50.72,50.72,50.72,0.0,0.0,51.42,51.42,51.42,0.0,0.0,50.72,50.72,50.72,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-04-01,51.26,51.26,51.26,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-04-08,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0,50.97,50.97,50.97,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-04-15,52.14,52.14,52.14,0.0,0.0,52.14,52.14,52.14,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-04-22,51.71,51.71,51.71,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-04-29,50.48,50.48,50.48,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.48,50.48,50.48,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-05-06,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-05-13,52.26,52.26,52.26,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-05-20,52.25,52.25,52.25,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-05-27,51.87,51.87,51.87,0.0,0.0,52.31,52.31,52.31,0.0,0.0,51.87,51.87,51.87,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2018-06-03,53.06,53.06,53.06,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2018-06-10,52.97,52.97,52.97,0.0,0.0,53.29,53.29,53.29,0.0,0.0,52.97,52.97,52.97,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2018-06-17,52.73,52.73,52.73,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-06-24,51.69,51.69,51.69,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2018-07-01,51.82,51.82,51.82,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.79,51.79,51.79,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-07-08,52.38,52.38,52.38,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-07-15,52.72,52.72,52.72,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-07-22,53.02,53.02,53.02,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2018-07-29,52.67,52.67,52.67,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-08-05,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2018-08-12,52.72,52.72,52.72,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.72,52.72,52.72,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2018-08-19,53.51,53.51,53.51,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.62,53.62,53.62,0.0,0.0
